Remembrances	Remembrances	n2	Remembrances	remembrance	0
to	to	pc-acp	to	to	0
perswade	perswade	vvi	persuade	persuade	0
that	that	d	that	that	0
point	point	n1	point	point	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
each	each	d	each	each	0
man	man	n1	man	man	0
meaneth	meaneth	vvz	means	mean	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
wherein	wherein	c-crq	wherein	wherein	0
men	men	n2	men	man	0
should	should	vmd	should	shall	0
seeke	seeke	vvi	seek	seek	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
common	common	j	common	common	0
commoditie	commoditie	n1	commodity	commodity	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
by	by	p-acp	by	by	0
what	what	r-crq	what	what	0
meane	meane	vvb	mean	mean	0
that	that	cst	that	that	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
brought	brought	vvn	brought	bring	0
about	about	a-acp	about	about	0
,	,	,	,	,	0
is	is	vbz	is	be	0
the	the	dt	the	the	0
point	point	n1	point	point	0
or	or	cc	or	or	0
summe	summe	n1	sum	sum	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
since	since	c-acp	since	since	0
every	every	d	every	every	0
good	good	j	good	good	0
man	man	n1	man	man	0
is	is	vbz	is	be	0
ready	ready	j	ready	ready	0
to	to	pc-acp	to	to	0
imploy	imploy	vvi	employ	employ	0
his	his	po31	his	his	0
labour	labour	n1	labour	labour	0
.	.	.	.	.	1
This	This	d	This	this	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
infinite	infinite	j	infinite	infinite	0
sort	sort	n1	sort	sort	0
of	of	pp-f	of	of	0
meanes	meanes	n2	means	mean	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
things	things	n2	things	thing	0
bee	bee	vbb	be	be	0
infinite	infinite	j	infinite	infinite	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
done	done	vdn	done	do	0
for	for	p-acp	for	for	0
common	common	j	common	common	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
things	things	n2	things	thing	0
so	so	av	so	so	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
done	done	vdn	done	do	0
be	be	vbb	be	be	0
divers	divers	j	diverse	diverse	0
,	,	,	,	,	0
so	so	av	so	so	0
are	are	vbr	are	be	0
they	they	pns32	they	they	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
done	done	vdn	done	do	0
by	by	p-acp	by	by	0
divers	divers	j	diverse	diverse	0
men	men	n2	men	man	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
bee	bee	vbb	be	be	0
by	by	p-acp	by	by	0
wit	wit	n1	wit	wit	0
and	and	cc	and	and	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
education	education	n1	education	education	0
more	more	av-dc	more	more	0
fit	fit	j	fit	fit	0
,	,	,	,	,	0
or	or	cc	or	or	0
lesse	lesse	av-dc	less	less	0
fit	fit	j	fit	fit	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
this	this	d	this	this	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
.	.	.	.	.	1
And	And	cc	And	and	0
for	for	p-acp	for	for	0
that	that	d	that	that	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
things	things	n2	things	thing	0
that	that	cst	that	that	0
tend	tend	vvb	tend	tend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
common	common	j	common	common	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
State	State	n1	State	state	0
,	,	,	,	,	0
some	some	d	some	some	0
tend	tend	vvb	tend	tend	0
more	more	av-dc	more	more	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
lesse	lesse	dc	less	less	0
,	,	,	,	,	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
that	that	cst	that	that	0
no	no	dx	no	no	0
one	one	crd	one	one	0
thing	thing	n1	thing	thing	0
,	,	,	,	,	0
after	after	c-acp	after	after	0
one	one	pi	one	one	0
other	other	j-jn	other	other	0
,	,	,	,	,	0
is	is	vbz	is	be	0
greater	greater	jc	greater	great	0
then	then	cs	then	than	0
Clothing	Clothing	vvg	Clothing	clothe	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
incident	incident	j	incident	incident	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
And	And	np1	And	And	0
understanding	understanding	vvg	understanding	understand	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
of	of	a-acp	of	off	0
right	right	j-jn	right	right	0
good	good	j	good	good	0
capacitie	capacitie	n1	capacity	capacity	0
,	,	,	,	,	0
and	and	cc	and	and	0
become	become	vvi	become	become	0
a	a	dt	a	a	0
Factor	Factor	n1	Factor	factor	0
at	at	p-acp	at	at	0
Constantinople	Constantinople	np1	Constantinople	Constantinople	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
other	other	j-jn	other	other	0
partes	partes	n2	parts	part	0
in	in	p-acp	in	in	0
Turkie	Turkie	n1	Turkey	turquoise	0
,	,	,	,	,	0
I	I	pns11	I	i	0
finde	finde	vvb	find	find	0
no	no	dx	no	no	0
man	man	n1	man	man	0
fitter	fitter	n1	fitter	fit	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
English	English	jp	English	english	0
Factors	Factors	n2	Factors	factor	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
therefore	therefore	av	therefore	therefore	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
so	so	av	so	so	0
bold	bold	j	bold	bold	0
to	to	pc-acp	to	to	0
put	put	vvi	put	put	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
wherein	wherein	q-crq	wherein	wherein	0
with	with	p-acp	with	with	0
some	some	d	some	some	0
indevour	indevour	n1	endeavour	endeavour	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
chaunce	chaunce	vvi	chance	chance	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
your	your	po22	your	your	0
Countrey	Countrey	n1	Country	country	0
much	much	d	much	much	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
give	give	vvi	give	give	0
an	an	dt	and	a	0
infinite	infinite	j	infinite	infinite	0
sorte	sorte	n1	sort	sort	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
people	people	n1	people	people	0
occasion	occasion	n1	occasion	occasion	0
to	to	pc-acp	to	to	0
pray	pray	vvi	pray	pray	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
here	here	av	here	here	0
throughout	throughout	p-acp	throughout	throughout	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
:	:	:	:	:	0
this	this	d	this	this	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
meane	meane	vvb	mean	mean	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
matter	matter	n1	matter	matter	0
of	of	pp-f	of	of	0
Cloth	Cloth	n1	Cloth	cloth	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
231	231	crd	231	231	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1	1	crd	1	1	0
Thirst	Thirst	n1	Thirst	thirst	0
,	,	,	,	,	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
denie	denie	vvi	deny	deny	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
yeeldeth	yeeldeth	vvz	yields	yield	0
1	1	vvn	1	encage	0
?	?	?	?	?	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
fine	fine	j	fine	fine	0
Wool	Wool	n1	Wool	wool	0
!	!	!	!	!	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
soft	soft	j	soft	soft	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
strong	strong	j	strong	strong	0
Wooll	Wooll	n1	Wool	wool	0
,	,	,	,	,	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
durable	durable	j	durable	durable	0
in	in	p-acp	in	in	0
Cloth	Cloth	n1	Cloth	cloth	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
apte	apte	j	apt	apt	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
to	to	pc-acp	to	to	0
receive	receive	vvi	receive	receive	0
Die	Die	vvi	Die	die	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
no	no	dx	no	no	0
Island	Island	n1	Island	island	0
or	or	cc	or	or	0
any	any	d	any	any	0
one	one	crd	one	one	0
kingdome	kingdome	n1	kingdom	kingdom	0
so	so	av	so	so	0
small	small	j	small	small	0
doeth	doeth	vdz	doth	do	0
yeeld	yeeld	vvi	yield	yield	0
so	so	av	so	so	0
great	great	j	great	great	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
no	no	dx	no	no	0
Wooll	Wooll	n1	Wool	wool	0
is	is	vbz	is	be	0
lesse	lesse	av-dc	less	less	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
mothes	mothes	n2	moths	moth	0
,	,	,	,	,	0
or	or	cc	or	or	0
to	to	p-acp	to	to	0
fretting	fretting	vvg	fretting	fret	0
in	in	p-acp	in	in	0
presse	presse	n1	press	press	0
,	,	,	,	,	0
then	then	cs	then	than	0
this	this	d	this	this	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
old	old	j	old	old	0
Parliament	Parliament	n1	Parliament	parliament	0
robes	robes	n2	robes	robe	0
of	of	pp-f	of	of	0
Kings	Kings	n2	Kings	king	0
,	,	,	,	,	0
&	&	cc	&	and	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
noble	noble	j	noble	noble	0
Peeres	Peeres	n2	Peers	peer	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
shewed	shewed	vvn	showed	show	0
may	may	vmb	may	may	0
plainly	plainly	av-j	plainly	plain	0
testifie	testifie	vvi	testify	testify	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
2	2	crd	2	2	0
There	There	a-acp	There	there	0
is	is	vbz	is	be	0
no	no	dx	no	no	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
that	that	cst	that	that	0
may	may	vmb	may	may	0
set	set	vvi	set	set	0
so	so	av	so	so	0
many	many	d	many	many	0
poore	poore	j	poor	poor	0
subjects	subjects	n2-jn	subject's	subject	0
on	on	p-acp	on	on	0
worke	worke	n1	work	work	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
doeth	doeth	vdz	doth	do	0
,	,	,	,	,	0
that	that	cst	that	that	0
doeth	doeth	vdz	doth	do	0
bring	bring	vvi	bring	bring	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
much	much	d	much	much	0
treasure	treasure	n1	treasure	treasure	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
much	much	av-d	much	much	0
enrich	enrich	vvi	enrich	enrich	0
the	the	dt	the	the	0
merchant	merchant	n1	merchant	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
much	much	av-d	much	much	0
employ	employ	vvi	employ	employ	0
the	the	dt	the	the	0
Navie	Navie	n1	Navy	navy	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
this	this	d	this	this	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Wooll	Wooll	n1	Wool	wool	0
doeth	doeth	vdz	doth	do	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Ample	Ample	j	Ample	ample	0
and	and	cc	and	and	0
full	full	j	full	full	0
Vent	Vent	vvb	Vent	vent	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
rich	rich	j	rich	rich	0
commoditie	commoditie	n1	commodity	commodity	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
that	that	cst	that	that	0
the	the	dt	the	the	0
common	common	j	common	common	0
weale	weale	n1	weal	weal	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
realme	realme	n1	realm	realm	0
doeth	doeth	vdz	doth	do	0
require	require	vvi	require	require	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Spaine	Spaine	np1	Spaine	Spain	0
nowe	nowe	av	now	now	0
aboundeth	aboundeth	vvz	aboundeth	abound	0
with	with	p-acp	with	with	0
Wools	Wools	np1	Wools	Wools	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
same	same	d	same	same	0
are	are	vbr	are	be	0
Clothed	Clothed	vvn	Clothed	clothe	0
.	.	.	.	.	1
Turkie	Turkie	n1	Turkey	turquoise	0
hath	hath	vhz	hath	have	0
Wools	Wools	n2	Wools	wool	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
have	have	vhb	have	have	0
divers	divers	j	diverse	diverse	0
provinces	provinces	n2	provinces	province	0
of	of	pp-f	of	of	0
Christendome	Christendome	np1	Christendome	Christendom	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Heathenesse	Heathenesse	n1	Heatheness	heatheness	0
,	,	,	,	,	0
and	and	cc	and	and	0
cloth	cloth	n1	cloth	cloth	0
is	is	vbz	is	be	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
divers	divers	j	diverse	diverse	0
places	places	n2	places	place	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1	1	crd	1	1	0
But	But	cc-acp	But	but	0
if	if	cs	if	if	0
England	England	np1	England	England	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
fine	fine	j	fine	fine	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
excellent	excellent	j	excellent	excellent	0
Wools	Wools	n2	Wools	wool	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
respects	respects	n2	respects	respect	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
cannot	cannot	vmbx	cannot	can	0
bee	bee	vbi	be	be	0
denied	denied	vvn	denied	deny	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
)	)	)	)	)	0
2	2	crd	2	2	0
If	If	cs	If	if	0
there	there	pc-acp	there	there	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
added	added	vvn	added	add	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
excellent	excellent	j	excellent	excellent	0
artificiali	artificiali	fw-la	artificiali	artificiali	0
,	,	,	,	,	0
and	and	cc	and	and	0
true	true	j	true	true	0
making	making	n-vvg	making	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
excellent	excellent	j	excellent	excellent	0
dying	dying	j-vvg	dying	die	0
,	,	,	,	,	0
3	3	crd	3	3	0
Then	Then	av	Then	then	0
no	no	dx	no	no	0
doubt	doubt	n1	doubt	doubt	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
vent	vent	n1	vent	vent	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
Clothes	Clothes	n2	Clothes	clothes	0
,	,	,	,	,	0
although	although	cs	although	although	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
world	world	n1	world	world	0
did	did	vdd	did	do	0
abound	abound	vvi	abound	abound	0
much	much	d	much	much	0
more	more	dc	more	more	0
with	with	p-acp	with	with	0
Wool	Wool	n1	Wool	wool	0
then	then	cs	then	than	0
it	it	pn31	it	it	0
doeth	doeth	vdz	doth	do	0
,	,	,	,	,	0
and	and	cc	and	and	0
although	although	cs	although	although	0
their	their	po32	their	their	0
workemanship	workemanship	n1	workmanship	workmanship	0
and	and	cc	and	and	0
their	their	po32	their	their	0
dying	dying	j-vvg	dying	die	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
every	every	d	every	every	0
degree	degree	n1	degree	degree	0
equal	equal	j-jn	equal	equal	0
with	with	p-acp	with	with	0
ours	ours	png12	ours	we	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
unlesse	unlesse	cs	unless	unless	0
the	the	dt	the	the	0
labour	labour	n1	labour	labour	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
people	people	n1	people	people	0
imployed	imployed	vvd	employed	employ	0
that	that	d	that	that	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
materials	materials	n2-jn	materials	material	0
used	used	vvd	used	use	0
in	in	p-acp	in	in	0
dying	dying	j-vvg	dying	die	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
the	the	dt	the	the	0
cause	cause	n1	cause	cause	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
contrary	contrary	j-jn	contrary	contrary	0
by	by	p-acp	by	by	0
dearth	dearth	n1	dearth	dearth	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
But	But	cc-acp	But	but	0
if	if	cs	if	if	0
Forren	Forren	j	Foreign	foreign	0
nations	nations	n2	nations	nation	0
turne	turne	vvb	turn	turn	0
their	their	po32	their	their	0
Wools	Wools	n2	Wools	wool	0
,	,	,	,	,	0
inferiour	inferiour	j-jn	inferior	inferior	0
to	to	p-acp	to	to	0
ours	ours	png12	ours	we	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
truer	truer	jc	truer	true	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
made	made	vvn	made	make	0
cloth	cloth	n1	cloth	cloth	0
,	,	,	,	,	0
and	and	cc	and	and	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
232	232	crd	232	232	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
shall	shall	vmb	shall	shall	0
die	die	vvi	die	die	0
the	the	dt	the	the	0
same	same	d	same	same	0
in	in	p-acp	in	in	0
truer	truer	jc	truer	true	0
,	,	,	,	,	0
surer	surer	jc	surer	sure	0
,	,	,	,	,	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
excellent	excellent	j	excellent	excellent	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
delectable	delectable	j	delectable	delectable	0
colours	colours	n2	colours	colour	0
,	,	,	,	,	0
then	then	av	then	then	0
shall	shall	vmb	shall	shall	0
they	they	pns32	they	they	0
sell	sell	vvi	fell	sell	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
ample	ample	j	ample	ample	0
vent	vent	n1	vent	vent	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Clothes	Clothes	n2	Clothes	clothes	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
the	the	dt	the	the	0
English	English	jp	English	english	0
cloth	cloth	n1	cloth	cloth	0
of	of	pp-f	of	of	0
better	better	jc	better	better	0
wooll	wooll	n1	wool	wool	0
shall	shall	vmb	shall	shall	0
rest	rest	vvi	rest	rest	0
unsold	unsold	j	unsold	unsold	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
spoyle	spoyle	n1	spoil	spoil	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Merchant	Merchant	n1	Merchant	merchant	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Clothier	Clothier	n1	Clothier	clothier	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
breeder	breeder	n1	breeder	breeder	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
wooll	wooll	n1	wool	wool	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
turning	turning	vvg	turning	turn	0
to	to	p-acp	to	to	0
bag	bag	n1	bag	bag	0
and	and	cc	and	and	0
wallet	wallet	n1	wallet	wallet	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
infinite	infinite	j	infinite	infinite	0
number	number	n1	number	number	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
poore	poore	j	poor	poor	0
people	people	n1	people	people	0
imploied	imploied	vvn	employed	employ	0
in	in	p-acp	in	in	0
clothing	clothing	vvg	clothing	clothe	0
in	in	p-acp	in	in	0
severall	severall	j	several	several	0
degrees	degrees	n2	degrees	degree	0
of	of	pp-f	of	of	0
labour	labour	n1	labour	labour	0
here	here	av	here	here	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Which	Which	r-crq	Which	which	0
things	things	n2	things	thing	0
wayed	wayed	vvd	weighed	weigh	0
,	,	,	,	,	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
to	to	pc-acp	to	to	0
tell	tell	vvi	tell	tell	0
you	you	pn22	you	you	0
what	what	r-crq	what	what	0
things	things	n2	things	thing	0
I	I	pns11	I	i	0
wish	wish	vvb	wish	wish	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
in	in	p-acp	in	in	0
Turkie	Turkie	n1	Turkey	turquoise	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
indevour	indevour	vvi	endeavour	endeavour	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
laisure	laisure	n1	laisure	laisure	0
may	may	vmb	may	may	0
permit	permit	vvi	permit	permit	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Before	Before	c-acp	Before	before	0
you	you	pn22	you	you	0
goe	goe	vvb	go	go	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Realme	Realme	n1	Realm	realm	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
learne	learne	vvb	learn	learn	0
:	:	:	:	:	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
i	i	sy	i	i	0
