TESTIMONIES	TESTIMONIES	n2	TESTIMONIES	testimony	0
left	left	vvd	left	leave	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
short	short	j	short	short	0
description	description	n1	description	description	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Marannon	Marannon	np1	Marannon	Marannon	0
or	or	cc	or	or	0
Amazones	Amazones	np1	Amazones	Amazones	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Countries	Countries	n2	Countries	country	0
thereabout	thereabout	av	thereabouts	thereabouts	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
of	of	pp-f	of	of	0
Fresh-water	Fresh-water	n1	Freshwater	freshwater	0
,	,	,	,	,	0
taken	taken	vvn	taken	take	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
an	an	dt	and	a	0
ancient	ancient	j	ancient	ancient	0
Discourse	Discourse	n1	Discourse	discourse	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
the	the	dt	the	the	0
Portes	Portes	n2	Ports	port	0
,	,	,	,	,	0
Creekes	Creekes	n2	Creeks	creek	0
,	,	,	,	,	0
and	and	cc	and	and	0
Havens	Havens	n2	Havens	haven	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
West	West	n1	West	west	0
Indies	Indies	np1	Indies	Indies	0
,	,	,	,	,	0
Written	Written	vvn	Written	write	0
by	by	p-acp	by	by	0
Martin	Martin	np1	Martin	Martin	0
Fernandez	Fernandez	np1	Fernandez	Fernandez	0
de	de	fw-fr	de	de	0
Enciza	Enciza	np1	Enciza	Enciza	0
,	,	,	,	,	0
and	and	cc	and	and	0
dedicated	dedicated	vvn	dedicated	dedicate	0
to	to	p-acp	to	to	0
Charles	Charles	np1	Charles	Charles	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
,	,	,	,	,	0
Anno	Anno	fw-la	Anno	anno	0
1518.	1518.	crd	1518.	1518.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Arannon	Arannon	np1	Arannon	Arannon	0
lyeth	lyeth	vvz	lies	lie	0
in	in	p-acp	in	in	0
seven	seven	crd	seven	seven	0
degrees	degrees	n2	degrees	degree	0
and	and	cc	and	and	0
an	an	dt	and	a	0
halfe	halfe	n-jn	half	half	0
Northward	Northward	av-j	Northward	northward	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Equinoctial	Equinoctial	j-jn	Equinoctial	equinoctial	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
river	river	n1	river	river	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
more	more	dc	more	more	0
then	then	cs	then	than	0
fifteene	fifteene	crd	fifteene	fifteen	0
leagues	leagues	n2	leagues	league	0
in	in	p-acp	in	in	0
bredth	bredth	n1	breadth	breadth	0
eight	eight	crd	eight	eight	0
leagues	leagues	n2	leagues	league	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
land	land	n1	land	land	0
.	.	.	.	.	1
It	It	pn31	It	it	0
hath	hath	vhz	hath	have	0
many	many	d	many	many	0
islands	islands	n2	islands	island	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
river	river	n1	river	river	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
land	land	n1	land	land	0
fortie	fortie	crd	fortie	forty	0
leagues	leagues	n2	leagues	league	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
neere	neere	av-j	near	near	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
river	river	n1	river	river	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
a	a	dt	a	a	0
mountaine	mountaine	n1	mountain	mountain	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
growe	growe	vvb	grow	grow	0
trees	trees	n2	trees	tree	0
of	of	pp-f	of	of	0
Incense	Incense	n1	Incense	incense	0
,	,	,	,	,	0
the	the	dt	the	the	0
trees	trees	n2	trees	tree	0
be	be	vbb	be	be	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
good	good	j	good	good	0
height	height	n1	height	height	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
boughs	boughs	n2	boughs	bough	0
thereof	thereof	av	thereof	thereof	0
be	be	vbb	be	be	0
like	like	j	like	like	0
to	to	p-acp	to	to	0
Plumtrees	Plumtrees	n2	Plumtrees	plumtree	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Incense	Incense	n1	Incense	incense	0
doeth	doeth	vdz	doth	do	0
hang	hang	vvi	hang	hang	0
at	at	p-acp	at	at	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
yce	yce	n1	ice	ice	0
doeth	doeth	vdz	doth	do	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
tiles	tiles	n2	tiles	tile	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
house	house	n1	house	house	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
winter	winter	n1	winter	winter	0
season	season	n1	season	season	0
when	when	c-crq	when	when	0
it	it	pn31	it	it	0
doeth	doeth	vdz	doth	do	0
freeze	freeze	vvi	freeze	freeze	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
river	river	n1	river	river	0
were	were	vbdr	were	be	0
taken	taken	vvn	taken	take	0
foure	foure	crd	foure	four	0
Indians	Indians	np1	Indians	Indians	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
smal	smal	j	small	small	0
boat	boat	n1	boat	boat	0
,	,	,	,	,	0
called	called	vvn	called	call	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Indian	Indian	jp	Indian	indian	0
language	language	n1	language	language	0
a	a	dt	a	a	0
Canoa	Canoa	np1	Canoa	Canoa	0
,	,	,	,	,	0
that	that	cst	that	that	0
came	came	vvd	came	come	0
downe	downe	a-acp	down	down	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
river	river	n1	river	river	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
taken	taken	vvn	taken	take	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
two	two	crd	two	two	0
stones	stones	n2	stones	stone	0
of	of	pp-f	of	of	0
Emeralds	Emeralds	n2	Emeralds	emerald	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
being	being	vbg	being	be	0
as	as	p-acp	as	as	0
great	great	j	great	great	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
mans	mans	ng1	men	man	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
They	They	pns32	They	they	0
sayd	sayd	vvd	said	say	0
that	that	cst	that	that	0
so	so	av	so	so	0
many	many	d	many	many	0
dayes	dayes	ng1	days	day	0
journey	journey	n1	journey	journey	0
going	going	vvg	going	go	0
upward	upward	av-j	upward	upward	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
river	river	n1	river	river	0
,	,	,	,	,	0
they	they	pns32	they	they	0
found	found	vvd	found	find	0
a	a	dt	a	a	0
rocke	rocke	n1	rock	rock	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
stone	stone	n1	stone	stone	0
.	.	.	.	.	1
Likewise	Likewise	av	Likewise	likewise	0
there	there	a-acp	there	there	0
were	were	vbdr	were	be	0
taken	taken	vvn	taken	take	0
from	from	p-acp	from	from	0
them	them	pno32	them	they	0
two	two	crd	two	two	0
loaves	loaves	n2	loaves	loaf	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
floure	floure	n1	flower	flower	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
like	like	av-j	like	like	0
to	to	p-acp	to	to	0
cakes	cakes	n2	cakes	cake	0
of	of	pp-f	of	of	0
Sope	Sope	n1	Soap	soap	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
seemed	seemed	vvd	seemed	seem	0
that	that	cst	that	that	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
19	19	crd	19	19	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A.D.	A.D.	np1	A.D.	A.D.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1518.	1518.	crd	1518.	1518.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
kneaded	kneaded	vvn	kneaded	knead	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
licour	licour	n1	liquour	liquour	0
of	of	pp-f	of	of	0
Balsamum	Balsamum	n1	Balsamum	balsamum	0
.	.	.	.	.	1
All	All	av-d	All	all	0
this	this	d	this	this	0
coast	coast	n1	coast	coast	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Cape	Cape	n1	Cape	cape	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Austine	Austine	np1	Austine	Austine	0
unto	unto	p-acp	unto	unto	0
Marannon	Marannon	np1	Marannon	Marannon	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
cleare	cleare	j	clear	clear	0
coast	coast	n1	coast	coast	0
&	&	cc	&	and	0
deep	deep	j-jn	deep	deep	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
neer	neer	av-j	near	near	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
river	river	n1	river	river	0
are	are	vbr	are	be	0
certaine	certaine	j	certain	certain	0
sholds	sholds	n2	sholds	shold	0
towardes	towardes	p-acp	towards	towards	0
the	the	dt	the	the	0
East	East	n1	East	east	0
part	part	n1	part	part	0
.	.	.	.	.	1
And	And	cc	And	and	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
West	West	n1	West	west	0
part	part	vvb	part	part	0
the	the	dt	the	the	0
river	river	n1	river	river	0
is	is	vbz	is	be	0
deepe	deepe	j-jn	deep	deep	0
,	,	,	,	,	0
and	and	cc	and	and	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
good	good	j	good	good	0
entrie	entrie	n1	entry	entry	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
this	this	d	this	this	0
river	river	n1	river	river	0
Marannon	Marannon	np1	Marannon	Marannon	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
river	river	n1	river	river	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
called	called	vvn	called	call	0
The	The	dt	The	the	0
sea	sea	n1	sea	sea	0
of	of	pp-f	of	of	0
fresh	fresh	j	fresh	fresh	0
water	water	n1	water	water	0
,	,	,	,	,	0
are	are	vbr	are	be	0
25	25	crd	25	25	0
leagues	leagues	n2	leagues	league	0
:	:	:	:	:	0
this	this	d	this	this	0
river	river	n1	river	river	0
hath	hath	vhz	hath	have	0
40	40	crd	40	40	0
leagues	leagues	n2	leagues	league	0
of	of	pp-f	of	of	0
bredth	bredth	n1	breadth	breadth	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
and	and	cc	and	and	0
carieth	carieth	vvz	carrieth	carry	0
such	such	d	such	such	0
abundance	abundance	n1	abundance	abundance	0
of	of	pp-f	of	of	0
water	water	n1	water	water	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
entreth	entreth	vvz	entereth	enter	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
20	20	crd	20	20	0
leagues	leagues	n2	leagues	league	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
Sea	Sea	n1	Sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
mingleth	mingleth	vvz	mingleth	mingle	0
not	not	xx	not	not	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
salt	salt	n1	salt	salt	0
water	water	n1	water	water	0
:	:	:	:	:	0
this	this	d	this	this	0
bredth	bredth	n1	breadth	breadth	0
goeth	goeth	vvz	goes	go	0
25	25	crd	25	25	0
leagues	leagues	n2	leagues	league	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
land	land	n1	land	land	0
,	,	,	,	,	0
and	and	cc	and	and	0
after	after	c-acp	after	after	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
devided	devided	vvn	divided	divide	0
into	into	p-acp	into	into	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
going	going	vvg	going	go	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Southeast	Southeast	n1	Southeast	southeast	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Southwest	Southwest	n1	Southwest	southwest	0
.	.	.	.	.	1
That	That	d	That	that	0
which	which	r-crq	which	which	0
goeth	goeth	vvz	goes	go	0
towards	towards	p-acp	towards	towards	0
the	the	dt	the	the	0
Southeast	Southeast	n1	Southeast	southeast	0
is	is	vbz	is	be	0
very	very	av	very	very	0
deepe	deepe	j-jn	deep	deep	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
much	much	d	much	much	0
water	water	n1	water	water	0
,	,	,	,	,	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
a	a	dt	a	a	0
chanel	chanel	n1	channel	chanel	0
half	half	j-jn	half	half	0
a	a	dt	a	a	0
league	league	n1	league	league	0
of	of	pp-f	of	of	0
bredth	bredth	n1	breadth	breadth	0
,	,	,	,	,	0
that	that	cst	that	that	0
a	a	dt	a	a	0
Carack	Carack	n1	Carrack	carrack	0
may	may	vmb	may	may	0
goe	goe	vvi	go	go	0
up	up	a-acp	up	up	0
through	through	p-acp	through	through	0
it	it	pn31	it	it	0
:	:	:	:	:	0
&	&	cc	&	and	0
the	the	dt	the	the	0
tydes	tydes	n2	tides	tide	0
be	be	vbb	be	be	0
so	so	av	so	so	0
swift	swift	j	swift	swift	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
have	have	vhb	have	have	0
need	need	n1	need	need	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
cables	cables	n2	cables	cable	0
.	.	.	.	.	1
The	The	dt	The	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
port	port	n1	port	port	0
is	is	vbz	is	be	0
very	very	av	very	very	0
good	good	j	good	good	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
have	have	vhi	have	have	0
bene	bene	vbn	be	be	0
some	some	d	some	some	0
that	that	cst	that	that	0
have	have	vhb	have	have	0
entred	entred	vvn	entered	enter	0
50	50	crd	50	50	0
leagues	leagues	n2	leagues	league	0
within	within	p-acp	within	within	0
it	it	pn31	it	it	0
,	,	,	,	,	0
&	&	cc	&	and	0
have	have	vhb	have	have	0
seene	seene	vvn	seen	see	0
no	no	dx	no	no	0
moun-taines	moun-taines	j	mountains	mountains	0
.	.	.	.	.	1
The	The	dt	The	the	0
Indians	Indians	np1	Indians	Indians	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
countrey	countrey	n1	country	country	0
have	have	vhb	have	have	0
their	their	po32	their	their	0
lips	lips	n2	lips	lip	0
made	made	vvd	made	make	0
full	full	j	full	full	0
of	of	pp-f	of	of	0
small	small	j	small	small	0
holes	holes	n2	holes	hole	0
in	in	p-acp	in	in	0
4	4	crd	4	4	0
parts	parts	n2	parts	part	0
,	,	,	,	,	0
&	&	cc	&	and	0
through	through	p-acp	through	through	0
those	those	d	those	those	0
holes	holes	n2	holes	hole	0
be	be	vbb	be	be	0
put	put	vvn	put	put	0
small	small	j	small	small	0
rings	rings	n2	rings	ring	0
,	,	,	,	,	0
and	and	cc	and	and	0
likewise	likewise	av	likewise	likewise	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
eares	eares	n2	ears	ear	0
:	:	:	:	:	0
&	&	cc	&	and	0
if	if	cs	if	if	0
any	any	d	any	any	0
man	man	n1	man	man	0
aske	aske	vvi	ask	ask	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
their	their	po32	their	their	0
gold	gold	n1	gold	gold	0
,	,	,	,	,	0
they	they	pns32	they	they	0
answere	answere	vvb	answer	answer	0
,	,	,	,	,	0
that	that	cst	that	that	0
going	going	vvg	going	go	0
up	up	a-acp	up	up	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
river	river	n1	river	river	0
so	so	av	so	so	0
many	many	d	many	many	0
dayes	dayes	ng1	days	day	0
journey	journey	n1	journey	journey	0
,	,	,	,	,	0
they	they	pns32	they	they	0
found	found	vvd	found	find	0
certaine	certaine	j	certain	certain	0
mountaines	mountaines	n2	mountains	mountain	0
that	that	cst	that	that	0
had	had	vhd	had	have	0
much	much	d	much	much	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
those	those	d	those	those	0
mountaines	mountaines	n2	mountains	mountain	0
they	they	pns32	they	they	0
brought	brought	vvd	brought	bring	0
it	it	pn31	it	it	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
it	it	pn31	it	it	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
made	made	vvd	made	make	0
no	no	dx	no	no	0
great	great	j	great	great	0
account	account	n1	account	account	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
,	,	,	,	,	0
for	for	c-acp	for	for	0
they	they	pns32	they	they	0
neither	neither	dx	neither	neither	0
buy	buy	vvi	buy	buy	0
nor	nor	ccx	nor	nor	0
sell	sell	vvi	fell	sell	0
,	,	,	,	,	0
and	and	cc	and	and	0
amongst	amongst	p-acp	among	among	0
them	them	pno32	them	they	0
is	is	vbz	is	be	0
nothing	nothing	pix	nothing	nothing	0
but	but	p-acp	but	but	0
change	change	n1	change	change	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
this	this	d	this	this	0
countery	countery	n1	country	country	0
they	they	pns32	they	they	0
eate	eate	vvb	eat	eat	0
bread	bread	n1	bred	bread	0
of	of	pp-f	of	of	0
rootes	rootes	n2	roots	root	0
,	,	,	,	,	0
and	and	cc	and	and	0
Maiz	Maiz	np1	Maiz	Maiz	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
eate	eate	vvb	eat	eat	0
certaine	certaine	j	certain	certain	0
rootes	rootes	n2	roots	root	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
Aies	Aies	zz	Aies	aies	0
and	and	cc	and	and	0
Batatas	Batatas	fw-la	Batatas	batatas	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
Batatas	Batatas	fw-la	Batatas	batatas	0
bee	bee	vbi	be	be	0
better	better	av-jc	better	better	0
then	then	cs	then	than	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
rootes	rootes	n2	roots	root	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
rawe	rawe	j	raw	raw	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
a	a	dt	a	a	0
smell	smell	n1	smell	smell	0
of	of	pp-f	of	of	0
Chestnuts	Chestnuts	n2	Chestnuts	chestnut	0
:	:	:	:	:	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
eaten	eaten	vvn	eaten	eat	0
rosted	rosted	vvn	roasted	roast	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
Indians	Indians	np1	Indians	Indians	0
doe	doe	vdb	do	do	0
make	make	vvi	make	make	0
wine	wine	n1	wine	wine	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
fruit	fruit	n1	fruit	fruit	0
of	of	pp-f	of	of	0
Date-trees	Date-trees	n2	Datetrees	datetree	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
fruit	fruit	n1	fruit	fruit	0
is	is	vbz	is	be	0
yellow	yellow	j-jn	yellow	yellow	0
in	in	p-acp	in	in	0
colour	colour	n1	colour	colour	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
as	as	a-acp	as	as	0
great	great	j	great	great	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
little	little	j	little	little	0
Doves	Doves	ng1	Doves	dove	0
egge	egge	n1	egg	egg	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
in	in	p-acp	in	in	0
season	season	n1	season	season	0
is	is	vbz	is	be	0
good	good	j	good	good	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
eaten	eaten	vvn	eaten	eat	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
it	it	pn31	it	it	0
proceedeth	proceedeth	vvz	proceedeth	proceed	0
good	good	j	good	good	0
wine	wine	n1	wine	wine	0
,	,	,	,	,	0
and	and	cc	and	and	0
is	is	vbz	is	be	0
preserved	preserved	vvn	preserved	preserve	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
for	for	c-acp	for	for	0
a	a	dt	a	a	0
long	long	j	long	long	0
time	time	n1	time	time	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
do	do	vdb	do	do	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
houses	houses	n2	houses	house	0
with	with	p-acp	with	with	0
upper	upper	jc	upper	upper	0
roomes	roomes	n2	rooms	room	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
sleepe	sleepe	vvb	sleep	sleep	0
in	in	p-acp	in	in	0
them	them	pno32	them	they	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
also	also	av	also	also	0
al	al	d	all	all	0
their	their	po32	their	their	0
habitation	habitation	n1	habitation	habitation	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
upper	upper	jc	upper	upper	0
roomes	roomes	n2	rooms	room	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
belowe	belowe	a-acp	below	below	0
,	,	,	,	,	0
they	they	pns32	they	they	0
leave	leave	vvb	leave	leave	0
open	open	j	open	open	0
:	:	:	:	:	0
and	and	cc	and	and	0
also	also	av	also	also	0
they	they	pns32	they	they	0
use	use	vvb	use	use	0
certaine	certaine	j	certain	certain	0
mantels	mantels	n2	mantels	mantel	0
of	of	pp-f	of	of	0
cotten	cotten	n1	cotton	cotton	0
wooll	wooll	n1	wool	wool	0
,	,	,	,	,	0
and	and	cc	and	and	0
these	these	d	these	these	0
they	they	pns32	they	they	0
tie	tie	vvb	tie	tie	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
endes	endes	n2	ends	end	0
with	with	p-acp	with	with	0
ropes	ropes	n2	ropes	rope	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
one	one	crd	one	one	0
ende	ende	n1	end	end	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
rope	rope	n1	rope	rope	0
they	they	pns32	they	they	0
make	make	vvb	make	make	0
fast	fast	av-j	fast	fast	0
to	to	p-acp	to	to	0
one	one	crd	one	one	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
house	house	n1	house	house	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
ende	ende	n1	end	end	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
house	house	n1	house	house	0
:	:	:	:	:	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
these	these	d	these	these	0
they	they	pns32	they	they	0
lye	lye	vvb	lie	lie	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
bee	bee	vbb	be	be	0
their	their	po32	their	their	0
beddes	beddes	n2	beds	bed	0
