Master	Master	n1	Master	master	0
,	,	,	,	,	0
&	&	cc	&	and	0
have	have	vhb	have	have	0
brought	brought	vvn	brought	bring	0
the	the	dt	the	the	0
passage	passage	n1	passage	passage	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
likelihood	likelihood	n1	likelihood	likelihood	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
am	am	vbm	am	be	0
assured	assured	vvn	assured	assure	0
it	it	pn31	it	it	0
must	must	vmb	must	must	0
bee	bee	vbi	be	be	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
foure	foure	crd	foure	four	0
places	places	n2	places	place	0
,	,	,	,	,	0
or	or	cc	or	or	0
els	els	av	else	else	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
.	.	.	.	.	1
And	And	cc	And	and	0
further	further	av-jc	further	further	0
I	I	pns11	I	i	0
can	can	vmb	can	can	0
assure	assure	vvi	assure	assure	0
you	you	pn22	you	you	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
perill	perill	n1	peril	peril	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
life	life	n1	life	life	0
,	,	,	,	,	0
that	that	cst	that	that	0
this	this	d	this	this	0
voyage	voyage	n1	voyage	voyage	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
performed	performed	vvn	performed	perform	0
without	without	p-acp	without	without	0
further	further	jc	further	further	0
charge	charge	n1	charge	charge	0
,	,	,	,	,	0
nay	nay	uh-x	nay	nay	0
with	with	p-acp	with	with	0
certaine	certaine	j	certain	certain	0
profite	profite	n1	profit	profit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
adventurers	adventurers	n2	adventurers	adventurer	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
but	but	p-acp	but	but	0
your	your	po22	your	your	0
favour	favour	n1	favour	favour	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
action	action	n1	actium	action	0
.	.	.	.	.	1
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
finde	finde	vvi	find	find	0
favour	favour	n1	favour	favour	0
with	with	p-acp	with	with	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
your	your	po22	your	your	0
Card.	Card.	n1	Card.	card	1
I	I	pns11	I	i	0
pray	pray	vvb	pray	pray	0
God	God	np1	God	God	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
so	so	av	so	so	0
true	true	j	true	true	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Card	Card	n1	Carded	card	0
shal	shal	vmb	shall	shall	0
be	be	vbi	be	be	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
bring	bring	vvi	bring	bring	0
you	you	pn22	you	you	0
:	:	:	:	:	0
and	and	cc	and	and	0
I	I	pns11	I	i	0
hope	hope	vvb	hope	hope	0
in	in	p-acp	in	in	0
God	God	np1	God	God	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
skill	skill	n1	skill	skill	0
in	in	p-acp	in	in	0
Navigation	Navigation	n1	Navigation	navigation	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
gaineful	gaineful	j	gaineful	gaineful	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
although	although	cs	although	although	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
proved	proved	vvn	proved	prove	0
so	so	av	so	so	0
.	.	.	.	.	1
And	And	cc	And	and	0
thus	thus	av	thus	thus	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
humble	humble	j	humble	humble	0
commendations	commendations	n2	commendations	commendation	0
I	I	pns11	I	i	0
commit	commit	vvb	commit	commit	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
God	God	np1	God	God	0
,	,	,	,	,	0
desiring	desiring	vvg	desiring	desire	0
no	no	dx	no	no	0
longer	longer	av-jc	longer	long	0
to	to	pc-acp	to	to	0
live	live	vvi	live	live	0
,	,	,	,	,	0
then	then	cs	then	than	0
I	I	pns11	I	i	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
yours	yours	png22	yours	you	0
most	most	av-ds	most	most	0
faithfully	faithfully	av-j	faithfully	faithful	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
.	.	.	.	.	1
Exon	Exon	np1	Exon	Exon	0
this	this	d	this	this	0
fourteenth	fourteenth	ord	fourteenth	fourteenth	0
of	of	pp-f	of	of	0
October	October	np1	October	October	0
.	.	.	.	.	1
1586.	1586.	crd	1586.	1586.	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Yours	Yours	png22	Yours	you	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
John	John	np1	John	John	0
Davis	Davis	np1	Davis	Davis	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
.	.	.	.	.	1
