How	How	np1	How	How	0
of	of	pp-f	of	of	0
September	September	np1	September	September	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
aforesayd	aforesayd	j	aforesaid	aforesaid	0
1540.	1540.	crd	1540.	1540	1
And	And	cc	And	and	0
the	the	dt	the	the	0
Vicount	Vicount	n1	Viscount	viscount	0
of	of	pp-f	of	of	0
Beaupre	Beaupre	np1	Beaupre	Beaupre	0
stayed	stayed	vvd	stayed	stay	0
behind	behind	a-acp	behind	behind	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
garding	garding	vvg	guarding	guard	0
and	and	cc	and	and	0
governement	governement	n1	government	government	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Fort.	Fort.	n1	Fort.	fort	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
went	went	vvd	went	go	0
up	up	a-acp	up	up	0
the	the	dt	the	the	0
river	river	n1	river	river	0
,	,	,	,	,	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
went	went	vvd	went	go	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Hochelay	Hochelay	n1	Hochelay	hochelay	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
dwelleth	dwelleth	vvz	dwells	dwell	0
betweene	betweene	p-acp	between	between	0
Canada	Canada	np1	Canada	Canada	0
and	and	cc	and	and	0
Hochelaga	Hochelaga	np1	Hochelaga	Hochelaga	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
former	former	j	former	former	0
voyage	voyage	n1	voyage	voyage	0
had	had	vhd	had	have	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Captaine	Captaine	n1	Captain	captain	0
a	a	dt	a	a	0
little	little	j	little	little	0
girle	girle	n1	girl	girl	0
,	,	,	,	,	0
and	and	cc	and	and	0
had	had	vhd	had	have	0
oftentimes	oftentimes	av	oftentimes	oftentimes	0
enformed	enformed	vvn	informed	inform	0
him	him	pno31	him	he	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
treasons	treasons	n2	treasons	treason	0
which	which	r-crq	which	which	0
Taignoagny	Taignoagny	np1	Taignoagny	Taignoagny	0
and	and	cc	and	and	0
Domagaya	Domagaya	np1	Domagaya	Domagaya	0
(	(	(	(	(	0
whom	whom	r-crq	whom	who	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
former	former	j	former	former	0
voyage	voyage	n1	voyage	voyage	0
had	had	vhd	had	have	0
caried	caried	vvn	carried	carry	0
into	into	p-acp	into	into	0
France	France	np1	France	France	0
)	)	)	)	)	0
would	would	vmd	would	will	0
have	have	vhi	have	have	0
wrought	wrought	vvn	wrought	wrought	0
against	against	p-acp	against	against	0
him	him	pno31	him	he	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
regard	regard	n1	regard	regard	0
of	of	pp-f	of	of	0
which	which	r-crq	which	which	0
his	his	po31	his	his	0
curtesie	curtesie	n1	courtesy	courtesy	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Captaine	Captaine	n1	Captain	captain	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
passe	passe	vvi	pass	pass	0
by	by	p-acp	by	by	0
without	without	p-acp	without	without	0
visiting	visiting	vvg	visiting	visit	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
let	let	vvi	let	let	0
him	him	pno31	him	he	0
understand	understand	vvi	understand	understand	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
thought	thought	vvd	thought	think	0
himselfe	himselfe	px31	himself	himself	0
beholding	beholding	vvg	beholding	behold	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
gave	gave	vvd	gave	give	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
two	two	crd	two	two	0
yong	yong	j	young	young	0
boyes	boyes	n2	boys	boy	0
,	,	,	,	,	0
269	269	crd	269	269	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Vicount	Vicount	n1	Viscount	viscount	0
of	of	pp-f	of	of	0
Beaupre	Beaupre	np1	Beaupre	Beaupre	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
councell	councell	n1	council	council	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
rich	rich	j	rich	rich	0
countrey	countrey	n1	country	country	0
of	of	pp-f	of	of	0
Saguenay	Saguenay	np1	Saguenay	Saguenay	0
situated	situated	vvn	situated	situate	0
beyond	beyond	p-acp	beyond	beyond	0
the	the	dt	the	the	0
Saults	Saults	n2	Saults	fault	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
44.	44.	crd	44.	44.	0
deg	deg	n1	deg	deg	0
.	.	.	.	.	1
They	They	pns32	They	they	0
depart	depart	vvb	depart	depart	0
from	from	p-acp	from	from	0
Charlesburg	Charlesburg	np1	Charlesburg	Charlesburg	0
Royal	Royal	j	Royal	royal	0
the	the	dt	the	the	0
7.	7.	crd	7.	7.	0
of	of	pp-f	of	of	0
Septem	Septem	np1	Septem	Septem	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
The	The	dt	The	the	0
Towne	Towne	n1	Town	town	0
ofTutonaguy	ofTutonaguy	j	ofTutonaguy	oftutonaguy	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Bad	Bad	vvd	bade	bid	0
ground	ground	n1	ground	ground	0
and	and	cc	and	and	0
a	a	dt	a	a	0
great	great	j	great	great	0
current	current	n1	current	current	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
Towne	Towne	n1	Town	town	0
of	of	pp-f	of	of	0
friendly	friendly	j	friendly	friendly	0
people	people	n1	people	people	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Another	Another	j-jn	Another	another	0
village	village	n1	village	village	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
people	people	n1	people	people	0
which	which	r-crq	which	which	0
dwell	dwell	vvb	dwell	dwell	0
over	over	a-acp	over	over	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
second	second	ord	second	second	0
Sault	Sault	n1	Salt	salt	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
and	and	cc	and	and	0
left	left	vvd	left	leave	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
their	their	po32	their	their	0
language	language	n1	language	language	0
,	,	,	,	,	0
and	and	cc	and	and	0
bestowed	bestowed	vvn	bestowed	bestow	0
upon	upon	p-acp	upon	upon	0
him	him	pno31	him	he	0
a	a	dt	a	a	0
cloake	cloake	n1	cloak	cloak	0
of	of	pp-f	of	of	0
Paris	Paris	np1	Paris	Paris	0
red	red	vvd	read	read	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
cloake	cloake	n1	cloak	cloak	0
was	was	vbds	was	be	0
set	set	vvn	set	set	0
with	with	p-acp	with	with	0
yealow	yealow	j-jn	yellow	yellow	0
and	and	cc	and	and	0
white	white	j-jn	white	white	0
buttons	buttons	n2	buttons	button	0
of	of	pp-f	of	of	0
Tinne	Tinne	n1	Tin	tin	0
,	,	,	,	,	0
and	and	cc	and	and	0
small	small	j	small	small	0
belles	belles	n2	bells	bell	0
.	.	.	.	.	1
And	And	cc	And	and	0
withall	withall	av	withal	withal	0
hee	hee	pns31	he	he	0
gave	gave	vvd	gave	give	0
him	him	pno31	him	he	0
two	two	crd	two	two	0
Basins	Basins	n2	Basins	basin	0
of	of	pp-f	of	of	0
Laton	Laton	np1	Laton	Laton	0
,	,	,	,	,	0
and	and	cc	and	and	0
certaine	certaine	j	certain	certain	0
hachets	hachets	n2	hachets	hachet	0
and	and	cc	and	and	0
knives	knives	n2	knives	knife	0
:	:	:	:	:	0
whereat	whereat	c-crq	whereat	whereat	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Lord	Lord	n1	Lord	lord	0
seemed	seemed	vvd	seemed	seem	0
highly	highly	av-j	highly	high	0
to	to	pc-acp	to	to	0
rejoyce	rejoyce	vvi	rejoice	rejoice	0
,	,	,	,	,	0
and	and	cc	and	and	0
thanked	thanked	vvd	thanked	thank	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
.	.	.	.	.	1
This	This	d	This	this	0
done	done	vdn	done	do	0
,	,	,	,	,	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
and	and	cc	and	and	0
his	his	po31	his	his	0
company	company	n1	company	company	0
departed	departed	vvd	departed	depart	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
place	place	n1	place	place	0
:	:	:	:	:	0
And	And	cc	And	and	0
wee	wee	pns12	we	we	0
sailed	sailed	vvd	sailed	sail	0
with	with	p-acp	with	with	0
so	so	av	so	so	0
prosperous	prosperous	j	prosperous	prosperous	0
a	a	dt	a	a	0
wind	wind	n1	wind	wind	0
,	,	,	,	,	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
arrived	arrived	vvd	arrived	arrive	0
the	the	dt	the	the	0
eleventh	eleventh	ord	eleventh	eleven	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Sault	Sault	n1	Salt	salt	0
of	of	pp-f	of	of	0
water	water	n1	water	water	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
two	two	crd	two	two	0
leagues	leagues	n2	leagues	league	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Towne	Towne	n1	Town	town	0
of	of	pp-f	of	of	0
Tutonaguy	Tutonaguy	j	Tutonaguy	tutonaguy	0
.	.	.	.	.	1
And	And	cc	And	and	0
after	after	c-acp	after	after	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
arrived	arrived	vvn	arrived	arrive	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
determined	determined	vvd	determined	determine	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
and	and	cc	and	and	0
passe	passe	vvi	pass	pass	0
as	as	c-acp	as	as	0
farre	farre	av-j	far	far	0
up	up	a-acp	up	up	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
possible	possible	j	possible	possible	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
boates	boates	n2	boats	boat	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
should	should	vmd	should	shall	0
stay	stay	vvi	stay	stay	0
there	there	a-acp	there	there	0
till	till	c-acp	till	till	0
it	it	pn31	it	it	0
returned	returned	vvd	returned	return	0
:	:	:	:	:	0
and	and	cc	and	and	0
wee	wee	pns12	we	we	0
double	double	vvb	double	double	0
manned	manned	vvn	manned	man	0
her	her	pno31	her	she	0
to	to	pc-acp	to	to	0
rowe	rowe	vvi	row	row	0
up	up	a-acp	up	up	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
course	course	n1	course	course	0
or	or	cc	or	or	0
streame	streame	n1	stream	stream	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Sault	Sault	n1	Salt	salt	0
.	.	.	.	.	1
And	And	cc	And	and	0
after	after	c-acp	after	after	0
wee	wee	pns12	we	we	0
had	had	vhd	had	have	0
passed	passed	vvn	passed	pass	0
some	some	d	some	some	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
other	other	j-jn	other	other	0
boate	boate	n1	boat	boat	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
found	found	vvd	found	find	0
badde	badde	vvd	bad	bid	0
ground	ground	n1	ground	ground	0
and	and	cc	and	and	0
great	great	j	great	great	0
rockes	rockes	n2	rocks	rock	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
current	current	n1	current	current	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
possibly	possibly	av-j	possibly	possible	0
passe	passe	vvi	pass	pass	0
any	any	d	any	any	0
further	further	av-jc	further	further	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
Boate	Boate	n1	Boat	boat	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
resolved	resolved	vvd	resolved	resolve	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
by	by	p-acp	by	by	0
land	land	n1	land	land	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
the	the	dt	the	the	0
nature	nature	n1	nature	nature	0
and	and	cc	and	and	0
fashion	fashion	n1	fashion	fashion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Sault	Sault	n1	Salt	salt	0
.	.	.	.	.	1
And	And	cc	And	and	0
after	after	c-acp	after	after	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
were	were	vbdr	were	be	0
come	come	vvn	come	come	0
on	on	p-acp	on	on	0
shore	shore	n1	shore	shore	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
founde	founde	vvd	found	find	0
hard	hard	av-j	hard	hard	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
water	water	n1	water	water	0
side	side	n1	side	side	0
a	a	dt	a	a	0
way	way	n1	way	way	0
and	and	cc	and	and	0
beaten	beaten	j-vvn	beaten	beat	0
path	path	n1	path	path	0
going	going	vvg	going	go	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
sayde	sayde	j-vvn	said	say	0
Saultes	Saultes	n2	Saults	fault	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
tooke	tooke	vvd	took	take	0
our	our	po12	our	our	0
way	way	n1	way	way	0
.	.	.	.	.	1
And	And	cc	And	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
soone	soone	av	soon	soon	0
after	after	c-acp	after	after	0
we	we	pns12	we	we	0
found	found	vvd	found	find	0
an	an	dt	and	a	0
habitation	habitation	n1	habitation	habitation	0
of	of	pp-f	of	of	0
people	people	n1	people	people	0
which	which	r-crq	which	which	0
made	made	vvd	made	make	0
us	us	pno12	us	we	0
great	great	j	great	great	0
cheere	cheere	n1	cheer	cheer	0
,	,	,	,	,	0
and	and	cc	and	and	0
entertained	entertained	vvd	entertained	entertain	0
us	us	pno12	us	we	0
very	very	av	very	very	0
friendly	friendly	j	friendly	friendly	0
.	.	.	.	.	1
And	And	cc	And	and	0
after	after	c-acp	after	after	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
signified	signified	vvn	signified	signify	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
going	going	vvg	going	go	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
Saults	Saults	n2	Saults	fault	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
desired	desired	vvd	desired	desire	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
Saguenay	Saguenay	np1	Saguenay	Saguenay	0
,	,	,	,	,	0
foure	foure	crd	foure	four	0
yong	yong	j	young	young	0
men	men	n2	men	man	0
went	went	vvd	went	go	0
along	along	a-acp	along	along	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
shewe	shewe	vvi	show	show	0
us	us	pno12	us	we	0
the	the	dt	the	the	0
way	way	n1	way	way	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
brought	brought	vvd	brought	bring	0
us	us	pno12	us	we	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
another	another	j-jn	another	another	0
village	village	n1	village	village	0
or	or	cc	or	or	0
habitation	habitation	n1	habitation	habitation	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
people	people	n1	people	people	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
dwell	dwell	vvb	dwell	dwell	0
over	over	a-acp	over	over	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
second	second	ord	second	second	0
Sault	Sault	n1	Salt	salt	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
came	came	vvd	came	come	0
and	and	cc	and	and	0
brought	brought	vvd	brought	bring	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
victuals	victuals	n2	victuals	victual	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Pottage	Pottage	n1	Pottage	pottage	0
and	and	cc	and	and	0
Fish	Fish	n1	Fish	fish	0
,	,	,	,	,	0
and	and	cc	and	and	0
offered	offered	vvd	offered	offer	0
us	us	pno12	us	we	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
had	had	vhd	had	have	0
enquired	enquired	vvn	inquired	inquire	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
by	by	p-acp	by	by	0
signes	signes	n2	signs	sign	0
as	as	c-acp	as	as	0
wordes	wordes	n2	words	word	0
,	,	,	,	,	0
how	how	c-crq	how	how	0
many	many	d	many	many	0
more	more	dc	more	more	0
Saults	Saults	n2	Saults	fault	0
wee	wee	pns12	we	we	0
had	had	vhd	had	have	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
Saguenay	Saguenay	np1	Saguenay	Saguenay	0
,	,	,	,	,	0
and	and	cc	and	and	0
what	what	r-crq	what	what	0
distance	distance	n1	distance	distance	0
and	and	cc	and	and	0
way	way	n1	way	way	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
thither	thither	av	thither	thither	0
,	,	,	,	,	0
this	this	d	this	this	0
people	people	n1	people	people	0
shewed	shewed	vvd	showed	show	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
gave	gave	vvd	gave	give	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
were	were	vbdr	were	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
270	270	crd	270	270	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1540.	1540.	crd	1540.	1540	0
second	second	ord	second	second	0
Sault	Sault	n1	Salt	salt	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
there	there	a-acp	there	there	0
was	was	vbds	was	be	0
but	but	cc-acp	but	but	0
one	one	pi	one	one	0
more	more	dc	more	more	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
,	,	,	,	,	0
They	They	pns32	They	they	0
were	were	vbdr	were	be	0
at	at	p-acp	at	at	0
that	that	d	that	that	0
the	the	dt	the	the	0
River	River	n1	River	river	0
