These	These	np1	These	Theise	0
hinderance	hinderance	n1	hindrance	hindrance	0
and	and	cc	and	and	0
losse	losse	n1	loss	loss	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
by	by	p-acp	by	by	0
vertue	vertue	n1	virtue	virtue	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
were	were	vbdr	were	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
hold	hold	vvi	hold	hold	0
Innes	Innes	np1	Innes	Innes	0
and	and	cc	and	and	0
mansions	mansions	n2	mansions	mansion	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
reposing	reposing	j-vvg	reposing	repose	0
of	of	pp-f	of	of	0
themselves	themselves	px32	themselves	themselves	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
wheresoever	wheresoever	c-crq	wheresoever	wheresoever	0
they	they	pns32	they	they	0
pleased	pleased	vvd	pleased	please	0
in	in	p-acp	in	in	0
any	any	d	any	any	0
cities	cities	n2	cities	city	0
,	,	,	,	,	0
boroughs	boroughs	n2	boroughs	borough	0
,	,	,	,	,	0
or	or	cc	or	or	0
villages	villages	n2	villages	village	0
,	,	,	,	,	0
throughout	throughout	p-acp	throughout	throughout	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
kingdome	kingdome	n1	kingdom	kingdom	0
:	:	:	:	:	0
howbeit	howbeit	a-acp	howbeit	howbeit	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
the	the	dt	the	the	0
foresaide	foresaide	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
suffered	suffered	vvn	suffered	suffer	0
to	to	pc-acp	to	to	0
take	take	vvi	take	take	0
up	up	a-acp	up	up	0
their	their	po32	their	their	0
mansions	mansions	n2	mansions	mansion	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenour	tenour	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
are	are	vbr	are	be	0
privileged	privileged	vvn	privileged	privilege	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
undergoe	undergoe	vvi	undergo	undergo	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
burthens	burthens	n2	burdens	burden	0
or	or	cc	or	or	0
impositions	impositions	n2	impositions	imposition	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
certaine	certaine	j	certain	certain	0
customs	customs	n2	customs	custom	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
doeth	doeth	vdz	doth	do	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
manifestly	manifestly	av-j	manifestly	manifest	0
appeare	appeare	vvi	appear	appear	0
.	.	.	.	.	1
Notwithstanding	Notwithstanding	a-acp	Notwithstanding	notwithstanding	0
at	at	p-acp	at	at	0
ye	ye	pn22	you	you	0
same	same	d	same	same	0
time	time	n1	time	time	0
when	when	c-crq	when	when	0
Simon	Simon	np1	Simon	Simon	0
de	de	fw-fr	de	de	0
Moreden	Moreden	np1	Moreden	Moreden	0
was	was	vbds	was	be	0
maior	maior	n1	mayor	mayor	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
were	were	vbdr	were	be	0
constrained	constrained	vvn	constrained	constrain	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ward	ward	n1	ward	ward	0
of	of	pp-f	of	of	0
Dove-gate	Dove-gate	n1	Dove-gate	dove-gate	0
at	at	p-acp	at	at	0
London	London	np1	London	London	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
fifteenths	fifteenths	n2	fifteenths	fifteenth	0
,	,	,	,	,	0
tallages	tallages	n2	tallages	tallage	0
,	,	,	,	,	0
and	and	cc	and	and	0
72	72	crd	72	72	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
other	other	n-jn	other	other	0
subsidies	subsidies	n2	subsidies	subsidy	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
liberties	liberties	n2	liberties	liberty	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
.	.	.	.	.	1
Whereupon	Whereupon	c-crq	Whereupon	whereupon	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
prosecuted	prosecuted	vvd	prosecuted	prosecute	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Councel	Councel	n1	Council	council	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
soveraign	soveraign	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
insomuch	insomuch	av	insomuch	insomuch	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
released	released	vvn	released	release	0
from	from	p-acp	from	from	0
paying	paying	vvg	paying	pay	0
afterward	afterward	av	afterwards	afterward	0
any	any	d	any	any	0
such	such	d	such	such	0
tallages	tallages	n2	tallages	tallage	0
,	,	,	,	,	0
fifteenths	fifteenths	n2	fifteenths	fifteenth	0
,	,	,	,	,	0
and	and	cc	and	and	0
subsidies	subsidies	n2	subsidies	subsidy	0
.	.	.	.	.	1
Which	Which	r-crq	Which	which	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
a	a	dt	a	a	0
while	while	n1	while	while	0
after	after	a-acp	after	after	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
accord	accord	n1	accord	accord	0
and	and	cc	and	and	0
free	free	j	free	free	0
will	will	n1	will	will	0
,	,	,	,	,	0
gave	gave	vvd	gave	give	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
gild-hall	gild-hall	n1	gildhall	gildhall	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
an	an	dt	and	a	0
hundreth	hundreth	ord	hundreth	hundred	0
markes	markes	n2	marks	mark	0
sterling	sterling	j-jn	sterling	sterling	0
,	,	,	,	,	0
conditionally	conditionally	av-j	conditionally	conditional	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ci	ci	fw-fr	ci	ci	0
tie	tie	n1	tie	tie	0
aforesaide	aforesaide	j	aforesaid	aforesaid	0
should	should	vmd	should	shall	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
time	time	n1	time	time	0
after	after	p-acp	after	after	0
exact	exact	j	exact	exact	0
or	or	cc	or	or	0
demaund	demaund	vvi	demand	demand	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
successors	successors	n2	successors	successor	0
,	,	,	,	,	0
any	any	d	any	any	0
tallages	tallages	n2	tallages	tallage	0
,	,	,	,	,	0
fifteenths	fifteenths	n2	fifteenths	fifteenth	0
,	,	,	,	,	0
or	or	cc	or	or	0
subsidies	subsidies	n2	subsidies	subsidy	0
,	,	,	,	,	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
records	records	n2	records	record	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
gild-hall	gild-hall	n1	gildhall	gildhall	0
,	,	,	,	,	0
it	it	pn31	it	it	0
doth	doth	vdz	does	do	0
more	more	n1	more	moor	0
plainly	plainly	av-j	plainly	plain	0
appeare	appeare	vvi	appear	appear	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
the	the	dt	the	the	0
officers	officers	n2	officers	officer	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
ward	ward	n1	ward	ward	0
of	of	pp-f	of	of	0
Dove-gate	Dove-gate	n1	Dove-gate	dove-gate	0
,	,	,	,	,	0
constrained	constrained	vvn	constrained	constrain	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
tallages	tallages	n2	tallages	tallage	0
,	,	,	,	,	0
fifteenths	fifteenths	n2	fifteenths	fifteenth	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
subsidies	subsidies	n2	subsidies	subsidy	0
.	.	.	.	.	1
And	And	cc	And	and	0
because	because	c-acp	because	because	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
murmured	murmured	vvd	murmured	murmur	0
and	and	cc	and	and	0
refused	refused	vvd	refused	refuse	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
any	any	d	any	any	0
such	such	d	such	such	0
contributions	contributions	n2	contributions	contribution	0
,	,	,	,	,	0
alleaging	alleaging	vvg	alleging	allege	0
their	their	po32	their	their	0
privileges	privileges	n2	privileges	privilege	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
officers	officers	n2	officers	officer	0
arrested	arrested	vvn	arrested	arrest	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
said	said	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
as	as	a-acp	as	as	0
yet	yet	av	yet	yet	0
detained	detained	vvn	detained	detain	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
arrest	arrest	n1	arrest	arrest	0
)	)	)	)	)	0
notwithstanding	notwithstanding	c-acp	notwithstanding	notwithstanding	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
released	released	vvn	released	release	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
councel	councel	n1	council	council	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
&	&	cc	&	and	0
also	also	av	also	also	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
gave	gave	vvd	gave	give	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
gild-hall	gild-hall	n1	gildhall	gildhall	0
one	one	crd	one	one	0
hundreth	hundreth	ord	hundreth	hundred	0
marks	marks	n2	marks	mark	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
released	released	vvn	released	release	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
.	.	.	.	.	1
And	And	cc	And	and	0
also	also	av	also	also	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
were	were	vbdr	were	be	0
constrained	constrained	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
I2	I2	np1	I2	I2	0
.	.	.	.	.	1
d	d	sy	worser	d	0
.	.	.	.	.	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
pound	pound	n1	pound	pound	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
6.d	6.d	crd	6.d	6.d	0
.	.	.	.	.	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
subsidies	subsidies	n2	subsidies	subsidy	0
,	,	,	,	,	0
more	more	av-dc	more	more	0
then	then	cs	then	than	0
their	their	po32	their	their	0
ancient	ancient	j	ancient	ancient	0
customes	customes	n2	customs	custom	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
great	great	j	great	great	0
damage	damage	n1	damage	damage	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
marchants	marchants	n2	merchants	merchant	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
are	are	vbr	are	be	0
privileged	privileged	vvn	privileged	privilege	0
as	as	p-acp	as	as	0
touching	touching	vvg	touching	touch	0
The	The	dt	The	the	0
ancient	ancient	j	ancient	ancient	0
customs	customs	n2	customs	custom	0
of	of	pp-f	of	of	0
wols	wols	n2	wols	wol	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
bought	bought	vvd	bought	buy	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
realm	realm	n1	realm	realm	0
of	of	pp-f	of	of	0
^1°	^1°	n1	1°	1°	0
™	™	sy	™	™	0
*	*	*	*	*	0
England	England	np1	England	England	0
,	,	,	,	,	0
y£	y£	n1	y£	y£	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
,	,	,	,	,	0
over	over	a-acp	over	over	0
&	&	cc	&	and	0
besides	besides	p-acp	beside	beside	0
w°°	w°°	n1	w°°	w°°	0
’	’	’	’	’	0
their	their	po32	their	their	0
ancient	ancient	j	ancient	ancient	0
customs	customs	n2	customs	custom	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
onely	onely	av-j	only	only	0
xl	xl	crd	xl	forty	0
.	.	.	.	.	1
d	d	sy	worser	d	0
.	.	.	.	.	0
more	more	dc	more	more	0
then	then	cs	then	than	0
the	the	dt	the	the	0
homeborn	homeborn	j	homeborn	homeborn	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
were	were	vbdr	were	be	0
wont	wont	j	wont	wont	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
now	now	av	now	now	0
ye	ye	pn22	you	you	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
are	are	vbr	are	be	0
compelled	compelled	vvn	compelled	compel	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
sack	sack	n1	sack	sack	0
of	of	pp-f	of	of	0
wool	wool	n1	wool	wool	0
(	(	(	(	(	0
besides	besides	p-acp	beside	beside	0
ye	ye	dt	the	the	0
ancient	ancient	j	ancient	ancient	0
custom	custom	n1	custom	custom	0
&	&	cc	&	and	0
the	the	dt	the	the	0
4O	4O	av	4O	4o	0
.	.	.	.	.	1
d	d	sy	worser	d	0
.	.	.	.	.	0
aforesaid	aforesaid	vvn	aforesaid	aforesaid	0
)	)	)	)	)	0
a	a	dt	a	a	0
certain	certain	j	certain	certain	0
imposition	imposition	n1	imposition	imposition	0
called	called	vvn	called	call	0
Pence	Pence	n2	Pence	penny	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Pence	Pence	n2	Pence	penny	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
town	town	n1	town	town	0
of	of	pp-f	of	of	0
Cales	Cales	np1	Cales	Cales	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
for	for	p-acp	for	for	0
every	every	d	every	every	0
sack	sack	n1	sack	sack	0
of	of	pp-f	of	of	0
wool	wool	n1	wool	wool	0
i9	i9	n1	i9	i9	0
.	.	.	.	.	1
d	d	sy	worser	d	0
.	.	.	.	.	0
more	more	dc	more	more	0
then	then	cs	then	than	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
doe	doe	vdb	do	do	0
pay	pay	vvi	pay	pay	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
great	great	j	great	great	0
losse	losse	n1	loss	loss	0
,	,	,	,	,	0
&	&	cc	&	and	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
liberty	liberty	n1	liberty	liberty	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
marchants	marchants	n2	merchants	merchant	0
are	are	vbr	are	be	0
privileged	privileged	vvn	privileged	privilege	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
charter	charter	n1	charter	charter	0
,	,	,	,	,	0
that	that	cst	that	that	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
quantity	quantity	n1	quantity	quantity	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
marchandize	marchandize	n1	merchandise	merchandise	0
brought	brought	vvn	brought	bring	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
regard	regard	n1	regard	regard	0
whereof	whereof	c-crq	whereof	whereof	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
pay	pay	vvi	pay	pay	0
3.d	3.d	crd	3.d	3.d	0
.	.	.	.	.	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
worth	worth	n1	worth	worth	0
of	of	pp-f	of	of	0
every	every	d	every	every	0
pound	pound	n1	pound	pound	0
of	of	pp-f	of	of	0
silver	silver	n1	silver	silver	0
)	)	)	)	)	0
credit	credit	n1	credit	credit	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
masters	masters	n2	master's	master	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
companies	companies	n2	companies	company	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
able	able	j	able	able	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
them	them	pno32	them	they	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
so	so	av	so	so	0
be	be	vbb	be	be	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
no	no	dx	no	no	0
letters	letters	n2	letters	letter	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
behalfe	behalfe	n1	behalf	behalf	0
to	to	pc-acp	to	to	0
shew	shew	vvi	show	show	0
,	,	,	,	,	0
that	that	cst	that	that	0
then	then	av	then	then	0
credite	credite	n1	credit	credit	0
should	should	vmd	should	shall	0
bee	bee	vbi	be	be	0
given	given	vvn	given	give	0
unto	unto	p-acp	unto	unto	0
themselves	themselves	px32	themselves	themselves	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
their	their	po32	their	their	0
othe	othe	n1	other	oath	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
othe	othe	n-jn	other	other	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
atturney	atturney	n1	attorney	attorney	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
taken	taken	vvn	taken	take	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
proof	proof	n1	proof	proof	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
