Articles	Articles	n2	Articles	article	0
Atturneis	Atturneis	n2	Atturneis	atturnei	0
generail	generail	j	generail	generail	0
and	and	cc	and	and	0
speciali	speciali	fw-la	speciali	speciali	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
whole	whole	j-jn	whole	whole	0
body	body	n1	body	body	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
buy	buy	vvi	buy	buy	0
,	,	,	,	,	0
sei	sei	n1	sei	sei	0
,	,	,	,	,	0
trucke	trucke	vvi	truck	truck	0
,	,	,	,	,	0
change	change	n1	change	change	0
and	and	cc	and	and	0
permute	permute	vvi	permute	permute	0
al	al	d	all	all	0
,	,	,	,	,	0
and	and	cc	and	and	0
every	every	d	every	every	0
kind	kind	j	kind	kind	0
and	and	cc	and	and	0
kindes	kindes	n2	kinds	kind	0
of	of	pp-f	of	of	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
marchandizes	marchandizes	n2	merchandizes	merchandize	0
and	and	cc	and	and	0
goods	goods	n2-j	goods	good	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
company	company	n1	company	company	0
appertaining	appertaining	vvg	appertaining	appertain	0
,	,	,	,	,	0
now	now	av	now	now	0
laden	laden	vvn	laden	lade	0
&	&	cc	&	and	0
shipped	shipped	vvn	shipped	ship	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
good	good	j	good	good	0
ship	ship	n1	ship	ship	0
called	called	vvd	called	call	0
the	the	dt	the	the	0
Edward	Edward	np1	Edward	Edward	0
Bonaventure	Bonaventure	np1	Bonaventure	Bonaventure	0
,	,	,	,	,	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
utter	utter	vvi	utter	utter	0
and	and	cc	and	and	0
sell	sell	vvi	fell	sell	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
best	best	js	best	best	0
commoditie	commoditie	n1	commodity	commodity	0
,	,	,	,	,	0
profit	profit	n1	profit	profit	0
and	and	cc	and	and	0
advantage	advantage	n1	advantage	advantage	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
corporation	corporation	n1	corporation	corporation	0
,	,	,	,	,	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
ready	ready	j	ready	ready	0
money	money	n1	money	money	0
,	,	,	,	,	0
wares	wares	n2	wares	ware	0
&	&	cc	&	and	0
marchandises	marchandises	n2	merchandises	merchandise	0
,	,	,	,	,	0
or	or	cc	or	or	0
truck	truck	vvd	truck	truck	0
,	,	,	,	,	0
presently	presently	av-j	presently	present	0
,	,	,	,	,	0
or	or	cc	or	or	0
for	for	p-acp	for	for	0
time	time	n1	time	time	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
occasion	occasion	n1	occasion	occasion	0
&	&	cc	&	and	0
benefit	benefit	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
company	company	n1	company	company	0
shal	shal	vmb	shall	shall	0
require	require	vvi	require	require	0
:	:	:	:	:	0
and	and	cc	and	and	0
all	all	d	all	all	0
such	such	d	such	such	0
wares	wares	n2	wares	ware	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
or	or	cc	or	or	0
either	either	d	either	either	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
shal	shal	vmb	shall	shall	0
buy	buy	vvi	buy	buy	0
,	,	,	,	,	0
trucke	trucke	vvi	truck	truck	0
,	,	,	,	,	0
or	or	cc	or	or	0
provide	provide	vvi	provide	provide	0
,	,	,	,	,	0
or	or	cc	or	or	0
cause	cause	n1	cause	cause	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
bought	bought	vvn	bought	buy	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
company	company	n1	company	company	0
to	to	pc-acp	to	to	0
lade	lade	vvi	lade	lade	0
them	them	pno32	them	they	0
homeward	homeward	av	homeward	homeward	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
order	order	n1	order	order	0
and	and	cc	and	and	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
prudent	prudent	j	prudent	prudent	0
course	course	n1	course	course	0
of	of	pp-f	of	of	0
marchandises	marchandises	n2	merchandises	merchandise	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
,	,	,	,	,	0
and	and	cc	and	and	0
ought	ought	pi	ought	aught	0
to	to	pc-acp	to	to	0
appertaine	appertaine	vvi	appertain	appertain	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
article	article	n1	article	article	0
extendeth	extendeth	vvz	extendeth	extend	0
also	also	av	also	also	0
to	to	p-acp	to	to	0
John	John	np1	John	John	0
Brooke	Brooke	vvi	Brook	brook	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Wardhouse	Wardhouse	np1	Wardhouse	Wardhouse	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
17.	17.	crd	17.	17.	0
and	and	cc	and	and	0
18.	18.	crd	18.	18.	0
articles	articles	n2	articles	article	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
commission	commission	n1	commission	commission	0
appeareth	appeareth	vvz	appears	appear	0
.	.	.	.	.	1
2	2	crd	2	2	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
also	also	av	also	also	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
above	above	a-acp	above	above	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Agents	Agents	n2	Agents	agent	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
binde	binde	vvi	bind	bind	0
&	&	cc	&	and	0
charge	charge	vvi	charge	charge	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
company	company	n1	company	company	0
by	by	p-acp	by	by	0
debt	debt	n1	debt	debt	0
for	for	p-acp	for	for	0
wares	wares	n2	wares	ware	0
upon	upon	p-acp	upon	upon	0
credit	credit	n1	credit	credit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
good	good	j	good	good	0
opportunitie	opportunitie	n1	opportunity	opportunity	0
and	and	cc	and	and	0
occasion	occasion	n1	occasion	occasion	0
shal	shal	vmb	shall	shall	0
serve	serve	vvi	serve	serve	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
power	power	n1	power	power	0
to	to	pc-acp	to	to	0
charge	charge	vvi	charge	charge	0
and	and	cc	and	and	0
bind	bind	vvi	bind	bind	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
company	company	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
their	their	po32	their	their	0
successors	successors	n2	successors	successor	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
paiments	paiments	n2	payments	payment	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
things	things	n2	things	thing	0
as	as	p-acp	as	as	0
281	281	crd	281	281	0
shalbe	shalbe	vmb	shall	shall	0
taken	taken	vvi	taken	take	0
up	up	a-acp	up	up	0
for	for	p-acp	for	for	0
credite	credite	n1	credit	credit	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Agents	Agents	n2	Agents	agent	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
relieved	relieved	vvn	relieved	relieve	0
ab	ab	fw-la	ab	ab	0
opere	opere	fw-la	opere	opere	0
satis	satis	fw-la	satis	satis	0
dandi	dandi	fw-la	dandi	dandi	0
.	.	.	.	.	1
3	3	crd	3	3	0
Item	Item	n1	Item	item	0
full	full	j	full	full	0
authoritie	authoritie	n1	authority	authority	0
and	and	cc	and	and	0
power	power	n1	power	power	0
is	is	vbz	is	be	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
said	said	vvd	said	say	0
first	first	ord	first	first	0
named	named	vvn	nam	name	0
factors	factors	n2	factors	factor	0
,	,	,	,	,	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
Richard	Richard	np1	Richard	Richard	0
Chancelor	Chancelor	n1	Chancellor	chancellor	0
grand	grand	j	grand	grand	0
Pilot	Pilot	n1	Pilot	pilot	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
fleete	fleete	n1	fleet	fleet	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
repaire	repaire	vvi	repair	repair	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Emperors	Emperors	ng1	Emperor's	emperor	0
court	court	n1	court	court	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
present	present	vvi	present	present	0
the	the	dt	the	the	0
king	king	n1	king	king	0
and	and	cc	and	and	0
Queenes	Queenes	ng1	Queens	queen	0
Majesties	Majesties	ng1	Majesties	majesty	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
Greeke	Greeke	jp	Greek	greek	0
,	,	,	,	,	0
Polish	Polish	vvb	Polish	polish	0
,	,	,	,	,	0
and	and	cc	and	and	0
Italian	Italian	jp	Italian	italian	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
and	and	cc	and	and	0
exhibite	exhibite	vvi	exhibit	exhibit	0
the	the	dt	the	the	0
marchants	marchants	ng2	merchants	merchant	0
presents	presents	n2	presents	present	0
at	at	p-acp	at	at	0
such	such	d	such	such	0
time	time	n1	time	time	0
and	and	cc	and	and	0
place	place	n1	place	place	0
as	as	c-acp	as	as	0
shalbe	shalbe	vmb	shall	shall	0
thought	thought	n1	thought	thought	0
most	most	av-ds	most	most	0
expedient	expedient	j	expedient	expedient	0
,	,	,	,	,	0
they	they	pns32	they	they	0
,	,	,	,	,	0
or	or	cc	or	or	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
demand	demand	vvi	demand	demand	0
,	,	,	,	,	0
and	and	cc	and	and	0
humbly	humbly	av-j	humbly	humble	0
desire	desire	vvi	desire	desire	0
of	of	pp-f	of	of	0
ye	ye	pn22	you	you	0
Emperour	Emperour	n1	Emperor	emperor	0
such	such	d	such	such	0
further	further	jc	further	further	0
grants	grants	n2	grants	grant	0
and	and	cc	and	and	0
priviledges	priviledges	n2	privileges	privilege	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
beneficiall	beneficiall	j	beneficial	beneficial	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
continue	continue	vvi	continue	continue	0
in	in	p-acp	in	in	0
traffike	traffike	n1	traffic	traffic	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
such	such	d	such	such	0
instructions	instructions	n2	instructions	instruction	0
as	as	c-acp	as	as	0
bee	bee	vbb	be	be	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
behalfe	behalfe	n1	behalf	behalf	0
devised	devised	vvn	devised	devise	0
and	and	cc	and	and	0
delivered	delivered	vvn	delivered	deliver	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Agents	Agents	n2	Agents	agent	0
whereunto	whereunto	c-crq	whereunto	whereunto	0
relation	relation	n1	relation	relation	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
had	had	vhn	had	have	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
persons	persons	n2	persons	person	0
to	to	pc-acp	to	to	0
attend	attend	vvi	attend	attend	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
court	court	n1	court	court	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
obtaining	obtaining	n-vvg	obtaining	obtain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
discretions	discretions	n2	discretions	discretion	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
thought	thought	vvn	thought	think	0
good	good	j	good	good	0
.	.	.	.	.	1
4	4	crd	4	4	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Agents	Agents	n2	Agents	agent	0
doe	doe	vdb	do	do	0
well	well	av	well	well	0
consider	consider	vvi	consider	consider	0
,	,	,	,	,	0
ponder	ponder	vvi	ponder	ponder	0
and	and	cc	and	and	0
weigh	weigh	vvi	weigh	weigh	0
such	such	d	such	such	0
articles	articles	n2	articles	article	0
as	as	c-acp	as	as	0
bee	bee	vbb	be	be	0
delivered	delivered	vvn	delivered	deliver	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
to	to	pc-acp	to	to	0
know	know	vvi	know	know	0
the	the	dt	the	the	0
natures	natures	n2	nature's	nature	0
,	,	,	,	,	0
dispositions	dispositions	n2	dispositions	disposition	0
,	,	,	,	,	0
lawes	lawes	n2	laws	law	0
,	,	,	,	,	0
customes	customes	n2	customs	custom	0
,	,	,	,	,	0
maners	maners	n2	manners	manner	0
and	and	cc	and	and	0
behaviours	behaviours	n2	behaviours	behaviour	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
countreis	countreis	n2	countries	country	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
shal	shal	vmb	shall	shall	0
traffike	traffike	vvi	traffic	traffic	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
well	well	av	well	well	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Nobilitie	Nobilitie	n1	Nobility	nobility	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Lawyers	Lawyers	n2	Lawyers	lawyer	0
,	,	,	,	,	0
Marchants	Marchants	n2	Merchants	merchant	0
,	,	,	,	,	0
Mariners	Mariners	n2	Mariners	mariner	0
and	and	cc	and	and	0
common	common	j	common	common	0
people	people	n1	people	people	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
note	note	vvi	note	note	0
diligently	diligently	av-j	diligently	diligent	0
the	the	dt	the	the	0
subtilties	subtilties	n2	subtleties	subtlety	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
bargaining	bargaining	vvg	bargaining	bargain	0
,	,	,	,	,	0
buying	buying	vvg	buying	buy	0
and	and	cc	and	and	0
selling	selling	vvg	selling	sell	0
,	,	,	,	,	0
making	making	vvg	making	make	0
as	as	p-acp	as	as	0
fewe	fewe	d	few	few	0
debtes	debtes	n2	debts	debt	0
as	as	c-acp	as	as	0
possiblie	possiblie	av-j	possibly	possible	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
circumspect	circumspect	j	circumspect	circumspect	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
lawe	lawe	n1	law	law	0
neither	neither	av-d	neither	neither	0
of	of	pp-f	of	of	0
religion	religion	n1	religion	religion	0
nor	nor	ccx	nor	nor	0
positive	positive	j	positive	positive	0
bee	bee	vbb	be	be	0
broken	broken	vvn	broken	break	0
or	or	cc	or	or	0
transgressed	transgressed	vvn	transgressed	transgress	0
by	by	p-acp	by	by	0
them	them	pno32	them	they	0
or	or	cc	or	or	0
any	any	d	any	any	0
minister	minister	n1	minister	minister	0
under	under	p-acp	under	under	0
them	them	pno32	them	they	0
,	,	,	,	,	0
ne	ne	ccx	ne	ne	0
yet	yet	av	yet	yet	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
mariner	mariner	n1	mariner	mariner	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
foresee	foresee	vvi	foresee	foresee	0
that	that	cst	that	that	0
all	all	d	all	all	0
toiles	toiles	n2	toils	toil	0
,	,	,	,	,	0
customes	customes	n2	customs	custom	0
,	,	,	,	,	0
and	and	cc	and	and	0
such	such	d	such	such	0
other	other	j-jn	other	other	0
rites	rites	n2	rites	rite	0
be	be	vbb	be	be	0
so	so	av	so	so	0
duely	duely	av-jn	duly	due	0
paid	paid	vvn	paid	pay	0
,	,	,	,	,	0
that	that	cst	that	that	0
no	no	dx	no	no	0
forfeiture	forfeiture	n1	forfeiture	forfeiture	0
or	or	cc	or	or	0
confiscation	confiscation	n1	confiscation	confiscation	0
may	may	vmb	may	may	0
ensue	ensue	vvi	ensue	ensue	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
goods	goods	n2-j	goods	good	0
either	either	av-d	either	either	0
outward	outward	j	outward	outward	0
or	or	cc	or	or	0
inward	inward	j	inward	inward	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
al	al	d	all	all	0
things	things	n2	things	thing	0
passe	passe	vvi	pass	pass	0
with	with	p-acp	with	with	0
quiet	quiet	j-jn	quiet	quiet	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
breach	breach	n1	breach	breach	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
publike	publike	j	public	public	0
peace	peace	n1	peace	peace	0
or	or	cc	or	or	0
common	common	j	common	common	0
tran-quillitie	tran-quillitie	j	tranquillity	tranquillity	0
of	of	pp-f	of	of	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
places	places	n2	places	place	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
arrive	arrive	vvi	arrive	arrive	0
or	or	cc	or	or	0
traffique	traffique	vvi	traffic	traffic	0
.	.	.	.	.	1
5	5	crd	5	5	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
provision	provision	n1	provision	provision	0
bee	bee	vbi	be	be	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
Mosco	Mosco	np1	Mosco	Moscow	0
or	or	cc	or	or	0
elswhere	elswhere	av	elsewhere	elsewhere	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
or	or	cc	or	or	0
mo	mo	dc	more	more	0
good	good	j	good	good	0
townes	townes	n2	towns	town	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
good	good	j	good	good	0
trade	trade	n1	trade	trade	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
for	for	p-acp	for	for	0
a	a	dt	a	a	0
house	house	n1	house	house	0
or	or	cc	or	or	0
houses	houses	n2	houses	house	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Agents	Agents	n2	Agents	agent	0
,	,	,	,	,	0
and	and	cc	and	and	0
com	com	vvi	come	come	0
-	-	-	-	-	0
282	282	crd	282	282	0
panie	panie	n1	panie	panie	0
to	to	pc-acp	to	to	0
inhabite	inhabite	vvi	inhabit	inhabit	0
and	and	cc	and	and	0
dwell	dwell	vvi	dwell	dwell	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
diets	diets	n2	diets	diet	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
warehouses	warehouses	n2	warehouses	warehouse	0
,	,	,	,	,	0
sellers	sellers	n2	sellers	seller	0
,	,	,	,	,	0
and	and	cc	and	and	0
other	other	j-jn	other	other	0
houses	houses	n2	houses	house	0
of	of	pp-f	of	of	0
offices	offices	n2	offices	office	0
requisite	requisite	j	requisite	requisite	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
none	none	pix	none	none	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
inferiour	inferiour	j-jn	inferior	inferior	0
ministers	ministers	n2	ministers	minister	0
of	of	pp-f	of	of	0
what	what	r-crq	what	what	0
place	place	n1	place	place	0
or	or	cc	or	or	0
vocation	vocation	n1	vocation	vocation	0
soever	soever	av	soever	soever	0
he	he	pns31	he	he	0
be	be	vbb	be	be	0
,	,	,	,	,	0
doe	doe	vdb	do	do	0
lie	lie	vvi	lie	lie	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
house	house	n1	house	house	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Agents	Agents	n2	Agents	agent	0
without	without	p-acp	without	without	0
licence	licence	n1	licence	licence	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
every	every	d	every	every	0
inferiour	inferiour	j-jn	inferior	inferior	0
officer	officer	n1	officer	officer	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
obedient	obedient	j	obedient	obedient	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
orders	orders	n2	order	order	0
,	,	,	,	,	0
rules	rules	n2	rules	rule	0
and	and	cc	and	and	0
[	[	[	[	[	0
I	I	pns11	I	i	0
.	.	.	.	.	0
260.	260.	crd	260.	260.	0
]	]	]	]	]	0
governments	governments	n2	governments	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Agents	Agents	n2	Agents	agent	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
case	case	n1	case	case	0
any	any	d	any	any	0
disobedient	disobedient	j	disobedient	disobedient	0
person	person	n1	person	person	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
among	among	p-acp	among	among	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
,	,	,	,	,	0
then	then	cs	then	than	0
such	such	d	such	such	0
person	person	n1	person	person	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
punished	punished	vvn	punished	punish	0
for	for	p-acp	for	for	0
his	his	po31	his	his	0
misbehaviour	misbehaviour	n1	misbehaviour	misbehaviour	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
discretion	discretion	n1	discretion	discretion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Agents	Agents	n2	Agents	agent	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
absence	absence	n1	absence	absence	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
.	.	.	.	.	1
6	6	crd	6	6	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
if	if	cs	if	if	0
any	any	d	any	any	0
person	person	n1	person	person	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ministers	ministers	n2	ministers	minister	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
pride	pride	n1	pride	pride	0
or	or	cc	or	or	0
obstinacie	obstinacie	n1	obstinacy	obstinacy	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
one	one	crd	one	one	0
or	or	cc	or	or	0
two	two	crd	two	two	0
honest	honest	j	honest	honest	0
admonitions	admonitions	n2	admonitions	admonition	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
bee	bee	vbi	be	be	0
reformed	reformed	vvn	reformed	reform	0
nor	nor	ccx	nor	nor	0
reconciled	reconciled	vvn	reconciled	reconcile	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
faultes	faultes	n2	faults	fault	0
,	,	,	,	,	0
then	then	cs	then	than	0
the	the	dt	the	the	0
saide	saide	j-vvn	said	say	0
Agents	Agents	n2	Agents	agent	0
to	to	pc-acp	to	to	0
displace	displace	vvi	displace	displace	0
every	every	d	every	every	0
such	such	d	such	such	0
person	person	n1	person	person	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
place	place	n1	place	place	0
or	or	cc	or	or	0
roume	roume	n1	room	room	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
heere	heere	av	here	here	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
and	and	cc	and	and	0
some	some	d	some	some	0
other	other	j-jn	other	other	0
discreete	discreete	j	discreet	discreet	0
person	person	n1	person	person	0
