Laudonnieres	Laudonnieres	np1	Laudonnieres	Laudonnieres	0
bound	bound	vvn	bound	bind	0
to	to	pc-acp	to	to	0
follow	follow	vvi	follow	follow	0
those	those	d	those	those	0
whom	whom	r-crq	whom	who	0
he	he	pns31	he	he	0
hath	hath	vhz	hath	have	0
established	established	vvn	established	establish	0
over	over	p-acp	over	over	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
your	your	po22	your	your	0
governours	governours	n2	governors	governor	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
command	command	vvi	command	command	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
name	name	n1	name	name	0
,	,	,	,	,	0
having	having	vhg	having	have	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
purpose	purpose	n1	purpose	purpose	0
given	given	vvn	given	give	0
him	him	pno31	him	he	0
an	an	dt	and	a	0
oth	oth	n1	oath	oath	0
of	of	pp-f	of	of	0
fidelitie	fidelitie	n1	fidelity	fidelity	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
meanes	meanes	n2	means	mean	0
revoke	revoke	vvi	revoke	revoke	0
for	for	p-acp	for	for	0
any	any	d	any	any	0
faire	faire	j	fair	fair	0
apparance	apparance	n1	appearance	appearance	0
which	which	r-crq	which	which	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
to	to	pc-acp	to	to	0
doe	doe	vdi	do	do	0
the	the	dt	the	the	0
contrary	contrary	n-jn	contrary	contrary	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
this	this	d	this	this	0
is	is	vbz	is	be	0
reason	reason	n1	reason	reason	0
,	,	,	,	,	0
that	that	cst	that	that	0
seeing	seeing	vvg	seeing	see	0
you	you	pn22	you	you	0
live	live	vvb	live	live	0
upon	upon	p-acp	upon	upon	0
his	his	po31	his	his	0
charges	charges	n2	charges	charge	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
condition	condition	n1	condition	condition	0
,	,	,	,	,	0
(	(	(	(	(	0
this	this	d	this	this	0
is	is	vbz	is	be	0
reason	reason	n1	reason	reason	0
I	I	pns11	I	i	0
say	say	vvb	say	say	0
)	)	)	)	)	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
faithfull	faithfull	j	faithful	faithful	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
.	.	.	.	.	1
Notwithstanding	Notwithstanding	a-acp	Notwithstanding	notwithstanding	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
more	more	dc	more	more	0
regard	regard	n1	regard	regard	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
unbridled	unbridled	j-vvn	unbridled	unbridle	0
affections	affections	n2	affections	affection	0
then	then	av	then	then	0
unto	unto	p-acp	unto	unto	0
vertue	vertue	n1	virtue	virtue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
invited	invited	vvd	invited	invite	0
you	you	pn22	you	you	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
observance	observance	n1	observance	observance	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
oth	oth	n1	oath	oath	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
that	that	cst	that	that	0
being	being	vbg	being	be	0
become	become	vvn	become	become	0
contemners	contemners	n1	contemners	contemners	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
honesty	honesty	n1	honesty	honesty	0
,	,	,	,	,	0
you	you	pn22	you	you	0
have	have	vhb	have	have	0
passed	passed	vvn	passed	pass	0
your	your	po22	your	your	0
bonds	bonds	n2	bonds	bond	0
,	,	,	,	,	0
and	and	cc	and	and	0
thought	thought	vvd	thought	think	0
that	that	cst	that	that	0
all	all	d	all	all	0
things	things	n2	things	thing	0
were	were	vbdr	were	be	0
lawfull	lawfull	j	lawful	lawful	0
for	for	p-acp	for	for	0
you	you	pn22	you	you	0
.	.	.	.	.	1
Whereupon	Whereupon	c-crq	Whereupon	whereupon	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
fallen	fallen	vvn	fallen	fall	0
out	out	av	out	out	0
,	,	,	,	,	0
that	that	cst	that	that	0
while	while	cs	while	while	0
you	you	pn22	you	you	0
thought	thought	vvd	thought	think	0
to	to	pc-acp	to	to	0
escape	escape	vvi	escape	escape	0
the	the	dt	the	the	0
justice	justice	n1	justice	justice	0
of	of	pp-f	of	of	0
men	men	n2	men	man	0
,	,	,	,	,	0
you	you	pn22	you	you	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
avoid	avoid	vvi	avoid	avoid	0
the	the	dt	the	the	0
judgement	judgement	n1	judgement	judgement	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
as	as	c-acp	as	as	0
a	a	dt	a	a	0
thing	thing	n1	thing	thing	0
by	by	p-acp	by	by	0
no	no	dx	no	no	0
meanes	meanes	n2	means	mean	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
avoided	avoided	vvn	avoided	avoid	0
hath	hath	vhz	hath	have	0
led	led	vvn	led	lead	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
spight	spight	n1	spite	spite	0
of	of	pp-f	of	of	0
you	you	pn22	you	you	0
hath	hath	vhz	hath	have	0
made	made	vvn	made	make	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
arrive	arrive	vvi	arrive	arrive	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
place	place	n1	place	place	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
you	you	pn22	you	you	0
confesse	confesse	vvb	confess	confess	0
46	46	crd	46	46	0
how	how	uh-crq	how	how	0
true	true	j	true	true	0
his	his	po31	his	his	0
judgements	judgements	n2	judgements	judgement	0
are	are	vbr	are	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
never	never	av-x	never	never	0
suffereth	suffereth	vvz	suffers	suffer	0
so	so	av	so	so	0
foule	foule	j	foul	foul	0
a	a	dt	a	a	0
fault	fault	n1	fault	fault	0
to	to	pc-acp	to	to	0
escape	escape	vvi	escape	escape	0
unpunished	unpunished	j	unpunished	unpunished	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
that	that	cst	that	that	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
used	used	vvn	used	use	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
these	these	d	these	these	0
or	or	cc	or	or	0
the	the	dt	the	the	0
like	like	j	like	like	0
speeches	speeches	n2	speeches	speech	0
,	,	,	,	,	0
following	following	vvg	following	follow	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
wee	wee	pns12	we	we	0
had	had	vhd	had	have	0
agreed	agreed	vvn	agreed	agree	0
upon	upon	p-acp	upon	upon	0
in	in	p-acp	in	in	0
councell	councell	n1	council	council	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
crimes	crimes	n2	crimes	crime	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
had	had	vhd	had	have	0
committed	committed	vvn	committed	commit	0
,	,	,	,	,	0
aswel	aswel	p-acp	aswell	aswell	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
Majesty	Majesty	n1	Majesty	majesty	0
as	as	a-acp	as	as	0
against	against	p-acp	against	against	0
mee	mee	pno11	me	i	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
their	their	po32	their	their	0
Captaine	Captaine	n1	Captain	captain	0
,	,	,	,	,	0
I	I	pns11	I	i	0
commanded	commanded	vvd	commanded	command	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
hanged	hanged	vvn	hanged	hang	0
.	.	.	.	.	1
Seeing	Seeing	vvg	Seeing	see	0
therefore	therefore	av	therefore	therefore	0
that	that	cst	that	that	0
there	there	pc-acp	there	there	0
was	was	vbds	was	be	0
no	no	dx	no	no	0
starting	starting	j-vvg	starting	start	0
hole	hole	n1	hold	hole	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
meanes	meanes	n2	means	mean	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
to	to	pc-acp	to	to	0
save	save	vvi	save	save	0
themselves	themselves	px32	themselves	themselves	0
from	from	p-acp	from	from	0
this	this	d	this	this	0
arrest	arrest	n1	arrest	arrest	0
,	,	,	,	,	0
they	they	pns32	they	they	0
tooke	tooke	vvd	took	take	0
themselves	themselves	px32	themselves	themselves	0
unto	unto	p-acp	unto	unto	0
their	their	po32	their	their	0
prayers	prayers	n2	prayers	prayer	0
:	:	:	:	:	0
yet	yet	av	yet	yet	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foure	foure	crd	foure	four	0
,	,	,	,	,	0
thinking	thinking	vvg	thinking	think	0
to	to	pc-acp	to	to	0
raise	raise	vvi	raise	raise	0
a	a	dt	a	a	0
mutiny	mutiny	n1	mutiny	mutiny	0
among	among	p-acp	among	among	0
my	my	po11	my	my	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
sayd	sayd	vvd	said	say	0
thus	thus	av	thus	thus	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
:	:	:	:	:	0
What	What	q-crq	What	what	0
,	,	,	,	,	0
brethren	brethren	n2	brothers	brethren	0
and	and	cc	and	and	0
companions	companions	n2	companions	companion	0
,	,	,	,	,	0
will	will	vmb	will	will	0
you	you	pn22	you	you	0
suffer	suffer	vvi	suffer	suffer	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
die	die	vvi	die	die	0
so	so	av	so	so	0
shamefully	shamefully	av-j	shamefully	shameful	0
?	?	?	?	?	1
And	And	np1	And	And	0
taking	taking	vvg	taking	take	0
the	the	dt	the	the	0
word	word	n1	word	word	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
mouth	mouth	n1	mouth	mouth	0
,	,	,	,	,	0
I	I	pns11	I	i	0
sayd	sayd	vvd	said	say	0
unto	unto	p-acp	unto	unto	0
him	him	pno31	him	he	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
not	not	xx	not	not	0
companions	companions	n2	companions	companion	0
of	of	pp-f	of	of	0
authours	authours	n2	authors	author	0
of	of	pp-f	of	of	0
sedition	sedition	n1	sedition	sedition	0
and	and	cc	and	and	0
rebels	rebels	n2	rebels	rebel	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
service	service	n1	service	service	0
.	.	.	.	.	1
Heereupon	Heereupon	av	Hereupon	hereupon	0
the	the	dt	the	the	0
souldiers	souldiers	n2	soldiers	soldier	0
besought	besought	vvd	besought	beseech	0
me	me	pno11	me	i	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
hang	hang	vvi	hang	hang	0
them	them	pno32	them	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
rather	rather	av-c	rather	rather	0
let	let	vvb	let	let	0
them	them	pno32	them	they	0
be	be	vbi	be	be	0
shot	shot	vvn	shot	shoot	0
thorow	thorow	p-acp	thorough	through	0
,	,	,	,	,	0
&	&	cc	&	and	0
then	then	av	then	then	0
afterward	afterward	av	afterwards	afterward	0
,	,	,	,	,	0
if	if	cs	if	if	0
I	I	pns11	I	i	0
thought	thought	vvd	thought	think	0
good	good	j	good	good	0
,	,	,	,	,	0
their	their	po32	their	their	0
bodies	bodies	n2	bodies	body	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
hanged	hanged	vvn	hanged	hang	0
upon	upon	p-acp	upon	upon	0
certaine	certaine	j	certain	certain	0
gibbets	gibbets	n2	gibbets	gibbet	0
along	along	p-acp	along	along	0
the	the	dt	the	the	0
havens	havens	ng1	havens	haven	0
mouth	mouth	n1	mouth	mouth	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
caused	caused	vvd	caused	cause	0
presently	presently	av-j	presently	present	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
execution	execution	n1	execution	execution	0
.	.	.	.	.	1
Loe	Loe	np1	Loe	Loe	0
here	here	av	here	here	0
what	what	r-crq	what	what	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
mutinous	mutinous	j	mutinous	mutinous	0
souldiers	souldiers	n2	soldiers	soldier	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
alwayes	alwayes	av	always	always	0
lived	lived	vvn	lived	live	0
peaceably	peaceably	av-j	peaceably	peaceable	0
,	,	,	,	,	0
and	and	cc	and	and	0
enjoyed	enjoyed	vvd	enjoyed	enjoy	0
the	the	dt	the	the	0
good	good	j	good	good	0
desire	desire	n1	desire	desire	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
had	had	vhd	had	have	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
an	an	dt	and	a	0
happy	happy	j	happy	happy	0
and	and	cc	and	and	0
quiet	quiet	j-jn	quiet	quiet	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
But	But	cc-acp	But	but	0
because	because	c-acp	because	because	0
1	1	crd	1	1	0
have	have	vhb	have	have	0
spoken	spoken	vvn	spoken	speak	0
of	of	pp-f	of	of	0
nothing	nothing	pix	nothing	nothing	0
but	but	cc-acp	but	but	0
their	their	po32	their	their	0
accidentes	accidentes	n2	accidents	accident	0
and	and	cc	and	and	0
adventures	adventures	n2	adventures	adventure	0
which	which	r-crq	which	which	0
happened	happened	vvd	happened	happen	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
after	after	p-acp	after	after	0
their	their	po32	their	their	0
departure	departure	n1	departure	departure	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
making	making	vvg	making	make	0
any	any	d	any	any	0
mention	mention	n1	mention	mention	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
fort	fort	n1	fort	fort	0
,	,	,	,	,	0
I	I	pns11	I	i	0
will	will	vmb	will	will	0
returne	returne	vvi	return	return	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
matters	matters	n2	matters	matter	0
from	from	p-acp	from	from	0
which	which	r-crq	which	which	0
I	I	pns11	I	i	0
digressed	digressed	vvd	digressed	digress	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
declare	declare	vvi	declare	declare	0
that	that	d	that	that	0
which	which	r-crq	which	which	0
fell	fell	vvd	fell	fall	0
out	out	av	out	out	0
after	after	p-acp	after	after	0
their	their	po32	their	their	0
departure	departure	n1	departure	departure	0
.	.	.	.	.	1
First	First	ord	First	first	0
I	I	pns11	I	i	0
began	began	vvd	began	begin	0
to	to	pc-acp	to	to	0
consider	consider	vvi	consider	consider	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
I	I	pns11	I	i	0
might	might	vmd	might	may	0
confirme	confirme	vvi	confirm	confirm	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
more	more	av-dc	more	more	0
constant	constant	j	constant	constant	0
in	in	p-acp	in	in	0
mine	mine	po11	mine	my	0
affliction	affliction	n1	affliction	affliction	0
,	,	,	,	,	0
that	that	cst	that	that	0
these	these	d	these	these	0
murmurers	murmurers	n2	murmurers	murmurer	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
ground	ground	vvi	ground	ground	0
their	their	po32	their	their	0
sedition	sedition	n1	sedition	sedition	0
upon	upon	p-acp	upon	upon	0
want	want	n1	want	want	0
of	of	pp-f	of	of	0
victuals	victuals	n2	victuals	victual	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
time	time	n1	time	time	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
arrivall	arrivall	n1	arrival	arrival	0
,	,	,	,	,	0
every	every	d	every	every	0
souldier	souldier	n1	soldier	soldier	0
dayly	dayly	av-j	daily	daily	0
unto	unto	p-acp	unto	unto	0
this	this	d	this	this	0
day	day	n1	day	day	0
,	,	,	,	,	0
and	and	cc	and	and	0
besides	besides	a-acp	beside	beside	0
untill	untill	p-acp	until	until	0
the	the	dt	the	the	0
eight	eight	crd	eight	eight	0
and	and	cc	and	and	0
twentieth	twentieth	ord	twentieth	twenty	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
,	,	,	,	,	0
had	had	vhd	had	have	0
a	a	dt	a	a	0
loafe	loafe	n1	loaf	loaf	0
of	of	pp-f	of	of	0
bread	bread	n1	bred	bread	0
weighing	weighing	vvg	weighing	weigh	0
two	two	crd	two	two	0
and	and	cc	and	and	0
twenty	twenty	crd	twenty	twenty	0
ounces	ounces	n2	ounces	ounce	0
.	.	.	.	.	1
Againe	Againe	av	Again	again	0
I	I	pns11	I	i	0
recounted	recounted	vvd	recounted	recount	0
with	with	p-acp	with	with	0
my	my	po11	my	my	0
selfe	selfe	n1	self	self	0
that	that	cst	that	that	0
all	all	d	all	all	0
new	new	j	new	new	0
conquests	conquests	n2	conquests	conquest	0
by	by	p-acp	by	by	0
sea	sea	n1	sea	sea	0
or	or	cc	or	or	0
by	by	p-acp	by	by	0
land	land	n1	land	land	0
are	are	vbr	are	be	0
ordinarily	ordinarily	av-jn	ordinarily	ordinary	0
troubled	troubled	vvn	troubled	trouble	0
with	with	p-acp	with	with	0
rebellions	rebellions	n2	rebellions	rebellion	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
A.D.	A.D.	np1	A.D.	A.D.	1
1565.	1565.	crd	1565.	1565.	1
The	The	dt	The	the	0
sentence	sentence	n1	sentence	sentence	0
of	of	pp-f	of	of	0
death	death	n1	death	death	0
.	.	.	.	.	1
Execution	Execution	n1	Execution	execution	0
.	.	.	.	.	1
[	[	[	[	[	0
III	III	np1	III	Iii	0
.	.	.	.	.	1
337	337	crd	337	337	0
-	-	-	-	-	0
]	]	]	]	]	0
The	The	dt	The	the	0
continuation	continuation	n1	continuation	continuation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
history	history	n1	history	history	0
.	.	.	.	.	1
New	New	j	New	new	0
conquests	conquests	n2	conquests	conquest	0
subject	subject	j-jn	subject	subject	0
to	to	pc-acp	to	to	0
re	re	fw-mi	re	re	0
-	-	-	-	-	0
.	.	.	.	.	0
,	,	,	,	,	0
.	.	.	.	.	1
r	r	sy	r	r	0
„	„	„	„	„	0
.	.	.	.	.	1
r	r	sy	r	r	0
,	,	,	,	,	0
-	-	-	-	-	0
-	-	-	-	-	0
bellionsand	bellionsand	n1	bellionsand	bellionsand	0
easie	easie	j	easy	easy	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
raised	raised	vvn	raised	raise	0
,	,	,	,	,	0
aswel	aswel	p-acp	aswell	aswell	0
!	!	!	!	!	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
or	or	cc	or	or	0
the	the	dt	the	the	0
distance	distance	n1	distance	distance	0
of	of	pp-f	of	of	0
mutinies	mutinies	n2	mutinies	mutiny	0
.	.	.	.	.	0
place	place	n1	place	place	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
hope	hope	n1	hope	hope	0
that	that	cst	that	that	0
the	the	dt	the	the	0
souldiers	souldiers	n2	soldiers	soldier	0
have	have	vhb	have	have	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
profit	profit	n1	profit	profit	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
well	well	av	well	well	0
informed	informed	vvn	informed	inform	0
both	both	av-d	both	both	0
by	by	p-acp	by	by	0
ancient	ancient	j	ancient	ancient	0
histories	histories	n2	histories	history	0
and	and	cc	and	and	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
troubles	troubles	n2	troubles	trouble	0
which	which	r-crq	which	which	0
lately	lately	av-j	lately	late	0
happened	happened	vvd	happened	happen	0
unto	unto	p-acp	unto	unto	0
Christopher	Christopher	np1	Christopher	Christopher	0
Columbus	Columbus	np1	Columbus	Columbus	0
,	,	,	,	,	0
after	after	p-acp	after	after	0
his	his	po31	his	his	0
first	first	ord	first	first	0
discovery	discovery	n1	discovery	discovery	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
Francis	Francis	np1	Francis	Francis	0
Pizarro	Pizarro	np1	Pizarro	Pizarro	0
,	,	,	,	,	0
&	&	cc	&	and	0
Diego	Diego	np1	Diego	Diego	0
de	de	fw-fr	de	de	0
Almagro	Almagro	np1	Almagro	Almagro	0
in	in	p-acp	in	in	0
Peru	Peru	np1	Peru	Peru	0
,	,	,	,	,	0
&	&	cc	&	and	0
to	to	p-acp	to	to	0
Fernando	Fernando	np1	Fernando	Fernando	0
Cortes	Cortes	np1	Cortes	Cortes	0
.	.	.	.	.	1
An	An	dt	And	a	0
hundred	hundred	crd	hundred	hundred	0
thousand	thousand	crd	thousand	thousand	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
came	came	vvd	came	come	0
unto	unto	p-acp	unto	unto	0
my	my	po11	my	my	0
minde	minde	n1	mind	mind	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
incourage	incourage	vvi	encourage	encourage	0
and	and	cc	and	and	0
con-firme	con-firme	j	confirm	confirm	0
me	me	pno11	me	i	0
.	.	.	.	.	1
My	My	po11	My	my	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
Ottigny	Ottigny	np1	Ottigny	Ottigny	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
Sergeant	Sergeant	n1	Sergeant	sergeant	0
of	of	pp-f	of	of	0
my	my	po11	my	my	0
band	band	n1	band	band	0
came	came	vvd	came	come	0
to	to	pc-acp	to	to	0
seeke	seeke	vvi	seek	seek	0
me	me	pno11	me	i	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
prisoner	prisoner	n1	prisoner	prisoner	0
,	,	,	,	,	0
and	and	cc	and	and	0
caried	caried	vvd	carried	carry	0
me	me	pno11	me	i	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
barke	barke	n1	bark	bark	0
assoone	assoone	c-acp	assoon	assoon	0
Laudonniere	Laudonniere	np1	Laudonniere	Laudonniere	0
as	as	p-acp	as	as	0
our	our	po12	our	our	0
rebels	rebels	n2	rebels	rebel	0
were	were	vbdr	were	be	0
departed	departed	vvn	departed	depart	0
.	.	.	.	.	1
After	After	p-acp	After	after	0
I	I	pns11	I	i	0
was	was	vbds	was	be	0
come	come	vvn	come	come	0
unto	unto	p-acp	unto	unto	0
setteth	setteth	vvz	sets	set	0
things	things	n2	things	thing	0
the	the	dt	the	the	0
fort	fort	n1	fort	fort	0
,	,	,	,	,	0
I	I	pns11	I	i	0
caused	caused	vvd	caused	cause	0
all	all	d	all	all	0
my	my	po11	my	my	0
company	company	n1	company	company	0
that	that	cst	that	that	0
remained	remained	vvd	remained	remain	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
^ismurne^ut	^ismurne^ut	av	ismurne^ut	ismurne^ut	0
assembled	assembled	vvn	assembled	assemble	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
midst	midst	n1	midst	midst	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
place	place	n1	place	place	0
before	before	p-acp	before	before	0
the	the	dt	the	the	0
Corps	Corps	n1	Corpse	corpse	0
de	de	fw-la	de	de	0
