Compositions	Compositions	n2	Compositions	composition	0
reverend	reverend	j-jn	reverend	reverend	0
&	&	cc	&	and	0
honorable	honorable	j	honourable	honourable	0
Conradus	Conradus	np1	Conradus	Conradus	0
de	de	fw-fr	de	de	0
Jungingen	Jungingen	np1	Jungingen	Jungingen	0
Master	Master	n1	Master	master	0
general	general	n1	general	general	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
injuries	injuries	n2	injuries	injury	0
offered	offered	vvn	offered	offer	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
people	people	n1	people	people	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
and	and	cc	and	and	0
Livonia	Livonia	np1	Livonia	Livonia	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
English	English	jp	English	english	0
.	.	.	.	.	1
First	First	ord	First	first	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
ships	ships	n2	ships	ship	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
appurtenances	appurtenances	n2	appurtenances	appurtenance	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
commodities	commodities	n2	commodities	commodity	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
mariners	mariners	n2	mariners	mariner	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
condition	condition	n1	condition	condition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
things	things	n2	things	thing	0
,	,	,	,	,	0
and	and	cc	and	and	0
all	all	d	all	all	0
other	other	j-jn	other	other	0
goods	goods	n2-j	goods	good	0
taken	taken	vvi	taken	take	0
away	away	av	away	away	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
English	English	jp	English	english	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
actually	actually	av-j	actually	actual	0
undivided	undivided	j	undivided	undivided	0
&	&	cc	&	and	0
whole	whole	j-jn	whole	whole	0
,	,	,	,	,	0
are	are	vbr	are	be	0
incontinently	incontinently	av-j	incontinently	incontinent	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
al	al	d	all	all	0
speed	speed	n1	speed	speed	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
restored	restored	vvn	restored	restore	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
bee	bee	vbb	be	be	0
any	any	d	any	any	0
defect	defect	n1	defect	defect	0
in	in	p-acp	in	in	0
ought	ought	pi	ought	aught	0
,	,	,	,	,	0
the	the	dt	the	the	0
value	value	n1	valve	value	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
defect	defect	n1	defect	defect	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
accounted	accounted	vvn	accounted	account	0
,	,	,	,	,	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
other	other	j-jn	other	other	0
losses	losses	n2	losses	loss	0
of	of	pp-f	of	of	0
goods	goods	n2-j	goods	good	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
restored	restored	vvn	restored	restore	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
terme	terme	n1	term	term	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
restitution	restitution	n1	restitution	restitution	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
and	and	cc	and	and	0
delivered	delivered	vvn	delivered	deliver	0
.	.	.	.	.	1
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
damages	damages	n2	damages	damage	0
,	,	,	,	,	0
and	and	cc	and	and	0
goods	goods	n2-j	goods	good	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
conteined	conteined	vvn	contained	contain	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
bill	bill	n1	bill	bill	0
of	of	pp-f	of	of	0
accusation	accusation	n1	accusation	accusation	0
)	)	)	)	)	0
which	which	q-crq	which	which	0
are	are	vbr	are	be	0
not	not	xx	not	not	0
now	now	av	now	now	0
immediately	immediately	av-j	immediately	immediate	0
restored	restored	vvn	restored	restore	0
,	,	,	,	,	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
restored	restored	vvn	restored	restore	0
and	and	cc	and	and	0
payd	payd	vvn	paid	pay	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
between	between	p-acp	between	between	0
this	this	d	this	this	0
and	and	cc	and	and	0
the	the	dt	the	the	0
terme	terme	n1	term	term	0
appointed	appointed	vvn	appointed	appoint	0
,	,	,	,	,	0
[	[	[	[	[	0
I	I	pns11	I	i	0
.	.	.	.	.	0
158.	158.	crd	158.	158.	0
]	]	]	]	]	0
with	with	p-acp	with	with	0
full	full	j	full	full	0
execution	execution	n1	execution	execution	0
and	and	cc	and	and	0
complement	complement	n1	compliment	compliment	0
of	of	pp-f	of	of	0
justice	justice	n1	justice	justice	0
.	.	.	.	.	1
Item	Item	n1	Item	item	0
,	,	,	,	,	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
persons	persons	n2	persons	person	0
throwen	throwen	vvn	thrown	throw	0
over	over	p-acp	over	over	0
boord	boord	n1	board	board	0
or	or	cc	or	or	0
slaine	slaine	vvn	slain	slay	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
:	:	:	:	:	0
it	it	pn31	it	it	0
shall	shall	vmb	shall	shall	0
remayne	remayne	vvi	remain	remain	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
determined	determined	vvn	determined	determine	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
will	will	n1	will	will	0
and	and	cc	and	and	0
pleasure	pleasure	n1	pleasure	pleasure	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
prince	prince	n1	prince	prince	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
reverend	reverend	j-jn	reverend	reverend	0
the	the	dt	the	the	0
Master	Master	n1	Master	master	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
.	.	.	.	.	1
Item	Item	n1	Item	item	0
,	,	,	,	,	0
betwene	betwene	p-acp	between	between	0
this	this	d	this	this	0
and	and	cc	and	and	0
the	the	dt	the	the	0
terme	terme	n1	term	term	0
appointed	appointed	vvn	appointed	appoint	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
restoring	restoring	j-vvg	restoring	restore	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
goods	goods	n2-j	goods	good	0
taken	taken	vvn	taken	take	0
away	away	av	away	away	0
,	,	,	,	,	0
&	&	cc	&	and	0
untill	untill	c-acp	until	until	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
due	due	j-jn	due	due	0
payment	payment	n1	payment	payment	0
&	&	cc	&	and	0
restitution	restitution	n1	restitution	restitution	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
performed	performed	vvd	performed	perform	0
,	,	,	,	,	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
no	no	dx	no	no	0
wise	wise	j	wise	wise	0
to	to	pc-acp	to	to	0
exercise	exercise	vvi	exercise	exercise	0
any	any	d	any	any	0
traffique	traffique	n1	traffic	traffic	0
of	of	pp-f	of	of	0
marchandise	marchandise	n1	merchandise	merchandise	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
lands	lands	n2	lands	land	0
.	.	.	.	.	1
Memorandum	Memorandum	np1	Memorandum	Memorandum	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
third	third	ord	third	three	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
1403.	1403.	crd	1403.	1403.	1
October	October	np1	October	October	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1403.	1403.	crd	1403.	1403.	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fift	fift	ord	fift	five	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
reigne	reigne	n1	reign	reign	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
prince	prince	n1	prince	prince	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
,	,	,	,	,	0
king	king	n1	king	king	0
Henrie	Henrie	np1	Henrie	Henry	0
the	the	dt	the	the	0
fourth	fourth	ord	fourth	four	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
37	37	crd	37	37	0
England	England	np1	England	England	0
and	and	cc	and	and	0
France	France	np1	France	France	0
&c.	&c.	av	etc.	etc	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
reverend	reverend	j-jn	reverend	reverend	0
father	father	n1	father	father	0
Henrie	Henrie	np1	Henrie	Henry	0
bishop	bishop	n1	bishop	bishop	0
of	of	pp-f	of	of	0
Lincoln	Lincoln	np1	Lincoln	Lincoln	0
,	,	,	,	,	0
chancelor	chancelor	n1	chancellor	chancellor	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
William	William	np1	William	William	0
lord	lord	n1	lord	lord	0
de	de	fw-la	de	de	0
Roos	Roos	np1	Roos	Roos	0
,	,	,	,	,	0
high	high	j	high	high	0
treasurer	treasurer	n1	treasurer	treasurer	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
both	both	d	both	both	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
counsellors	counsellors	n2	counsellors	counsellor	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
king	king	n1	king	king	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
party	party	n1	party	party	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
worshipfull	worshipfull	j	worshipful	worshipful	0
John	John	np1	John	John	0
Godeke	Godeke	np1	Godeke	Godeke	0
,	,	,	,	,	0
and	and	cc	and	and	0
Henrie	Henrie	np1	Henrie	Henry	0
Moneke	Moneke	np1	Moneke	Moneke	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
as	as	p-acp	as	as	0
messengers	messengers	n2	messengers	messenger	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
reverend	reverend	j-jn	reverend	reverend	0
and	and	cc	and	and	0
religious	religious	j	religious	religious	0
personage	personage	n1	personage	personage	0
,	,	,	,	,	0
Frater	Frater	fw-la	Frater	frater	0
Conradus	Conradus	np1	Conradus	Conradus	0
de	de	fw-fr	de	de	0
Jungingen	Jungingen	np1	Jungingen	Jungingen	0
Master	Master	n1	Master	master	0
generail	generail	j	generail	generail	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
knights	knights	n2	knights	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Mary	Mary	vvi	Marry	marry	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
party	party	n1	party	party	0
:	:	:	:	:	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
request	request	n1	request	request	0
and	and	cc	and	and	0
instancie	instancie	n1	instancy	instancy	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
messengers	messengers	n2	messengers	messenger	0
,	,	,	,	,	0
appoynted	appoynted	vvn	appointed	appoint	0
,	,	,	,	,	0
and	and	cc	and	and	0
mutually	mutually	av-j	mutually	mutual	0
agreed	agreed	vvn	agreed	agree	0
upon	upon	p-acp	upon	upon	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
the	the	dt	the	the	0
liege	liege	n1	liege	liege	0
people	people	n1	people	people	0
and	and	cc	and	and	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
and	and	cc	and	and	0
king	king	n1	king	king	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
free	free	j	free	free	0
licence	licence	n1	licence	licence	0
and	and	cc	and	and	0
liberty	liberty	n1	liberty	liberty	0
untill	untill	p-acp	until	until	0
the	the	dt	the	the	0
feast	feast	n1	feast	feast	0
of	of	pp-f	of	of	0
Easter	Easter	n1	Easter	easter	0
next	next	ord	next	next	0
ensuing	ensuing	vvg	ensuing	ensue	0
,	,	,	,	,	0
safely	safely	av-j	safely	safe	0
to	to	pc-acp	to	to	0
travel	travel	vvi	travel	travel	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
afore-sayd	afore-sayd	j	aforesaid	aforesaid	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
remaine	remaine	vvi	remain	remain	0
,	,	,	,	,	0
and	and	cc	and	and	0
thence	thence	av	thence	thence	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
marchandises	marchandises	n2	merchandises	merchandise	0
,	,	,	,	,	0
&	&	cc	&	and	0
other	other	j-jn	other	other	0
their	their	po32	their	their	0
goods	goods	n2-j	goods	good	0
whatsoever	whatsoever	c-crq	whatsoever	whatsoever	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
unto	unto	p-acp	unto	unto	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
home	home	av-an	home	home	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
side	side	n1	side	side	0
,	,	,	,	,	0
all	all	d	all	all	0
the	the	dt	the	the	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Master	Master	n1	Master	master	0
general	general	n1	general	general	0
may	may	vmb	may	may	0
,	,	,	,	,	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
terme	terme	n1	term	term	0
prefixed	prefixed	vvd	prefixed	prefix	0
,	,	,	,	,	0
likewise	likewise	av	likewise	likewise	0
doe	doe	vdb	do	do	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
.	.	.	.	.	1
Provided	Provided	vvn	Provided	provide	0
alwaies	alwaies	av	always	always	0
,	,	,	,	,	0
that	that	cst	that	that	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
time	time	n1	time	time	0
above	above	a-acp	above	above	0
limited	limited	vvn	limited	limit	0
,	,	,	,	,	0
neither	neither	av-dx	neither	neither	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
the	the	dt	the	the	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
land	land	n1	land	land	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
exercise	exercise	vvb	exercise	exercise	0
any	any	d	any	any	0
traffique	traffique	vvi	traffic	traffic	0
at	at	p-acp	at	at	0
al	al	d	all	all	0
:	:	:	:	:	0
unles	unles	cs	unless	unless	0
it	it	pn31	it	it	0
be	be	vbb	be	be	0
otherwise	otherwise	av	otherwise	otherwise	0
ordained	ordained	vvn	ordained	ordain	0
by	by	p-acp	by	by	0
some	some	d	some	some	0
composition	composition	n1	composition	composition	0
,	,	,	,	,	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Master	Master	n1	Master	master	0
general	general	n1	general	general	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
meane	meane	j	mean	mean	0
time	time	n1	time	time	0
concluded	concluded	vvn	concluded	conclude	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
witnesse	witnesse	n1	witness	witness	0
wherof	wherof	c-crq	whereof	whereof	0
,	,	,	,	,	0
one	one	crd	one	one	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
present	present	j	present	present	0
Indenture	Indenture	n1	Indenture	indenture	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
remaine	remaine	vvi	remain	remain	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
custodie	custodie	n1	custody	custody	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
messengers	messengers	n2	messengers	messenger	0
.	.	.	.	.	1
Given	Given	j-vvn	Given	give	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Chapter-house	Chapter-house	n1	Chapter-house	chapter-house	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Church	Church	n1	Church	church	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Paul	Paul	np1	Paul	Paul	0
at	at	p-acp	at	at	0
London	London	np1	London	London	0
,	,	,	,	,	0
the	the	dt	the	the	0
day	day	n1	day	day	0
and	and	cc	and	and	0
yere	yere	n1	year	year	0
above	above	a-acp	above	above	0
written	written	vvn	written	write	0
.	.	.	.	.	1
