Now	Now	av	Now	now	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
forme	forme	n1	form	form	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
scedule	scedule	n1	schedule	schedule	0
,	,	,	,	,	0
the	the	dt	the	the	0
tenor	tenor	n1	tenor	tenor	0
whereof	whereof	c-crq	whereof	whereof	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
at	at	p-acp	at	at	0
this	this	d	this	this	0
present	present	j	present	present	0
,	,	,	,	,	0
&	&	cc	&	and	0
beginneth	beginneth	vvz	begins	begin	0
in	in	p-acp	in	in	0
maner	maner	n1	manner	manner	0
following	following	vvg	following	follow	0
:	:	:	:	:	0
Cum	Cum	fw-la	Cum	cum	0
vita	vita	fw-la	vita	vita	0
hominum	hominum	fw-la	hominum	hominum	0
&c.	&c.	av	etc.	etc	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
last	last	ord	last	last	0
convention	convention	n1	convention	convention	0
holden	holden	vvn	held	hold	0
at	at	p-acp	at	at	0
Hage	Hage	np1	Hage	Hage	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
is	is	vbz	is	be	0
aforesaid	aforesaid	j	aforesaid	aforesaid	0
,	,	,	,	,	0
it	it	pn31	it	it	0
was	was	vbds	was	be	0
concluded	concluded	vvn	concluded	conclude	0
betweene	betweene	p-acp	between	between	0
n	n	p-acp	n	in	0
33	33	crd	33	33	0
c	c	sy	c	c	0
A.D.	A.D.	np1	A.D.	A.D.	0
I4O7	I4O7	np1	I4O7	I4O7	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
ships	ships	n2	ships	ship	0
were	were	vbdr	were	be	0
taken	taken	vvn	taken	take	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
English	English	jp	English	english	0
ye	ye	dt	the	the	0
20.	20.	crd	20.	20.	0
of	of	pp-f	of	of	0
July	July	np1	July	July	0
1404.	1404.	crd	1404.	1404.	0
the	the	dt	the	the	0
ambassadours	ambassadours	n2	ambassadors	ambassador	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
messengers	messengers	n2	messengers	messenger	0
and	and	cc	and	and	0
commissioners	commissioners	n2	commissioners	commissioner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
cities	cities	n2	cities	city	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
;	;	;	;	;	0
that	that	d	that	that	0
our	our	po12	our	our	0
sayd	sayd	j-vvn	said	say	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
,	,	,	,	,	0
should	should	vmd	should	shall	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
great	great	j	great	great	0
pietie	pietie	n1	piety	piety	0
,	,	,	,	,	0
vouchsafe	vouchsafe	vvb	vouchsafe	vouchsafe	0
effectually	effectually	av-j	effectually	effectual	0
to	to	pc-acp	to	to	0
devise	devise	vvi	devise	devise	0
some	some	d	some	some	0
convenient	convenient	j	convenient	convenient	0
and	and	cc	and	and	0
wholesome	wholesome	j	wholesome	wholesome	0
remedie	remedie	n1	remedy	remedy	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
soules	soules	n2	souls	soul	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
persons	persons	n2	persons	person	0
as	as	c-acp	as	as	0
were	were	vbdr	were	be	0
drowned	drowned	vvn	drowned	drown	0
.	.	.	.	.	1
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
sayd	sayd	j-vvn	said	say	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
will	will	vmb	will	will	0
signifie	signifie	vvi	signify	signify	0
in	in	p-acp	in	in	0
writing	writing	vvg	writing	write	0
his	his	po31	his	his	0
full	full	j	full	full	0
purpose	purpose	n1	purpose	purpose	0
&	&	cc	&	and	0
intention	intention	n1	intention	intention	0
as	as	p-acp	as	as	0
touching	touching	vvg	touching	touch	0
this	this	d	this	this	0
matter	matter	n1	matter	matter	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
aidermen	aidermen	n2	aidermen	aiderman	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
marchants	marchants	n2	merchants	merchant	0
residing	residing	vvg	residing	reside	0
at	at	p-acp	at	at	0
Bruges	Bruges	np1	Bruges	Bruges	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
sixteenth	sixteenth	ord	sixteenth	sixteenth	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
March	March	n1	March	march	0
next	next	ord	next	next	0
following	following	vvg	following	follow	0
.	.	.	.	.	1
Otherwise	Otherwise	av	Otherwise	otherwise	0
,	,	,	,	,	0
that	that	cst	that	that	0
from	from	p-acp	from	from	0
hencefoorth	hencefoorth	av	henceforth	henceforth	0
all	all	d	all	all	0
amity	amity	n1	amity	amity	0
and	and	cc	and	and	0
friendship	friendship	n1	friendship	friendship	0
,	,	,	,	,	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
dissolved	dissolved	vvn	dissolved	dissolve	0
.	.	.	.	.	1
Neither	Neither	av-d	Neither	neither	0
is	is	vbz	is	be	0
it	it	pn31	it	it	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
doubted	doubted	vvn	doubted	doubt	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
that	that	cst	that	that	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
of	of	pp-f	of	of	0
Livonia	Livonia	np1	Livonia	Livonia	0
doe	doe	vdb	do	do	0
demaund	demaund	vvi	demand	demand	0
restitution	restitution	n1	restitution	restitution	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
waxe	waxe	vvb	wax	wax	0
and	and	cc	and	and	0
furres	furres	n2	furs	fur	0
,	,	,	,	,	0
redounded	redounded	vvd	redounded	redound	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
use	use	n1	use	use	0
and	and	cc	and	and	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
.	.	.	.	.	1
And	And	cc	And	and	0
also	also	av	also	also	0
our	our	po12	our	our	0
said	said	vvd	said	say	0
soveraigne	soveraigne	j-jn	sovereign	sovereign	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
gave	gave	vvd	gave	give	0
com-mandement	com-mandement	j	commandment	commandment	0
by	by	p-acp	by	by	0
his	his	po31	his	his	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
that	that	cst	that	that	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
delivered	delivered	vvn	delivered	deliver	0
unto	unto	p-acp	unto	unto	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
And	And	cc	And	and	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
is	is	vbz	is	be	0
as	as	p-acp	as	as	0
yet	yet	av	yet	yet	0
reserved	reserved	vvn	reserved	reserve	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Newcastle	Newcastle	np1	Newcastle	Newcastle	0
.	.	.	.	.	1
One	One	crd	One	one	0
Benteld	Benteld	vvn	Benteld	benteld	0
also	also	av	also	also	0
hath	hath	vhz	hath	have	0
the	the	dt	the	the	0
best	best	js	best	best	0
of	of	pp-f	of	of	0
the	the	pno32	thee	they	0
sayd	sayd	vvd	said	say	0
three	three	crd	three	three	0
ships	ships	n2	ships	ship	0
in	in	p-acp	in	in	0
possession	possession	n1	possession	possession	0
.	.	.	.	.	1
Also	Also	av	Also	also	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
reported	reported	vvn	reported	report	0
and	and	cc	and	and	0
thought	thought	vvd	thought	think	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
true	true	j	true	true	0
,	,	,	,	,	0
that	that	cst	that	that	0
certaine	certaine	j	certain	certain	0
Furriers	Furriers	n2	Furriers	furrier	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
will	will	vmb	will	will	0
be	be	vbi	be	be	0
detected	detected	vvn	detected	detect	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
end	end	n1	end	end	0
,	,	,	,	,	0
have	have	vhb	have	have	0
had	had	vhn	had	have	0
a	a	dt	a	a	0
great	great	j	great	great	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Furres	Furres	n2	Furs	fur	0
.	.	.	.	.	1
