Here	Here	av	Here	here	0
if	if	cs	if	if	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
Vincent	Vincent	np1	Vincent	Vincent	0
in	in	p-acp	in	in	0
12	12	crd	12	12	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
santa	santa	fw-it	santa	santa	0
Lucia	Lucia	np1	Lucia	Lucia	0
in	in	p-acp	in	in	0
12#	12#	n1	12#	12#	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Dominica	Dominica	np1	Dominica	Dominica	0
in	in	p-acp	in	in	0
14	14	crd	14	14	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Matalina	Matalina	np1	Matalina	Matalina	0
or	or	cc	or	or	0
Martinino	Martinino	np1	Martinino	Martinino	0
in	in	p-acp	in	in	0
Ml	Ml	crd	Ml	ml	0
332	332	crd	332	332	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
called	called	vvn	called	call	0
La	La	fw-fr	La	la	0
Antigua	Antigua	np1	Antigua	Antigua	0
in	in	p-acp	in	in	0
17	17	crd	17	17	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
called	called	vvn	called	call	0
La	La	fw-fr	La	la	0
Baruada	Baruada	np1	Baruada	Baruada	0
in	in	p-acp	in	in	0
T7	T7	np1	T7	T7	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Bartholomew	Bartholomew	np1	Bartholomew	Bartholomew	0
in	in	p-acp	in	in	0
17	17	crd	17	17	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Martin	Martin	np1	Martin	Martin	0
in	in	p-acp	in	in	0
i7i	i7i	fw-la	i7i	i7i	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
called	called	vvn	called	call	0
La	La	fw-fr	La	la	0
Anguilla	Anguilla	np1	Anguilla	Anguilla	0
in	in	p-acp	in	in	0
skant	skant	j	skant	scant	0
18	18	crd	18	18	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Sombrero	Sombrero	np1	Sombrero	Sombrero	0
in	in	p-acp	in	in	0
i8	i8	n1	i8	i8	0
|	|	|	|	|	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
Anegada	Anegada	np1	Anegada	Anegada	0
in	in	p-acp	in	in	0
i8f	i8f	n1	i8f	i8f	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
called	called	vvn	called	call	0
La	La	fw-fr	La	la	0
isla	isla	fw-fr	isla	isla	0
de	de	fw-fr	de	de	0
Avez	Avez	fw-fr	Avez	avez	0
in	in	p-acp	in	in	0
i	i	uh	i	i	0
Si	Si	fw-mi	Si	si	0
The	The	dt	The	the	0
isles	isles	n2	isles	isle	0
called	called	vvn	called	call	0
Las	Las	uh	Las	alas	0
Virgines	Virgines	n2	Virgins	virgin	0
in	in	p-acp	in	in	0
18	18	crd	18	18	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Santa	Santa	np1	Santa	Santa	0
Cruz	Cruz	np1	Cruz	Cruz	0
in	in	p-acp	in	in	0
17	17	crd	17	17	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Juan	Juan	np1	Juan	Juan	0
de	de	zz	de	de	0
J	J	pns11	J	i	0
On	On	p-acp	On	on	0
the	the	dt	the	the	0
North	North	n1	North	north	0
side	side	n1	side	side	0
in	in	p-acp	in	in	0
i8	i8	n1	i8	i8	0
|	|	|	|	|	0
Puerto	Puerto	np1	Puerto	Puerto	0
rico	rico	fw-it	rico	rico	0
|	|	|	|	|	0
On	On	p-acp	On	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
side	side	n1	side	side	0
in	in	p-acp	in	in	0
i7i	i7i	fw-fr	i7i	i7i	0
Cape	Cape	n1	Cape	cape	0
:	:	:	:	:	0
del	del	vvb	deal	deal	0
Enganno	Enganno	np1	Enganno	Enganno	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
East	East	n1	East	east	0
paniola	paniola	fw-es	paniola	paniola	0
in	in	fw-la	in	in	0
part	part	vvb	part	part	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
-	-	-	-	-	0
18^	18^	n1	18^	18^	0
The	The	pno32	Thee	they	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Saona	Saona	np1	Saona	Saona	0
in	in	p-acp	in	in	0
17J	17J	np1	17J	17J	0
The	The	dt	The	the	0
Cape	Cape	n1	Cape	cape	0
called	called	vvd	called	call	0
Punta	Punta	np1	Punta	Punta	0
de	de	fw-fr	de	de	0
Nizao	Nizao	np1	Nizao	Nizao	0
mingo	mingo	fw-la	mingo	mingo	0
in	in	p-acp	in	in	0
Hispaniola	Hispaniola	np1	Hispaniola	Hispaniola	0
in	in	p-acp	in	in	0
neere	neere	j	near	near	0
S.	S.	n1	S.	saint	1
Do	Do	vdb	Do	do	0
-	-	-	-	-	0
I7i	I7i	fw-mi	I7i	i7i	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
Beata	Beata	np1	Beata	Beata	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
Hispaniola	Hispaniola	np1	Hispaniola	Hispaniola	0
in	in	p-acp	in	in	0
17	17	crd	17	17	0
The	The	dt	The	the	0
point	point	n1	point	point	0
of	of	pp-f	of	of	0
Bacao	Bacao	np1	Bacao	Bacao	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
His	His	po31	His	his	0
-	-	-	-	-	0
paniola	paniola	fw-es	paniola	paniola	0
in	in	fw-la	in	in	0
I7i	I7i	fw-la	I7i	i7i	0
Cape	Cape	n1	Cape	cape	0
Tiburon	Tiburon	np1	Tiburon	Tiburon	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
West	West	n1	West	west	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Hispaniola	Hispaniola	np1	Hispaniola	Hispaniola	0
,	,	,	,	,	0
[	[	[	[	[	0
III	III	crd	III	three	0
.	.	.	.	.	1
625.	625.	crd	625.	625.	0
]	]	]	]	]	0
and	and	cc	and	and	0
the	the	dt	the	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Navaza	Navaza	np1	Navaza	Navaza	0
in	in	p-acp	in	in	0
i8	i8	n1	i8	i8	0
|	|	|	|	|	0
The	The	dt	The	the	0
.	.	.	.	.	0
,	,	,	,	,	1
r	r	sy	r	r	0
T	T	sy	TO	t	0
.	.	.	.	.	1
f	f	sy	f	f	0
On	On	p-acp	On	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
■	■	sy	■	■	0
sle	sle	vvd	sle	slay	0
of	of	pp-f	of	of	0
Jamaica	Jamaica	np1	Jamaica	Jamaica	0
-	-	-	-	-	0
!	!	!	!	!	1
Qn	Qn	np1	Qn	Qn	0
Nor	Nor	ccx	Nor	nor	0
(	(	(	(	(	0
h	h	zz	h	h	0
side	side	n1	side	side	0
in	in	p-acp	in	in	0
side	side	n1	side	side	0
in	in	p-acp	in	in	0
I’ll	I’ll	j	I’ll	i’ll	0
i8	i8	n1	i8	i8	0
|	|	|	|	|	0
Cape	Cape	n1	Cape	cape	0
:	:	:	:	:	0
de	de	fw-fr	de	de	0
Cruz	Cruz	np1	Cruz	Cruz	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
side	side	n1	side	side	0
of	of	pp-f	of	of	0
Cuba	Cuba	np1	Cuba	Cuba	0
in	in	p-acp	in	in	0
20	20	crd	20	20	0
The	The	dt	The	the	0
3	3	crd	3	3	0
Isles	Isles	n2	Isles	isle	0
called	called	vvn	called	call	0
Caimanes	Caimanes	np1	Caimanes	Caimanes	0
,	,	,	,	,	0
or	or	cc	or	or	0
Crocodiles	Crocodiles	n2	Crocodiles	crocodile	0
,	,	,	,	,	0
South	South	n1	South	south	0
of	of	pp-f	of	of	0
Cuba	Cuba	np1	Cuba	Cuba	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
i9i	i9i	fw-la	i9i	i9i	0
The	The	dt	The	the	0
dangerous	dangerous	j	dangerous	dangerous	0
isles	isles	n2	isles	isle	0
called	called	vvn	called	call	0
Los	Los	fw-la	Los	los	0
Jardines	Jardines	np1	Jardines	Jardines	0
South	South	n1	South	south	0
of	of	pp-f	of	of	0
Cuba	Cuba	np1	Cuba	Cuba	0
in	in	p-acp	in	in	0
21	21	crd	21	21	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Pinos	Pinos	np1	Pinos	Pinos	0
in	in	p-acp	in	in	0
21	21	crd	21	21	0
Cape	Cape	np1	Cape	Cape	0
de	de	fw-fr	de	de	0
Corrientes	Corrientes	np1	Corrientes	Corrientes	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Southwest	Southwest	n1	Southwest	southwest	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
Cuba	Cuba	np1	Cuba	Cuba	0
in	in	p-acp	in	in	0
2ri	2ri	fw-la	2ri	2ri	0
Cabo	Cabo	np1	Cabo	Cabo	0
de	de	fw-fr	de	de	0
sant	sant	zz	sant	sant	0
Anton	Anton	np1	Anton	Anton	0
being	being	vbg	being	be	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
westerly	westerly	j	westerly	westerly	0
Cape	Cape	n1	Cape	cape	0
of	of	pp-f	of	of	0
Cuba	Cuba	np1	Cuba	Cuba	0
in	in	p-acp	in	in	0
22	22	crd	22	22	0
333	333	crd	333	333	0
The	The	dt	The	the	0
Iide	Iide	vvb	Iide	iide	0
isles	isles	n2	isles	isle	0
called	called	vvn	called	call	0
Los	Los	fw-la	Los	los	0
Alacranes	Alacranes	np1	Alacranes	Alacranes	0
,	,	,	,	,	0
or	or	cc	or	or	0
The	The	dt	The	the	0
Scor	Scor	n1	Scor	scor	0
-	-	-	-	-	0
Zar^r	Zar^r	n1	Zar^r	zar^r	0
.	.	.	.	.	0
pions	pions	n2	pions	pion	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isles	isles	n2	isles	isle	0
called	called	vvn	called	call	0
Nigrillos	Nigrillos	n2	Nigrillos	nigrillo	0
in	in	p-acp	in	in	0
Isla	Isla	np1	Isla	Isla	0
de	de	fw-fr	de	de	0
Lobos	Lobos	np1	Lobos	Lobos	0
,	,	,	,	,	0
or	or	cc	or	or	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
seales	seales	n2	seals	seal	0
neere	neere	av-j	near	near	0
the	the	dt	the	the	0
maine	maine	n1	main	main	0
of	of	pp-f	of	of	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
Cape	Cape	n1	Cape	cape	0
of	of	pp-f	of	of	0
Yucatan	Yucatan	np1	Yucatan	Yucatan	0
called	called	vvd	called	call	0
Cabo	Cabo	np1	Cabo	Cabo	0
de	de	fw-fr	de	de	0
Catoche	Catoche	np1	Catoche	Catoche	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
island	island	n1	island	island	0
called	called	vvn	called	call	0
Isla	Isla	np1	Isla	Isla	0
de	de	fw-fr	de	de	0
Ranas	Ranas	npg1	Ranas	ranas	0
in	in	n1	in	inn	0
22	22	crd	22	22	0
23i	23i	n1	23i	23i	0
22	22	crd	22	22	0
21	21	crd	21	21	0
2I	2I	fw-la	2I	2i	0
>	>	>	>	>	0
This	This	d	This	this	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
very	very	av	very	very	0
commodious	commodious	j	commodious	commodious	0
The	The	dt	The	the	0
latitudes	latitudes	n2	latitudes	latitude	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
places	places	n2	places	place	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Nueva	Nueva	np1	Nueva	Nueva	0
Espanna	Espanna	np1	Espanna	Espanna	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
divers	divers	j	diverse	diverse	0
other	other	j-jn	other	other	0
places	places	n2	places	place	0
lying	lying	vvg	lying	lie	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
to	to	p-acp	to	to	0
Spaine	Spaine	np1	Spaine	Spain	0
.	.	.	.	.	1
Villa	Villa	np1	Villa	Villa	0
rica	rica	fw-la	rica	rica	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
Sant	Sant	np1	Sant	Sant	0
.	.	.	.	.	1
Juan	Juan	np1	Juan	Juan	0
de	de	fw-fr	de	de	0
Ullua	Ullua	fw-la	Ullua	ullua	0
in	in	p-acp	in	in	0
From	From	p-acp	From	from	0
Sant	Sant	zz	Sant	sant	0
Juan	Juan	np1	Juan	Juan	0
de	de	fw-fr	de	de	0
Ullua	Ullua	fw-la	Ullua	ullua	0
sayling	sayling	vvg	sailing	sail	0
to	to	p-acp	to	to	0
th	th	dt	that	the	0
tugas	tugas	n1	tugas	tugas	0
you	you	pn22	you	you	0
must	must	vmb	must	must	0
sound	sound	vvi	found	sound	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
small	small	j	small	small	0
isles	isles	n2	isles	isle	0
called	called	vvn	called	call	0
Las	Las	uh	Las	alas	0
Tortugas	Tortugas	np1	Tortugas	Tortugas	0
stand	stand	vvb	stand	stand	0
The	The	dt	The	the	0
Port	Port	n1	Port	port	0
of	of	pp-f	of	of	0
Havana	Havana	np1	Havana	Havana	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
Northwest	Northwest	av-an	Northwest	northwest	0
Cuba	Cuba	np1	Cuba	Cuba	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
head	head	n1	head	head	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Martyrs	Martyrs	n2	Martyrs	martyr	0
lying	lying	vvg	lying	lie	0
before	before	p-acp	before	before	0
th	th	zz	th	th	0
of	of	pp-f	of	of	0
Florida	Florida	np1	Florida	Florida	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
Mimbres	Mimbres	np2	Mimbres	mimbre	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
Chanel	Chanel	n1	Channel	chanel	0
of	of	pp-f	of	of	0
Bahama	Bahama	np1	Bahama	Bahama	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
Cape	Cape	n1	Cape	cape	0
de	de	fw-fr	de	de	0
Cannaveral	Cannaveral	j	Cannaveral	cannaveral	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
cc	cc	crd	cc	cc	0
Florida	Florida	np1	Florida	Florida	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Bermuda	Bermuda	np1	Bermuda	Bermuda	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
*	*	*	*	*	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
John	John	np1	John	John	0
Luis	Luis	np1	Luis	Luis	0
or	or	cc	or	or	0
John	John	np1	John	John	0
Alvarez	Alvarez	np1	Alvarez	Alvarez	0
Degrees	Degrees	n2	Degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
.	.	.	.	.	0
i8f	i8f	uh	i8f	i8f	0
e	e	sy	e	e	0
Tor	Tor	c-acp	Tor	for	0
-	-	-	-	-	0
271	271	crd	271	271	0
in	in	p-acp	in	in	0
25	25	crd	25	25	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
23i	23i	fw-la	23i	23i	0
e	e	fw-la	e	e	0
Cape	Cape	n1	Cape	cape	0
25	25	crd	25	25	0
26	26	crd	26	26	0
|	|	|	|	|	0
27i	27i	fw-mi	27i	27i	0
>	>	>	>	>	0
ast	ast	vh2	ast	have	0
of	of	pp-f	of	of	0
28J	28J	fw-la	28J	28j	0
33	33	crd	33	33	0
in	in	fw-la	in	in	0
4i	4i	fw-la	4i	4i	0
|	|	|	|	|	0
Isle	Isle	n1	Isle	isle	0
for	for	p-acp	for	for	0
us	us	pno12	us	we	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
way	way	n1	way	way	0
to	to	p-acp	to	to	0
Virginia	Virginia	np1	Virginia	Virginia	0
.	.	.	.	.	1
The	The	dt	The	the	0
latitudes	latitudes	n2	latitudes	latitude	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Azores	Azores	n2	Azores	azore	0
.	.	.	.	.	1
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Flores	Flores	np1	Flores	Flores	0
standeth	standeth	vvz	stands	stand	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Cuervo	Cuervo	np1	Cuervo	Cuervo	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Fayal	Fayal	np1	Fayal	Fayal	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Pico	Pico	np1	Pico	Pico	0
and	and	cc	and	and	0
the	the	dt	the	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
both	both	av-d	both	both	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Terzera	Terzera	np1	Terzera	Terzera	0
in	in	p-acp	in	in	0
The	The	dt	The	the	0
isle	isle	n1	isle	isle	0
of	of	pp-f	of	of	0
Gracioso	Gracioso	np1	Gracioso	Gracioso	0
in	in	p-acp	in	in	0
334	334	crd	334	334	0
Degrees	Degrees	n2	Degrees	degree	0
of	of	pp-f	of	of	0
latitude	latitude	n1	latitude	latitude	0
.	.	.	.	.	1
39i	39i	n1	39i	39i	0
40	40	crd	40	40	0
3®	3®	n1	3®	3®	0
!	!	!	!	!	1
George	George	np1	George	George	0
38	38	crd	38	38	0
>	>	>	>	>	0
39	39	crd	39	39	0
39l	39l	crd	39l	39l	0
Cape	Cape	n1	Cape	cape	0
sant	sant	zz	sant	sant	0
Vincent	Vincent	np1	Vincent	Vincent	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
37	37	crd	37	37	0
The	The	dt	The	the	0
Rocke	Rocke	n1	Rock	rock	0
in	in	p-acp	in	in	0
39	39	crd	39	39	0
The	The	dt	The	the	0
Burlings	Burlings	n2	Burlings	burling	0
in	in	p-acp	in	in	0
40	40	crd	40	40	0
Bayona	Bayona	np1	Bayona	Bayona	0
in	in	p-acp	in	in	0
42^	42^	n1	42^	42^	0
Cape	Cape	n1	Cape	cape	0
Finister	Finister	np1	Finister	Finister	0
in	in	p-acp	in	in	0
43^	43^	n1	43^	43^	0
The	The	dt	The	the	0
enterance	enterance	n1	entrance	entrance	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
streights	streights	n2	straights	strait	0
of	of	pp-f	of	of	0
Gibraltar	Gibraltar	np1	Gibraltar	Gibraltar	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
36	36	crd	36	36	0
Cape	Cape	n1	Cape	cape	0
Cantin	Cantin	np1	Cantin	Cantin	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
in	in	p-acp	in	in	0
32^	32^	n1	32^	32^	0
Cape	Cape	n1	Cape	cape	0
Bojador	Bojador	n1	Bojador	bojador	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
of	of	pp-f	of	of	0
Barbarie	Barbarie	np1	Barbarie	Barbary	0
in	in	p-acp	in	in	0
27*	27*	n1	27*	27*	0
large	large	j	large	large	0
.	.	.	.	.	1
Rio	Rio	np1	Rio	Rio	0
del	del	vvb	deal	deal	0
oro	oro	fw-la	oro	oro	0
,	,	,	,	,	0
or	or	cc	or	or	0
The	The	dt	The	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Gold	Gold	n1	Gold	gold	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
23^	23^	n1	23^	23^	0
Cabo	Cabo	np1	Cabo	Cabo	0
de	de	fw-fr	de	de	0
Barbas	Barbas	fw-la	Barbas	barbas	0
in	in	p-acp	in	in	0
22	22	crd	22	22	0
Cabo	Cabo	np1	Cabo	Cabo	0
bianco	bianco	n1	bianco	bianco	0
,	,	,	,	,	0
or	or	cc	or	or	0
the	the	dt	the	the	0
white	white	j-jn	white	white	0
Cape	Cape	n1	Cape	cape	0
in	in	p-acp	in	in	0
2of	2of	av	2of	2of	0
The	The	dt	The	the	0
latitude	latitude	n1	latitude	latitude	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
isles	isles	n2	isles	isle	0
of	of	pp-f	of	of	0
Cabo	Cabo	np1	Cabo	Cabo	0
verde	verde	vvd	verde	verde	0
.	.	.	.	.	1
The	The	dt	The	the	0
isles	isles	n2	isles	isle	0
of	of	pp-f	of	of	0
Sant	Sant	np1	Sant	Sant	0
Anton	Anton	np1	Anton	Anton	0
,	,	,	,	,	0
Sant	Sant	np1	Sant	Sant	0
Vincent	Vincent	np1	Vincent	Vincent	0
,	,	,	,	,	0
Lucia	Lucia	np1	Lucia	Lucia	0
,	,	,	,	,	0
and	and	cc	and	and	0
Sant	Sant	np1	Sant	Sant	0
Nicolas	Nicolas	np1	Nicolas	Nicolas	0
stand	stand	vvb	stand	stand	0
all	all	d	all	all	0
in	in	p-acp	in	in	0
Isla	Isla	np1	Isla	Isla	0
