Here	Here	av	Here	here	0
shold	shold	vmd	should	shall	0
which	which	r-crq	which	which	0
lieth	lieth	vvz	lies	lie	0
on	on	p-acp	on	on	0
thy	thy	po21	thy	thy	0
starboord	starboord	n1	starboard	starboard	0
side	side	n1	side	side	0
:	:	:	:	:	0
and	and	cc	and	and	0
saile	saile	vvb	sail	sail	0
thou	thou	pns21	thou	thou	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
North	North	n1	North	north	0
coast	coast	n1	coast	coast	0
,	,	,	,	,	0
and	and	cc	and	and	0
leave	leave	vvi	leave	leave	0
two	two	crd	two	two	0
partes	partes	n2	parts	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
South	South	n1	South	south	0
;	;	;	;	;	0
because	because	c-acp	because	because	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
rocke	rocke	n1	rock	rock	0
which	which	r-crq	which	which	0
runneth	runneth	vvz	runneth	run	0
2	2	crd	2	2	0
or	or	cc	or	or	0
3	3	crd	3	3	0
leagues	leagues	n2	leagues	league	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
.	.	.	.	.	1
And	And	cc	And	and	0
when	when	c-crq	when	when	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
come	come	vvn	come	come	0
athwart	athwart	av	athwart	athwart	0
the	the	dt	the	the	0
haven	haven	n1	haven	haven	0
of	of	pp-f	of	of	0
Butes	Butes	np1	Butes	Butes	0
,	,	,	,	,	0
run	run	vvb	run	run	0
along	along	a-acp	along	along	0
the	the	dt	the	the	0
North	North	n1	North	north	0
shore	shore	n1	shore	shore	0
about	about	p-acp	about	about	0
one	one	crd	one	one	0
league	league	n1	league	league	0
or	or	cc	or	or	0
Butes	Butes	np1	Butes	Butes	0
.	.	.	.	.	0
an	an	dt	and	a	0
halfe	halfe	j-jn	half	half	0
ofF	ofF	a-acp	ofF	off	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
is	is	vbz	is	be	0
without	without	p-acp	without	without	0
all	all	d	all	all	0
danger	danger	n1	danger	danger	0
:	:	:	:	:	0
Bell	Bell	n1	Bell	bell	0
Isle	Isle	n1	Isle	isle	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
mouth	mouth	n1	mouth	mouth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Blanc	Blanc	np1	Blanc	Blanc	0
The	The	dt	The	the	0
Isle	Isle	n1	Isle	isle	0
of	of	pp-f	of	of	0
Sablon	Sablon	np1	Sablon	Sablon	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
,	,	,	,	,	0
neere	neere	av-j	near	near	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Blanc	Blanc	np1	Blanc	Blanc	0
Sablm	Sablm	n1	Sablm	sablm	0
North	North	n1	North	north	0
shore	shore	n1	shore	shore	0
lie	lie	vvb	lie	lie	0
Northeast	Northeast	np1	Northeast	Northeast	0
,	,	,	,	,	0
West	West	n1	West	west	0
and	and	cc	and	and	0
Southwest	Southwest	np1	Southwest	Southwest	0
,	,	,	,	,	0
&	&	cc	&	and	0
the	the	dt	the	the	0
°r	°r	n1	°r	°r	0
m	m	sy	m	m	0
lie	lie	vvb	lie	lie	0
san	san	zz	san	san	0
*	*	*	*	*	0
distance	distance	n1	distance	distance	0
is	is	vbz	is	be	0
30	30	crd	30	30	0
leagues	leagues	n2	leagues	league	0
.	.	.	.	.	1
The	The	dt	The	the	0
Grand	Grand	j	Grand	grand	0
Bay	Bay	n1	Bay	bay	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
entrance	entrance	n1	entrance	entrance	0
The	The	dt	The	the	0
severall	severall	j	several	several	0
is	is	vbz	is	be	0
but	but	cc-acp	but	but	0
7	7	crd	7	7	0
leagues	leagues	n2	leagues	league	0
broad	broad	j	broad	broad	0
from	from	p-acp	from	from	0
land	land	n1	land	land	0
to	to	p-acp	to	to	0
land	land	n1	land	land	0
untill	untill	c-acp	until	until	0
it	it	pn31	it	it	0
come	come	vvb	come	come	0
bQ^ndBa*	bQ^ndBa*	n1	bQ^ndBa*	bq^ndba*	0
over	over	a-acp	over	over	0
against	against	p-acp	against	against	0
the	the	dt	the	the	0
Bay	Bay	n1	Bay	bay	0
des	des	fw-fr	des	des	0
Chasteaux	Chasteaux	fw-fr	Chasteaux	chasteaux	0
:	:	:	:	:	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
y'	y'	pn22	you	you	0
forward	forward	j	forward	forward	0
it	it	pn31	it	it	0
hath	hath	vhz	hath	have	0
not	not	xx	not	not	0
past	past	vvn	passed	pass	0
5	5	crd	5	5	0
leagues	leagues	n2	leagues	league	0
in	in	p-acp	in	in	0
breadth	breadth	n1	breadth	breadth	0
.	.	.	.	.	1
And	And	cc	And	and	0
275	275	crd	275	275	0
Blanc	Blanc	np1	Blanc	Blanc	0
Sab	Sab	np1	Sab	Sab	0
Ion.	Ion.	np1	Ion.	Ion.	0
in	in	p-acp	in	in	0
51.	51.	crd	51.	51.	0
deg	deg	n1	deg	deg	0
.	.	.	.	.	1
2.	2.	crd	2.	2.	0
thirdparts	thirdparts	n2	thirdparts	thirdpart	0
.	.	.	.	.	1
The	The	dt	The	the	0
Isles	Isles	n2	Isles	isle	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Damoiselle	Damoiselle	fw-fr	Damoiselle	damoiselle	0
in	in	p-acp	in	in	0
50.	50.	crd	50.	50.	0
deg	deg	n1	deg	deg	0
.	.	.	.	.	1
3.	3.	crd	3.	3.	0
fourth	fourth	ord	fourth	four	0
parts	parts	n2	parts	part	0
.	.	.	.	.	1
Many	Many	av-d	Many	many	0
Isles	Isles	n2	Isles	isle	0
W	W	j	W	wonderful	0
good	good	j	good	good	0
harbors	harbors	n2	harbors	harbour	0
.	.	.	.	.	1
Cape	Cape	n1	Cape	cape	0
Tienot	Tienot	np1	Tienot	Tienot	0
in	in	p-acp	in	in	0
50	50	crd	50	50	0
deg	deg	n1	deg	deg	0
.	.	.	.	.	0
one	one	crd	one	one	0
fourth	fourth	ord	fourth	four	0
part	part	n1	part	part	0
.	.	.	.	.	1
THE	THE	dt	THE	the	0
ENGLISH	ENGLISH	jp	ENGLISH	english	0
VOYAGES	VOYAGES	n2	VOYAGES	voyage	0
against	against	p-acp	against	against	0
Blanc	Blanc	np1	Blanc	Blanc	0
Sablon	Sablon	np1	Sablon	Sablon	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
8	8	crd	8	8	0
leagues	leagues	n2	leagues	league	0
broad	broad	j	broad	broad	0
from	from	p-acp	from	from	0
land	land	n1	land	land	0
to	to	p-acp	to	to	0
land	land	n1	land	land	0
.	.	.	.	.	1
And	And	cc	And	and	0
the	the	dt	the	the	0
land	land	n1	land	land	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
South	South	n1	South	south	0
shore	shore	n1	shore	shore	0
is	is	vbz	is	be	0
all	all	d	all	all	0
low	low	j	low	low	0
land	land	n1	land	land	0
along	along	a-acp	along	along	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
coast	coast	n1	coast	coast	0
.	.	.	.	.	1
The	The	dt	The	the	0
North	North	n1	North	north	0
shore	shore	n1	shore	shore	0
is	is	vbz	is	be	0
reasonable	reasonable	j	reasonable	reasonable	0
high	high	j	high	high	0
land	land	n1	land	land	0
,	,	,	,	,	0
Blanc	Blanc	np1	Blanc	Blanc	0
Sablon	Sablon	np1	Sablon	Sablon	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
5	5	crd	5	5	0
if	if	cs	if	if	0
degrees	degrees	n2	degrees	degree	0
.	.	.	.	.	1
The	The	dt	The	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Blanc	Blanc	np1	Blanc	Blanc	0
Sablon	Sablon	np1	Sablon	Sablon	0
&	&	cc	&	and	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Damoiselle	Damoiselle	fw-fr	Damoiselle	damoiselle	0
,	,	,	,	,	0
are	are	vbr	are	be	0
Northeast	Northeast	n1	Northeast	north-east	0
,	,	,	,	,	0
Westsouthwest	Westsouthwest	np1	Westsouthwest	Westsouthwest	0
,	,	,	,	,	0
and	and	cc	and	and	0
take	take	vvb	take	take	0
a	a	dt	a	a	0
little	little	j	little	little	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Westsouthwest	Westsouthwest	n1	Westsouthwest	westsouthwest	0
,	,	,	,	,	0
and	and	cc	and	and	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
distant	distant	j	distant	distant	0
36	36	crd	36	36	0
leagues	leagues	n2	leagues	league	0
:	:	:	:	:	0
these	these	d	these	these	0
Iles	Iles	n2	Isles	isle	0
are	are	vbr	are	be	0
in	in	p-acp	in	in	0
50.	50.	crd	50.	50.	0
deg	deg	n1	deg	deg	0
.	.	.	.	.	1
And	And	cc	And	and	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
good	good	j	good	good	0
haven	haven	n1	haven	haven	0
:	:	:	:	:	0
&	&	cc	&	and	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
enter	enter	vvi	enter	enter	0
by	by	p-acp	by	by	0
an	an	dt	and	a	0
high	high	j	high	high	0
Cape	Cape	n1	Cape	cape	0
which	which	r-crq	which	which	0
lieth	lieth	vvz	lies	lie	0
along	along	a-acp	along	along	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
,	,	,	,	,	0
and	and	cc	and	and	0
within	within	p-acp	within	within	0
the	the	dt	the	the	0
distance	distance	n1	distance	distance	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
pike	pike	n1	pike	pike	0
&	&	cc	&	and	0
an	an	dt	and	a	0
half	half	n-jn	half	half	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
rocke	rocke	n1	rock	rock	0
which	which	r-crq	which	which	0
lieth	lieth	vvz	lies	lie	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
larrebord	larrebord	n1	larrebord	larrebord	0
side	side	n1	side	side	0
,	,	,	,	,	0
&	&	cc	&	and	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
ancre	ancre	vvi	anchor	anchor	0
in	in	p-acp	in	in	0
10	10	crd	10	10	0
fathome	fathome	n1	fathom	fathom	0
water	water	n1	water	water	0
over	over	a-acp	over	over	0
against	against	p-acp	against	against	0
a	a	dt	a	a	0
litle	litle	j	little	little	0
nooke	nooke	n1	nook	nook	0
:	:	:	:	:	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
great	great	j	great	great	0
headland	headland	n1	headland	headland	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
place	place	n1	place	place	0
where	where	c-crq	where	where	0
thou	thou	pns21	thou	thou	0
doest	doest	vd2	dost	do	0
ancre	ancre	vvi	anchor	anchor	0
there	there	pc-acp	there	there	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
above	above	p-acp	above	above	0
the	the	dt	the	the	0
length	length	n1	length	length	0
of	of	pp-f	of	of	0
2	2	crd	2	2	0
Cables	Cables	n2	Cables	cable	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
thou	thou	pns21	thou	thou	0
wouldest	wouldest	vmd2	wouldst	will	0
go	go	vvi	go	go	0
out	out	av	out	out	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
West	West	n1	West	west	0
side	side	n1	side	side	0
,	,	,	,	,	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
saile	saile	vvi	sail	sail	0
neere	neere	av-j	near	near	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
starrebord	starrebord	n1	starrebord	starrebord	0
,	,	,	,	,	0
&	&	cc	&	and	0
give	give	vvb	give	give	0
roome	roome	n1	room	room	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Isle	Isle	n1	Isle	isle	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
larbord	larbord	vvn	larboard	larboard	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
comming	comming	n-vvg	coming	come	0
forth	forth	av	forth	forth	0
:	:	:	:	:	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
thou	thou	pns21	thou	thou	0
art	art	vb2r	art	be	0
not	not	xx	not	not	0
past	past	p-acp	passed	past	0
a	a	dt	a	a	0
cables	cables	n2	cables	cable	0
length	length	n1	length	length	0
out	out	av	out	out	0
thou	thou	pns21	thou	thou	0
must	must	vmb	must	must	0
saile	saile	vvi	sail	sail	0
hard	hard	av-j	hard	hard	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
larbord	larbord	vvn	larboard	larboard	0
side	side	n1	side	side	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
suncken	suncken	j-vvn	sunken	sink	0
flatte	flatte	n1	flat	flat	0
which	which	r-crq	which	which	0
lieth	lieth	vvz	lies	lie	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
starrebord	starrebord	n1	starrebord	starrebord	0
,	,	,	,	,	0
and	and	cc	and	and	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
saile	saile	vvi	sail	sail	0
so	so	av	so	so	0
on	on	p-acp	on	on	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Southsouthwest	Southsouthwest	n1	Southsouthwest	southsouthwest	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
thou	thou	pns21	thou	thou	0
come	come	vvb	come	come	0
in	in	p-acp	in	in	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
rocke	rocke	n1	rock	rock	0
which	which	r-crq	which	which	0
shineth	shineth	vvz	shines	shine	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
about	about	a-acp	about	about	0
halfe	halfe	j-jn	half	half	0
a	a	dt	a	a	0
league	league	n1	league	league	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
distant	distant	j	distant	distant	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
,	,	,	,	,	0
and	and	cc	and	and	0
thou	thou	pns21	thou	thou	0
shalt	shalt	vm2	shalt	shall	0
leave	leave	vvi	leave	leave	0
it	it	pn31	it	it	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
larrebord	larrebord	n1	larrebord	larrebord	0
:	:	:	:	:	0
(	(	(	(	(	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Damoiselle	Damoiselle	n1	Damoiselle	damoiselle	0
unto	unto	p-acp	unto	unto	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
in	in	p-acp	in	in	0
bredth	bredth	n1	breadth	breadth	0
above	above	p-acp	above	above	0
36.	36.	crd	36.	36.	0
leagues	leagues	n2	leagues	league	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
that	that	cst	that	that	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
even	even	av	even	even	0
unto	unto	p-acp	unto	unto	0
Cape	Cape	n1	Cape	cape	0
Briton	Briton	np1	Briton	Briton	0
runneth	runneth	vvz	runneth	run	0
not	not	xx	not	not	0
but	but	p-acp	but	but	0
Northnortheast	Northnortheast	n1	Northnortheast	northnortheast	0
&	&	cc	&	and	0
Southsouthwest	Southsouthwest	np1	Southsouthwest	Southsouthwest	0
.	.	.	.	.	0
)	)	)	)	)	1
Between	Between	p-acp	Between	between	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Damoiselle	Damoiselle	n1	Damoiselle	damoiselle	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Isles	Isles	n2	Isles	isle	0
of	of	pp-f	of	of	0
Blanck	Blanck	j	Blank	blank	0
Sablon	Sablon	np1	Sablon	Sablon	0
there	there	pc-acp	there	there	0
be	be	vbi	be	be	0
many	many	d	many	many	0
Isles	Isles	n2	Isles	isle	0
and	and	cc	and	and	0
good	good	j	good	good	0
harbours	harbours	n2	harbours	harbour	0
:	:	:	:	:	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
this	this	d	this	this	0
coast	coast	n1	coast	coast	0
there	there	pc-acp	there	there	0
are	are	vbr	are	be	0
faulcons	faulcons	n2	falcons	falcon	0
&	&	cc	&	and	0
haukes	haukes	n2	hawks	hawk	0
,	,	,	,	,	0
and	and	cc	and	and	0
cer-taine	cer-taine	j	certain	certain	0
foules	foules	n2	fowls	fowl	0
which	which	r-crq	which	which	0
seeme	seeme	vvb	seem	seem	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
feasants	feasants	n2	feasants	feasant	0
.	.	.	.	.	1
The	The	dt	The	the	0
Isles	Isles	n2	Isles	isle	0
de	de	fw-fr	de	de	0
la	la	fw-fr	la	la	0
Damoiselle	Damoiselle	n1	Damoiselle	damoiselle	0
&	&	cc	&	and	0
Cape	Cape	n1	Cape	cape	0
Tienot	Tienot	np1	Tienot	Tienot	0
are	are	vbr	are	be	0
Northeast	Northeast	np1	Northeast	Northeast	0
&	&	cc	&	and	0
Westsouthwest	Westsouthwest	np1	Westsouthwest	Westsouthwest	0
&	&	cc	&	and	0
take	take	vvi	take	take	0
a	a	dt	a	a	0
little	little	j	little	little	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
and	and	cc	and	and	0
southwest	southwest	n1	southwest	southwest	0
,	,	,	,	,	0
&	&	cc	&	and	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
distant	distant	j	distant	distant	0
18	18	crd	18	18	0
leagues	leagues	n2	leagues	league	0
.	.	.	.	.	1
Cape	Cape	n1	Cape	cape	0
Tienot	Tienot	np1	Tienot	Tienot	0
is	is	vbz	is	be	0
in	in	p-acp	in	in	0
50.	50.	crd	50.	50.	0
deg	deg	n1	deg	deg	0
.	.	.	.	.	0
and	and	cc	and	and	0
f	f	zz	f	f	0
.	.	.	.	.	1
And	And	cc	And	and	0
there	there	a-acp	there	there	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
is	is	vbz	is	be	0
broadest	broadest	js	broadest	broad	0
.	.	.	.	.	1
And	And	cc	And	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
of	of	pp-f	of	of	0
Newfoundland	Newfoundland	np1	Newfoundland	Newfoundland	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
is	is	vbz	is	be	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
entrance	entrance	n1	entrance	entrance	0
of	of	pp-f	of	of	0
Cape	Cape	np1	Cape	Cape	0
Briton	Briton	jp	Briton	briton	0
