also	also	av	also	also	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
&c.	&c.	av	etc.	etc	0
as	as	p-acp	as	as	0
his	his	po31	his	his	0
ambassadour	ambassadour	n1	ambassador	ambassador	0
unto	unto	p-acp	unto	unto	0
Dordract	Dordract	n1	Dordract	dordract	0
,	,	,	,	,	0
his	his	po31	his	his	0
most	most	av-ds	most	most	0
sincere	sincere	j	sincere	sincere	0
friend	friend	n1	friend	friend	0
.	.	.	.	.	1
HOnorable	HOnorable	j	Honourable	honourable	0
sir	sir	n1	sir	sir	0
,	,	,	,	,	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
entier	entier	j	entire	entire	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
wee	wee	pns12	we	we	0
received	received	vvd	received	receive	0
the	the	dt	the	the	0
royall	royall	j	royal	royal	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
mighty	mighty	j	mighty	mighty	0
prince	prince	n1	prince	prince	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
,	,	,	,	,	0
our	our	po12	our	our	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
and	and	cc	and	and	0
France	France	np1	France	France	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
under	under	p-acp	under	under	0
the	the	dt	the	the	0
date	date	n1	date	date	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
14.	14.	crd	14.	14.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
received	received	vvd	received	receive	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
castle	castle	n1	castle	castle	0
of	of	pp-f	of	of	0
Marien-burgh	Marien-burgh	n1	Marienburgh	marienburgh	0
the	the	dt	the	the	0
n	n	n1	n	n	0
.	.	.	.	.	0
of	of	pp-f	of	of	0
April	April	np1	April	April	0
)	)	)	)	)	0
containing	containing	vvg	containing	contain	0
,	,	,	,	,	0
amongst	amongst	p-acp	among	among	0
other	other	j-jn	other	other	0
matters	matters	n2	matters	matter	0
,	,	,	,	,	0
that	that	cst	that	that	0
his	his	po31	his	his	0
Majesties	Majesties	ng1	Majesties	majesty	0
purpose	purpose	n1	purpose	purpose	0
was	was	vbds	was	be	0
once	once	a-acp	once	once	0
againe	againe	av	again	again	0
to	to	pc-acp	to	to	0
sende	sende	vvi	send	send	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
,	,	,	,	,	0
namely	namely	av	namely	namely	0
your	your	po22	your	your	0
selfe	selfe	n1	self	self	0
our	our	po12	our	our	0
very	very	j	very	very	0
sincere	sincere	j	sincere	sincere	0
friend	friend	n1	friend	friend	0
unto	unto	p-acp	unto	unto	0
Dordract	Dordract	n1	Dordract	dordract	0
,	,	,	,	,	0
giving	giving	vvg	giving	give	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
charge	charge	n1	charge	charge	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
would	would	vmd	would	will	0
make	make	vvi	make	make	0
haste	haste	n1	haste	haste	0
thither	thither	av	thither	thither	0
&	&	cc	&	and	0
there	there	pc-acp	there	there	0
stay	stay	vvi	stay	stay	0
,	,	,	,	,	0
untill	untill	c-acp	until	until	0
«	«	«	«	«	0
5	5	crd	5	5	0
some	some	d	some	some	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
might	might	n1	might	might	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
convenient	convenient	j	convenient	convenient	0
time	time	n1	time	time	0
repaire	repaire	vvi	repair	repair	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
same	same	d	same	same	0
place	place	n1	place	place	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
Gods	Gods	npg1	Gods	God	0
assistance	assistance	n1	assistance	assistance	0
)	)	)	)	)	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
our	our	po12	our	our	0
matters	matters	n2	matters	matter	0
unto	unto	p-acp	unto	unto	0
a	a	dt	a	a	0
happy	happy	j	happy	happy	0
conclusion	conclusion	n1	conclusion	conclusion	0
.	.	.	.	.	1
And	And	cc	And	and	0
then	then	av	then	then	0
he	he	pns31	he	he	0
requested	requested	vvd	requested	request	0
that	that	cst	that	that	0
wee	wee	pns12	we	we	0
should	should	vmd	should	shall	0
without	without	p-acp	without	without	0
delay	delay	n1	delay	delay	0
write	write	vvi	write	write	0
our	our	po12	our	our	0
determination	determination	n1	determination	determination	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
conclusion	conclusion	n1	conclusion	conclusion	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
letter	letter	n1	letter	letter	0
importeth	importeth	vvz	imports	import	0
.	.	.	.	.	1
Howbeit	Howbeit	a-acp	Howbeit	howbeit	0
(	(	(	(	(	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
friend	friend	n1	friend	friend	0
)	)	)	)	)	0
the	the	dt	the	the	0
treaties	treaties	n2	treaties	treaty	0
&	&	cc	&	and	0
conferences	conferences	n2	conferences	conference	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
redresse	redresse	n1	redress	redress	0
or	or	cc	or	or	0
reformation	reformation	n1	reformation	reformation	0
of	of	pp-f	of	of	0
unjust	unjust	j	unjust	unjust	0
attempts	attempts	n2	attempts	attempt	0
committed	committed	vvn	committed	commit	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
sayd	sayd	j-vvn	said	say	0
lord	lord	n1	lord	lord	0
the	the	dt	the	the	0
king	king	n1	king	king	0
&	&	cc	&	and	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
one	one	pi	one	one	0
against	against	p-acp	against	against	0
another	another	n-jn	another	another	0
,	,	,	,	,	0
are	are	vbr	are	be	0
both	both	d	both	both	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
behalfe	behalfe	n1	behalf	behalf	0
,	,	,	,	,	0
and	and	cc	and	and	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
behalfe	behalfe	n1	behalf	behalf	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
common	common	j	common	common	0
societie	societie	n1	society	society	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Hans	Hans	np1	Hans	Hans	0
marchants	marchants	n2	merchants	merchant	0
,	,	,	,	,	0
hitherto	hitherto	av	hitherto	hitherto	0
had	had	vhd	had	have	0
,	,	,	,	,	0
made	made	vvd	made	make	0
,	,	,	,	,	0
and	and	cc	and	and	0
continued	continued	vvd	continued	continue	0
common	common	j	common	common	0
.	.	.	.	.	1
And	And	cc	And	and	0
so	so	av	so	so	0
our	our	po12	our	our	0
commissioners	commissioners	n2	commissioners	commissioner	0
upon	upon	p-acp	upon	upon	0
our	our	po12	our	our	0
full	full	j	full	full	0
and	and	cc	and	and	0
absolute	absolute	j	absolute	absolute	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
shal	shal	vmb	shall	shall	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
managing	managing	n-vvg	managing	manage	0
of	of	pp-f	of	of	0
these	these	d	these	these	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
affaires	affaires	n2	affairs	affair	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
many	many	d	many	many	0
waies	waies	n2	ways	way	0
urgent	urgent	j	urgent	urgent	0
and	and	cc	and	and	0
difficult	difficult	j	difficult	difficult	0
,	,	,	,	,	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
feast	feast	n1	feast	feast	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lords	Lords	n2	Lords	lord	0
Ascension	Ascension	n1	Ascension	ascension	0
next	next	ord	next	next	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
,	,	,	,	,	0
meet	meet	vvb	meet	meet	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
societie	societie	n1	society	society	0
at	at	p-acp	at	at	0
Lubec	Lubec	np1	Lubec	Lubec	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
give	give	vvi	give	give	0
notice	notice	n1	notice	notice	0
what	what	r-crq	what	what	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
determined	determined	vvn	determined	determine	0
to	to	pc-acp	to	to	0
conclude	conclude	vvi	conclude	conclude	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
present	present	j	present	present	0
busines	busines	n1	business	business	0
&	&	cc	&	and	0
in	in	p-acp	in	in	0
others	others	n2-jn	others	other	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
behalfe	behalfe	n1	behalf	behalf	0
.	.	.	.	.	1
For	For	c-acp	For	for	0
we	we	pns12	we	we	0
wil	wil	vmb	will	will	0
give	give	vvi	give	give	0
our	our	po12	our	our	0
ambassadours	ambassadours	n2	ambassadors	ambassador	0
which	which	r-crq	which	which	0
are	are	vbr	are	be	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
appeare	appeare	vvi	appear	appear	0
,	,	,	,	,	0
streightly	streightly	av-j	streightly	straight	0
in	in	p-acp	in	in	0
charge	charge	n1	charge	charge	0
that	that	cst	that	that	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
kings	kings	ng1	kings	king	0
request	request	n1	request	request	0
aforesayde	aforesayde	j	aforesaid	aforesaid	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
without	without	p-acp	without	without	0
delay	delay	vvi	delay	delay	0
procure	procure	vvi	procure	procure	0
an	an	dt	and	a	0
answere	answere	n1	answer	answer	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
written	written	vvn	written	write	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
concerning	concerning	vvg	concerning	concern	0
the	the	dt	the	the	0
determination	determination	n1	determination	determination	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
societie	societie	n1	society	society	0
.	.	.	.	.	1
Given	Given	j-vvn	Given	give	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
place	place	n1	place	place	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
day	day	n1	day	day	0
above	above	a-acp	above	above	0
named	named	vvn	nam	name	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeare	yeare	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1407.	1407.	crd	1407.	1407.	1
Fr.	Fr.	np1	Fr.	Fr.	0
Wernherus	Wernherus	np1	Wernherus	Wernherus	0
de	de	fw-fr	de	de	0
Tettingen	Tettingen	np1	Tettingen	Tettingen	0
,	,	,	,	,	0
commander	commander	n1	commander	commander	0
in	in	p-acp	in	in	0
Elbing	Elbing	np1	Elbing	Elbing	0
,	,	,	,	,	0
general	general	j	general	general	0
vice-master	vice-master	n1	vice-master	vice-master	0
and	and	cc	and	and	0
lieutenant	lieutenant	n1	lieutenant	lieutenant	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
roome	roome	n1	room	room	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Master	Master	n1	Master	master	0
generali	generali	fw-la	generali	generali	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
knights	knights	n2	knights	knight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Order	Order	n1	Order	order	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Marie	Marie	vvi	marry	marry	0
&c.	&c.	av	etc.	etc	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
deceased	deceased	vvn	deceased	decease	0
.	.	.	.	.	1
The	The	dt	The	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
Henry	Henry	np1	Henry	Henry	0
the	the	dt	the	the	0
4.	4.	crd	4.	4.	0
king	king	n1	king	king	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
&c.	&c.	av	etc.	etc	0
unto	unto	p-acp	unto	unto	0
Ulricus	Ulricus	np1	Ulricus	Ulricus	0
de	de	fw-fr	de	de	0
Jungingen	Jungingen	np1	Jungingen	Jungingen	0
Master	Master	n1	Master	master	0
generali	generali	fw-la	generali	generali	0
of	of	pp-f	of	of	0
Prussia	Prussia	np1	Prussia	Prussia	0
,	,	,	,	,	0
1408.	1408.	crd	1408.	1408.	0
wherein	wherein	c-crq	wherein	wherein	0
he	he	pns31	he	he	0
doth	doth	vdz	does	do	0
ratifie	ratifie	vvi	ratify	ratify	0
and	and	cc	and	and	0
accept	accept	vvi	accept	accept	0
the	the	dt	the	the	0
last	last	ord	last	last	0
agreement	agreement	n1	agreement	agreement	0
made	made	vvd	made	make	0
at	at	p-acp	at	at	0
Hage	Hage	np1	Hage	Hage	0
in	in	p-acp	in	in	0
Holland	Holland	n1	Holland	holland	0
.	.	.	.	.	1
HEnry	HEnry	np1	HEnry	HEnry	0
&c.	&c.	av	etc.	etc	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
and	and	cc	and	and	0
religious	religious	j	religious	religious	0
personage	personage	n1	personage	personage	0
Fr.	Fr.	np1	Fr.	Fr.	0
Ulricus	Ulricus	fw-la	Ulricus	ulricus	0
de	de	fw-fr	de	de	0
Jungingen	Jungingen	np1	Jungingen	Jungingen	0
Master	Master	n1	Master	master	0
generali	generali	fw-la	generali	generali	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
knights	knights	n2	knights	knight	0
of	of	pp-f	of	of	0
S.	S.	n1	S.	saint	0
Marie	Marie	vvi	marry	marry	0
&c.	&c.	av	etc.	etc	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
friend	friend	n1	friend	friend	0
,	,	,	,	,	0
greeting	greeting	n1	greeting	greeting	0
and	and	cc	and	and	0
dayly	dayly	j	daily	daily	0
increase	increase	n1	increase	increase	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
accustomed	accustomed	j-vvn	accustomed	accustom	0
amity	amity	n1	amity	amity	0
and	and	cc	and	and	0
friendship	friendship	n1	friendship	friendship	0
.	.	.	.	.	1
We	We	pns12	We	we	0
doe	doe	vdb	do	do	0
by	by	p-acp	by	by	0
these	these	d	these	these	0
presents	presents	n2	presents	present	0
give	give	vvb	give	give	0
your	your	po22	your	your	0
honour	honour	n1	honour	honour	0
to	to	pc-acp	to	to	0
understand	understand	vvi	understand	understand	0
,	,	,	,	,	0
that	that	cst	that	that	0
our	our	po12	our	our	0
faithfull	faithfull	j	faithful	faithful	0
&	&	cc	&	and	0
wel-beloved	wel-beloved	j	well-beloved	well-beloved	0
William	William	np1	William	William	0
Esturmy	Esturmy	n1	Esturmy	esturmy	0
knight	knight	n1	knight	knight	0
,	,	,	,	,	0
and	and	cc	and	and	0
Master	Master	n1	Master	master	0
John	John	np1	John	John	0
Kington	Kington	np1	Kington	Kington	0
clerke	clerke	n1	clerk	clerk	0
,	,	,	,	,	0
our	our	po12	our	our	0
ambassadors	ambassadors	n2	ambassadors	ambassador	0
and	and	cc	and	and	0
messengers	messengers	n2	messengers	messenger	0
sent	sent	vvn	sent	send	0
of	of	pp-f	of	of	0
late	late	av-j	late	late	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
behalfe	behalfe	n1	behalf	behalf	0
,	,	,	,	,	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
presence	presence	n1	presence	presence	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
pre-decessour	pre-decessour	j	predecessor	predecessor	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
redressing	redressing	vvg	redressing	redress	0
of	of	pp-f	of	of	0
certaine	certaine	j	certain	certain	0
grievances	grievances	n2	grievances	grievance	0
and	and	cc	and	and	0
damages	damages	n2	damages	damage	0
being	being	vbg	being	be	0
contrary	contrary	j-jn	contrary	contrary	0
to	to	p-acp	to	to	0
justice	justice	n1	justice	justice	0
offered	offered	vvn	offered	offer	0
against	against	p-acp	against	against	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
our	our	po12	our	our	0
liege	liege	n1	liege	liege	0
subjects	subjects	n2-jn	subject's	subject	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
people	people	n1	people	people	0
&	&	cc	&	and	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
predecessors	predecessors	n2	predecessors	predecessor	0
,	,	,	,	,	0
&	&	cc	&	and	0
against	against	p-acp	against	against	0
them	them	pno32	them	they	0
also	also	av	also	also	0
by	by	p-acp	by	by	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
as	as	p-acp	as	as	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
aforesayd	aforesayd	vvn	aforesaid	aforesaid	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
friendly	friendly	j	friendly	friendly	0
maner	maner	n1	manner	manner	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
procured	procured	vvn	procured	procure	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
late	late	j	late	late	0
returning	returning	vvg	returning	return	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
parts	parts	n2	parts	part	0
of	of	pp-f	of	of	0
Alemain	Alemain	np1	Alemain	Alemain	0
made	made	vvd	made	make	0
relation	relation	n1	relation	relation	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
counsell	counsell	n1	counsel	counsel	0
,	,	,	,	,	0
that	that	cst	that	that	0
having	having	vhg	having	have	0
conferred	conferred	vvn	conferred	confer	0
with	with	p-acp	with	with	0
your	your	po22	your	your	0
forenamed	forenamed	j-vvn	forenamed	forename	0
predecessour	predecessour	n1	predecessor	predecessor	0
about	about	p-acp	about	about	0
the	the	dt	the	the	0
foresayd	foresayd	j-vvn	foresaid	foresay	0
affayres	affayres	n2	affairs	affair	0
,	,	,	,	,	0
the	the	dt	the	the	0
particulars	particulars	n2-jn	particulars	particular	0
following	following	vvg	following	follow	0
were	were	vbdr	were	be	0
at	at	p-acp	at	at	0
length	length	n1	length	length	0
concluded	concluded	vvn	concluded	conclude	0
:	:	:	:	:	0
namely	namely	av	namely	namely	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
,	,	,	,	,	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
a	a	dt	a	a	0
certaine	certaine	j	certain	certain	0
day	day	n1	day	day	0
and	and	cc	and	and	0
place	place	n1	place	place	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
meete	meete	vvi	meet	meet	0
in	in	p-acp	in	in	0
Holland	Holland	n1	Holland	holland	0
