Ginger	Ginger	np1	Ginger	Ginger	0
recovered	recovered	vvn	recovered	recover	0
,	,	,	,	,	0
make	make	vvb	make	make	0
over	over	a-acp	over	over	0
the	the	dt	the	the	0
same	same	d	same	same	0
either	either	d	either	either	0
to	to	p-acp	to	to	0
Richard	Richard	np1	Richard	Richard	0
Rowed	Rowed	vvd	Rowed	row	0
for	for	p-acp	for	for	0
Patrasso	Patrasso	np1	Patrasso	Patrasso	0
in	in	p-acp	in	in	0
Morea	Morea	np1	Morea	Morea	0
,	,	,	,	,	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
hither	hither	av	hither	hither	0
to	to	p-acp	to	to	0
John	John	np1	John	John	0
Bate	Bate	vvd	Bore	bear	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
surest	surest	js	surest	sure	0
maner	maner	n1	manner	manner	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
,	,	,	,	,	0
if	if	cs	if	if	0
the	the	dt	the	the	0
registring	registring	n-vvg	registering	register	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
your	your	po22	your	your	0
privilege	privilege	n1	privilege	privilege	0
and	and	cc	and	and	0
these	these	d	these	these	0
commandements	commandements	n2	commandments	commandment	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
suffer	suffer	vvi	suffer	suffer	0
you	you	pn22	you	you	0
in	in	p-acp	in	in	0
person	person	n1	person	person	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
my	my	po11	my	my	0
Mansion	Mansion	n1	Mansion	mansion	0
Rapamat	Rapamat	np1	Rapamat	Rapamat	0
in	in	p-acp	in	in	0
Pera	Pera	np1	Pera	Pera	0
this	this	d	this	this	0
24.	24.	crd	24.	24.	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
1584.	1584.	crd	1584.	1584.	1
The	The	dt	The	the	0
commaundement	commaundement	n1	commandment	commandment	0
obtained	obtained	vvn	obtained	obtain	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Grand	Grand	j	Grand	grand	0
Signior	Signior	n1	Signior	signior	0
by	by	p-acp	by	by	0
her	her	po31	her	her	0
Majesties	Majesties	ng1	Majesties	majesty	0
ambassador	ambassador	n1	ambassador	ambassador	0
M.	M.	n1	M.	m.	0
Will	Will	vmb	Will	will	0
.	.	.	.	.	1
Hareborne	Hareborne	vvn	Hareborne	hareborne	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
quiet	quiet	j-jn	quiet	quiet	0
passing	passing	vvg	passing	pass	0
of	of	pp-f	of	of	0
her	her	po31	her	her	0
subjects	subjects	n2-jn	subject's	subject	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
his	his	po31	his	his	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
sent	sent	vvn	sent	send	0
in	in	p-acp	in	in	0
An.	An.	np1	An.	An.	1
1584.	1584.	crd	1584.	1584.	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Viceroyes	Viceroyes	n2	Viceroys	viceroy	0
of	of	pp-f	of	of	0
Algier	Algier	np1	Algier	Algiers	0
,	,	,	,	,	0
Tunis	Tunis	np1	Tunis	Tunis	0
&	&	cc	&	and	0
Tripolis	Tripolis	np1	Tripolis	Tripoli	0
in	in	p-acp	in	in	0
Barbary	Barbary	np1	Barbary	Barbary	0
.	.	.	.	.	1
To	To	p-acp	To	to	0
our	our	po12	our	our	0
Beglerbeg	Beglerbeg	np1	Beglerbeg	Beglerbeg	0
of	of	pp-f	of	of	0
Algier	Algier	np1	Algier	Algiers	0
.	.	.	.	.	1
E	E	sy	E	e	0
certifie	certifie	vvi	certify	certify	0
thee	thee	pno21	thee	thou	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
our	our	po12	our	our	0
commandement	commandement	n1	commandment	commandment	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
right	right	j-jn	right	right	0
honorable	honorable	j	honourable	honourable	0
Will	Will	n1	Will	will	0
.	.	.	.	.	1
Hareborne	Hareborne	vvn	Hareborne	hareborne	0
ambassador	ambassador	n1	ambassador	ambassador	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Queenes	Queenes	ng1	Queens	queen	0
majestie	majestie	n1	majesty	majesty	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
hath	hath	vhz	hath	have	0
signified	signified	vvn	signified	signify	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
countrey	countrey	n1	country	country	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
comming	comming	n-vvg	coming	come	0
and	and	cc	and	and	0
returning	returning	vvg	returning	return	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
our	our	po12	our	our	0
Empire	Empire	n1	Empire	empire	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Seas	Seas	n2	Seas	sea	0
have	have	vhb	have	have	0
the	the	dt	the	the	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
,	,	,	,	,	0
Florentines	Florentines	njp2	Florentines	florentine	0
,	,	,	,	,	0
Sicilians	Sicilians	njp2	Sicilians	sicilian	0
and	and	cc	and	and	0
Malteses	Malteses	np1	Malteses	Malteses	0
,	,	,	,	,	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
part	part	n1	part	part	0
our	our	po12	our	our	0
countreis	countreis	n2	countries	country	0
committed	committed	vvn	committed	commit	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
charge	charge	n1	charge	charge	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
abovesaid	abovesaid	j	abovesaid	abovesaid	0
Christians	Christians	np1	Christians	Christians	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
quietly	quietly	av-jn	quietly	quiet	0
suffer	suffer	vvi	suffer	suffer	0
their	their	po32	their	their	0
egresse	egresse	n1	egress	egress	0
and	and	cc	and	and	0
regresse	regresse	n1	regress	regress	0
,	,	,	,	,	0
into	into	p-acp	into	into	0
,	,	,	,	,	0
and	and	cc	and	and	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
doe	doe	vdb	do	do	0
take	take	vvi	take	take	0
and	and	cc	and	and	0
make	make	vvi	make	make	0
the	the	dt	the	the	0
men	men	n2	men	man	0
captives	captives	n2-jn	captives	captive	0
,	,	,	,	,	0
and	and	cc	and	and	0
forfeit	forfeit	vvi	forfeit	forfeit	0
the	the	dt	the	the	0
[	[	[	[	[	0
II.	II.	crd	II	ii	0
i	i	sy	i	i	0
.	.	.	.	.	1
178.	178.	crd	178.	178.	0
]	]	]	]	]	0
shippes	shippes	n2	ships	ship	0
and	and	cc	and	and	0
goods	goods	n2-j	goods	good	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
last	last	ord	last	last	0
yeere	yeere	n1	year	year	0
the	the	dt	the	the	0
Malteses	Malteses	np1	Malteses	Malteses	0
did	did	vdd	did	do	0
one	one	pi	one	one	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
tooke	tooke	vvd	took	take	0
at	at	p-acp	at	at	0
Gerbi	Gerbi	np1	Gerbi	Gerbi	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
that	that	d	that	that	0
end	end	n1	end	end	0
do	do	vdb	do	do	0
continually	continually	av-j	continually	continual	0
lie	lie	vvi	lie	lie	0
in	in	p-acp	in	in	0
wait	wait	n1	wait	wait	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
destruction	destruction	n1	destruction	destruction	0
,	,	,	,	,	0
whereupon	whereupon	c-crq	whereupon	whereupon	0
they	they	pns32	they	they	0
are	are	vbr	are	be	0
constrained	constrained	vvn	constrained	constrain	0
to	to	pc-acp	to	to	0
stand	stand	vvi	stand	stand	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
defence	defence	n1	defence	defence	0
at	at	p-acp	at	at	0
any	any	d	any	any	0
such	such	d	such	such	0
time	time	n1	time	time	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
meet	meet	vvi	meet	meet	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
.	.	.	.	.	1
Wherefore	Wherefore	c-crq	Wherefore	wherefore	0
considering	considering	vvg	considering	consider	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
means	means	n2	means	mean	0
they	they	pns32	they	they	0
must	must	vmb	must	must	0
stand	stand	vvi	stand	stand	0
upon	upon	p-acp	upon	upon	0
their	their	po32	their	their	0
guard	guard	n1	guard	guard	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
see	see	vvi	see	see	0
any	any	d	any	any	0
gallie	gallie	n1	galley	galley	0
afarre	afarre	av	afar	afar	0
off	off	a-acp	off	off	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
if	if	cs	if	if	0
meeting	meeting	n1	meeting	meeting	0
with	with	p-acp	with	with	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
gallies	gallies	n2	galleys	galley	0
and	and	cc	and	and	0
not	not	xx	not	not	0
knowing	knowing	vvg	knowing	know	0
them	them	pno32	them	they	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
defence	defence	n1	defence	defence	0
they	they	pns32	they	they	0
do	do	vdb	do	do	0
shoot	shoot	vvi	shoot	shoot	0
at	at	p-acp	at	at	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
yet	yet	av	yet	yet	0
after	after	c-acp	after	after	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
doe	doe	vdb	do	do	0
certainly	certainly	av-j	certainly	certain	0
know	know	vvi	know	know	0
them	them	pno32	them	they	0
,	,	,	,	,	0
do	do	vdb	do	do	0
not	not	xx	not	not	0
shoote	shoote	vvi	shoot	shoot	0
any	any	d	any	any	0
more	more	dc	more	more	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
275	275	crd	275	275	1
