The	The	dt	The	the	0
light	light	n1	light	light	0
of	of	pp-f	of	of	0
great	great	j	great	great	0
understanding	understanding	n1	understanding	understanding	0
,	,	,	,	,	0
our	our	po12	our	our	0
answere	answere	n1	answer	answer	0
by	by	p-acp	by	by	0
this	this	d	this	this	0
our	our	po12	our	our	0
honourable	honourable	j	honourable	honourable	0
writing	writing	n1	writing	writing	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
kingly	kingly	j	kingly	kingly	0
governance	governance	n1	governance	governance	0
,	,	,	,	,	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
faithfull	faithfull	j	faithful	faithful	0
servant	servant	n1	servant	servant	0
Richard	Richard	np1	Richard	Richard	0
Chancelour	Chancelour	n1	Chancellor	chancellor	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
company	company	n1	company	company	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
let	let	vvi	let	let	0
you	you	pn22	you	you	0
wisely	wisely	av-j	wisely	wise	0
know	know	vvb	know	know	0
,	,	,	,	,	0
is	is	vbz	is	be	0
this	this	d	this	this	0
.	.	.	.	.	1
In	In	p-acp	In	in	0
the	the	dt	the	the	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
twentieth	twentieth	ord	twentieth	twenty	0
yeere	yeere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
governance	governance	n1	governance	governance	0
,	,	,	,	,	0
be	be	vbb	be	be	0
it	it	pn31	it	it	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
sea	sea	n1	sea	sea	0
coastes	coastes	n2	coasts	coast	0
arrived	arrived	vvd	arrived	arrive	0
a	a	dt	a	a	0
shippe	shippe	n1	ship	ship	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
one	one	crd	one	one	0
Richard	Richard	np1	Richard	Richard	0
,	,	,	,	,	0
and	and	cc	and	and	0
his	his	po31	his	his	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
and	and	cc	and	and	0
sayd	sayd	vvd	said	say	0
,	,	,	,	,	0
that	that	cst	that	that	0
hee	hee	pns31	he	he	0
was	was	vbds	was	be	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
and	and	cc	and	and	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
request	request	n1	request	request	0
,	,	,	,	,	0
hath	hath	vhz	hath	have	0
seene	seene	vvn	seen	see	0
our	our	po12	our	our	0
Majestie	Majestie	n1	Majesty	majesty	0
,	,	,	,	,	0
and	and	cc	and	and	0
II	II	crd	II	two	0
our	our	po12	our	our	0
eyes	eyes	n2	eyes	eye	0
:	:	:	:	:	0
and	and	cc	and	and	0
hath	hath	vhz	hath	have	0
declared	declared	vvn	declared	declare	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
your	your	po22	your	your	0
Majesties	Majesties	n2	Majesties	majesty	0
desire	desire	vvb	desire	desire	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
should	should	vmd	should	shall	0
grant	grant	vvi	grant	grant	0
unto	unto	p-acp	unto	unto	0
your	your	po22	your	your	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
goe	goe	vvi	go	go	0
and	and	cc	and	and	0
come	come	vvi	come	come	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
and	and	cc	and	and	0
among	among	p-acp	among	among	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
frequent	frequent	vvi	frequent	frequent	0
free	free	j	free	free	0
Marts	Marts	n2	Marts	mart	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
sortes	sortes	n2	sorts	sort	0
of	of	pp-f	of	of	0
marchandizes	marchandizes	n2	merchandizes	merchandize	0
,	,	,	,	,	0
and	and	cc	and	and	0
upon	upon	p-acp	upon	upon	0
|	|	|	|	|	0
|	|	|	|	|	0
That	That	cst	That	that	0
is	is	vbz	is	be	0
,	,	,	,	,	0
come	come	vvb	come	come	0
into	into	p-acp	into	into	0
our	our	po12	our	our	0
presence	presence	n1	presence	presence	0
.	.	.	.	.	1
2JI	2JI	np1	2JI	2JI	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
wares	wares	n2	wares	ware	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
returne	returne	n1	return	return	0
.	.	.	.	.	1
And	And	cc	And	and	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
also	also	av	also	also	0
delivered	delivered	vvn	delivered	deliver	0
us	us	pno12	us	we	0
your	your	po22	your	your	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
declare	declare	vvb	declare	declare	0
the	the	dt	the	the	0
same	same	d	same	same	0
request	request	n1	request	request	0
.	.	.	.	.	1
And	And	cc	And	and	0
hereupon	hereupon	av	hereupon	hereupon	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
given	given	vvn	given	give	0
order	order	n1	order	order	0
,	,	,	,	,	0
that	that	cst	that	that	0
wheresoever	wheresoever	c-crq	wheresoever	wheresoever	0
your	your	po22	your	your	0
faithful	faithful	j	faithful	faithful	0
servant	servant	n1	servant	servant	0
Hugh	Hugh	np1	Hugh	Hugh	0
Willoughbie	Willoughbie	np1	Willoughbie	Willoughbie	0
land	land	n1	land	land	0
or	or	cc	or	or	0
touch	touch	vvi	touch	touch	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
wel	wel	av	well	well	0
entertained	entertained	vvn	entertained	entertain	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
as	as	c-acp	as	as	0
yet	yet	av	yet	yet	0
is	is	vbz	is	be	0
not	not	xx	not	not	0
arrived	arrived	vvn	arrived	arrive	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
your	your	po22	your	your	0
servant	servant	n1	servant	servant	0
Richard	Richard	np1	Richard	Richard	0
can	can	vmb	can	can	0
declare	declare	vvi	declare	declare	0
.	.	.	.	.	1
And	And	cc	And	and	0
we	we	pns12	we	we	0
with	with	p-acp	with	with	0
Christian	Christian	njp	Christian	christian	0
beliefe	beliefe	n1	belief	belief	0
and	and	cc	and	and	0
faithfulnes	faithfulnes	n1	faithfulness	faithfulness	0
,	,	,	,	,	0
and	and	cc	and	and	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
honourable	honourable	j	honourable	honourable	0
request	request	n1	request	request	0
,	,	,	,	,	0
and	and	cc	and	and	0
my	my	po11	my	my	0
honourable	honourable	j	honourable	honourable	0
commandement	commandement	n1	commandment	commandment	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
leave	leave	vvi	leave	leave	0
it	it	pn31	it	it	0
undone	undone	vvn	undone	undo	0
:	:	:	:	:	0
and	and	cc	and	and	0
are	are	vbr	are	be	0
furthermore	furthermore	av	furthermore	furthermore	0
willing	willing	j	willing	willing	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
send	send	vvb	send	send	0
unto	unto	p-acp	unto	unto	0
us	us	pno12	us	we	0
your	your	po22	your	your	0
ships	ships	n2	ships	ship	0
and	and	cc	and	and	0
vessels	vessels	n2	vessels	vessel	0
,	,	,	,	,	0
when	when	c-crq	when	when	0
and	and	cc	and	and	0
as	as	c-acp	as	as	0
often	often	av	often	often	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
good	good	j	good	good	0
assurance	assurance	n1	assurance	assurance	0
on	on	p-acp	on	on	0
our	our	po12	our	our	0
part	part	n1	part	part	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
them	them	pno32	them	they	0
harmelesse	harmelesse	j	harmless	harmless	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
send	send	vvb	send	send	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
majesties	majesties	n2	majesties	majesty	0
counsel	counsel	n1	counsel	counsel	0
to	to	pc-acp	to	to	0
treate	treate	vvi	treat	treat	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
whereby	whereby	c-crq	whereby	whereby	0
your	your	po22	your	your	0
countrey	countrey	n1	country	country	0
marchants	marchants	n2	merchants	merchant	0
may	may	vmb	may	may	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
kinds	kinds	n2	kinds	kind	0
of	of	pp-f	of	of	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
and	and	cc	and	and	0
where	where	c-crq	where	where	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
market	market	n1	market	market	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
they	they	pns32	they	they	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
their	their	po32	their	their	0
free	free	j	free	free	0
Marte	Marte	np1	Marte	Marte	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
free	free	j	free	free	0
liberties	liberties	n2	liberties	liberty	0
through	through	p-acp	through	through	0
my	my	po11	my	my	0
whole	whole	j-jn	whole	whole	0
dominions	dominions	n2	dominions	dominion	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
kinde	kinde	n1	kind	kind	0
of	of	pp-f	of	of	0
wares	wares	n2	wares	ware	0
to	to	pc-acp	to	to	0
come	come	vvi	come	come	0
and	and	cc	and	and	0
goe	goe	vvi	go	go	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
pleasure	pleasure	n1	pleasure	pleasure	0
,	,	,	,	,	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
let	let	vvb	let	let	0
,	,	,	,	,	0
damage	damage	n1	damage	damage	0
or	or	cc	or	or	0
impediment	impediment	n1	impediment	impediment	0
,	,	,	,	,	0
according	according	vvg	according	accord	0
to	to	p-acp	to	to	0
this	this	d	this	this	0
our	our	po12	our	our	0
letter	letter	n1	letter	letter	0
,	,	,	,	,	0
our	our	po12	our	our	0
word	word	n1	word	word	0
and	and	cc	and	and	0
our	our	po12	our	our	0
seale	seale	n1	seal	seal	0
which	which	r-crq	which	which	0
we	we	pns12	we	we	0
have	have	vhb	have	have	0
commaunded	commaunded	vvn	commanded	command	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
under	under	p-acp	under	under	0
sealed	sealed	vvn	sealed	seal	0
.	.	.	.	.	1
Written	Written	j-vvn	Written	write	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
dominion	dominion	n1	dominion	dominion	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
citie	citie	n1	city	city	0
and	and	cc	and	and	0
our	our	po12	our	our	0
palace	palace	n1	palace	palace	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
castle	castle	n1	castle	castle	0
of	of	pp-f	of	of	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeare	yeare	n1	year	year	0
7060	7060	crd	7060	7060	0
,	,	,	,	,	0
the	the	dt	the	the	0
second	second	ord	second	second	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
February	February	np1	February	February	0
.	.	.	.	.	1
This	This	d	This	this	0
letter	letter	n1	letter	letter	0
was	was	vbds	was	be	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Moscovian	Moscovian	n1	Moscovian	moscovian	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
letters	letters	n2	letters	letter	0
much	much	av-d	much	much	0
like	like	av-j	like	like	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Greeke	Greeke	jp	Greek	greek	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
very	very	av	very	very	0
faire	faire	av-j	fair	fair	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
paper	paper	n1	paper	paper	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
broad	broad	j	broad	broad	0
seale	seale	n1	seal	seal	0
hanging	hanging	vvg	hanging	hang	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
same	same	d	same	same	0
,	,	,	,	,	0
sealed	sealed	vvn	sealed	seal	0
in	in	p-acp	in	in	0
paper	paper	n1	paper	paper	0
upon	upon	p-acp	upon	upon	0
waxe	waxe	n1	wax	wax	0
.	.	.	.	.	1
This	This	d	This	this	0
seale	seale	n1	seal	seal	0
was	was	vbds	was	be	0
much	much	av-d	much	much	0
like	like	av-j	like	like	0
ye	ye	dt	the	the	0
broad	broad	j	broad	broad	0
seale	seale	n1	seal	seal	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
having	having	vhg	having	have	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
one	one	crd	one	one	0
side	side	n1	side	side	0
the	the	dt	the	the	0
image	image	n1	image	image	0
of	of	pp-f	of	of	0
a	a	dt	a	a	0
man	man	n1	man	man	0
on	on	p-acp	on	on	0
horseback	horseback	n1	horseback	horseback	0
in	in	p-acp	in	in	0
complete	complete	j	complete	complete	0
harnesse	harnesse	n1	harness	harness	0
fighting	fighting	vvg	fighting	fight	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
dragon	dragon	n1	dragon	dragon	0
.	.	.	.	.	1
Under	Under	p-acp	Under	under	0
this	this	d	this	this	0
letter	letter	n1	letter	letter	0
was	was	vbds	was	be	0
another	another	j-jn	another	another	0
paper	paper	n1	paper	paper	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Dutch	Dutch	jp	Dutch	dutch	0
tongue	tongue	n1	tongue	tongue	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
the	the	dt	the	the	0
interpretation	interpretation	n1	interpretation	interpretation	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Moscovian	Moscovian	n1	Moscovian	moscovian	0
letters	letters	n2	letters	letter	0
.	.	.	.	.	1
These	These	np1	These	Theise	0
letters	letters	n2	letters	letter	0
were	were	vbdr	were	be	0
sent	sent	vvn	sent	send	0
the	the	dt	the	the	0
next	next	ord	next	next	0
yere	yere	n1	year	year	0
after	after	p-acp	after	after	0
the	the	dt	the	the	0
date	date	n1	date	date	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Edwards	Edwards	npg1	Edwards	Edward	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
1554.	1554.	crd	1554.	1554.	0
272	272	crd	272	272	1
