1557-for	1557-for	j	1557-for	1557-for	0
Kerils	Kerils	n2	Kerils	keril	0
have	have	vhb	have	have	0
for	for	p-acp	for	for	0
their	their	po32	their	their	0
provision	provision	n1	provision	provision	0
.	.	.	.	.	1
Instructions	Instructions	np1	Instructions	Instructions	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Masters	Masters	n2	Master's	master	0
and	and	cc	and	and	0
Mariners	Mariners	n2	Mariners	mariner	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
in	in	p-acp	in	in	0
and	and	cc	and	and	0
about	about	p-acp	about	about	0
this	this	d	this	this	0
Fleete	Fleete	n1	Fleet	fleet	0
,	,	,	,	,	0
passing	passing	vvg	passing	pass	0
this	this	d	this	this	0
yeere	yeere	n1	year	year	0
1557.	1557.	crd	1557.	1557.	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
Bay	Bay	n1	Bay	bay	0
of	of	pp-f	of	of	0
S.	S.	np1	S.	S.	0
Nicolas	Nicolas	np1	Nicolas	Nicolas	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
this	this	d	this	this	0
present	present	j	present	present	0
Race	Race	n1	Raze	race	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
&	&	cc	&	and	0
returne	returne	n1	return	return	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
grace	grace	n1	grace	grace	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
port	port	n1	port	port	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
,	,	,	,	,	0
the	the	dt	the	the	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
right	right	j-jn	right	right	0
discharge	discharge	n1	discharge	discharge	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Articles	Articles	n2	Articles	article	0
ensuing	ensuing	vvg	ensuing	ensue	0
is	is	vbz	is	be	0
deduced	deduced	vvn	deduced	deduce	0
.	.	.	.	.	1
Irst	Irst	n1	Irst	irst	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
accorded	accorded	vvn	accorded	accord	0
and	and	cc	and	and	0
agreed	agreed	vvn	agreed	agree	0
betweene	betweene	p-acp	between	between	0
the	the	dt	the	the	0
severall	severall	j	several	several	0
proprietaries	proprietaries	n2	proprietaries	proprietary	0
and	and	cc	and	and	0
owners	owners	n2	owners	owner	0
,	,	,	,	,	0
masters	masters	n2	master's	master	0
and	and	cc	and	and	0
companies	companies	n2	companies	company	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
foure	foure	crd	foure	four	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
surnamed	surnamed	vvn	surnamed	surname	0
the	the	dt	the	the	0
Primrose	Primrose	n1	Primrose	primrose	0
,	,	,	,	,	0
the	the	dt	the	the	0
John	John	np1	John	John	0
Evangelist	Evangelist	np1	Evangelist	Evangelist	0
,	,	,	,	,	0
the	the	dt	the	the	0
Anne	Anne	zz	Anne	anne	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Trinitie	Trinitie	np1	Trinitie	Trinity	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
Lieutenant	Lieutenant	n1	Lieutenant	lieutenant	0
,	,	,	,	,	0
Consuls	Consuls	n2	Consuls	consul	0
,	,	,	,	,	0
assistants	assistants	n2	assistants	assistant	0
and	and	cc	and	and	0
companie	companie	n1	company	company	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Marchant	Marchant	n1	Merchant	merchant	0
adven	adven	vvn	advent	advent	0
turers	turers	n2	turers	turer	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
above	above	a-acp	above	above	0
named	named	vvd	nam	name	0
foure	foure	crd	foure	four	0
ships	ships	n2	ships	ship	0
shall	shall	vmb	shall	shall	0
in	in	p-acp	in	in	0
good	good	j	good	good	0
order	order	n1	order	order	0
and	and	cc	and	and	0
conduct	conduct	vvi	conduct	conduct	0
,	,	,	,	,	0
saile	saile	n1	sail	sail	0
,	,	,	,	,	0
passe	passe	vvb	pass	pass	0
,	,	,	,	,	0
and	and	cc	and	and	0
travaile	travaile	vvi	travail	travail	0
together	together	av	together	together	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
flote	flote	n1	float	float	0
,	,	,	,	,	0
ging	ging	n1	ging	ging	0
,	,	,	,	,	0
and	and	cc	and	and	0
conserve	conserve	vvi	conserve	conserve	0
of	of	pp-f	of	of	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
kept	kept	vvn	kept	keep	0
indissolubly	indissolubly	av-jn	indissolubly	indissoluble	0
and	and	cc	and	and	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
severed	severed	vvn	severed	sever	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
united	united	vvn	united	unite	0
within	within	p-acp	within	within	0
continuall	continuall	j	continual	continual	0
sight	sight	n1	sighed	sight	0
,	,	,	,	,	0
so	so	av	so	so	0
farre	farre	av-j	far	far	0
foorth	foorth	av	forth	forth	0
as	as	c-acp	as	as	0
(	(	(	(	(	0
by	by	p-acp	by	by	0
winde	winde	n1	wind	wind	0
&	&	cc	&	and	0
weather	weather	n1	weather	weather	0
)	)	)	)	)	0
by	by	p-acp	by	by	0
possibilitie	possibilitie	n1	possibility	possibility	0
shall	shall	vmb	shall	shall	0
or	or	cc	or	or	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
separation	separation	n1	separation	separation	0
[	[	[	[	[	0
I	I	pns11	I	i	0
.	.	.	.	.	0
296.	296.	crd	296.	296.	0
]	]	]	]	]	0
or	or	cc	or	or	0
departure	departure	n1	departure	departure	0
of	of	pp-f	of	of	0
one	one	crd	one	one	0
from	from	p-acp	from	from	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
.	.	.	.	.	1
2	2	crd	2	2	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
agreed	agreed	vvn	agreed	agree	0
that	that	cst	that	that	0
the	the	dt	the	the	0
good	good	j	good	good	0
ship	ship	n1	ship	ship	0
named	named	vvd	nam	name	0
the	the	dt	the	the	0
Primerose	Primerose	n1	Primerose	primerose	0
,	,	,	,	,	0
shalbe	shalbe	vmb	shall	shall	0
Admirall	Admirall	n1	Admiral	admiral	0
of	of	pp-f	of	of	0
this	this	d	this	this	0
flote	flote	n1	float	float	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
Anthonie	Anthonie	np1	Anthonie	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
Gentleman	Gentleman	n1	Gentleman	gentleman	0
,	,	,	,	,	0
shalbe	shalbe	vmb	shall	shall	0
captaine	captaine	n1	captain	captain	0
thereof	thereof	av	thereof	thereof	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
the	the	dt	the	the	0
3.	3.	crd	3.	3.	0
ships	ships	n2	ships	ship	0
shall	shall	vmb	shall	shall	0
ensue	ensue	vvi	ensue	ensue	0
and	and	cc	and	and	0
folow	folow	vvi	follow	follow	0
her	her	pno31	her	she	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
courses	courses	n2	courses	course	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
no	no	dx	no	no	0
course	course	n1	course	course	0
nor	nor	ccx	nor	nor	0
waying	waying	vvg	weighing	weigh	0
(	(	(	(	(	0
in	in	p-acp	in	in	0
375	375	crd	375	375	0
harborough	harborough	n1	harbour	harbour	0
especially	especially	av-j	especially	especial	0
)	)	)	)	)	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
made	made	vvn	made	make	0
without	without	p-acp	without	without	0
advice	advice	n1	advice	advice	0
,	,	,	,	,	0
consent	consent	n1	consent	consent	0
and	and	cc	and	and	0
agreement	agreement	n1	agreement	agreement	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Captaine	Captaine	n1	Captain	captain	0
,	,	,	,	,	0
the	the	dt	the	the	0
Master	Master	n1	Master	master	0
,	,	,	,	,	0
his	his	po31	his	his	0
mate	mate	n1	mate	mate	0
,	,	,	,	,	0
and	and	cc	and	and	0
two	two	crd	two	two	0
other	other	j-jn	other	other	0
officers	officers	n2	officers	officer	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
three	three	crd	three	three	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
least	least	ds	least	least	0
.	.	.	.	.	1
3	3	crd	3	3	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Anthonie	Anthonie	np1	Anthonie	Anthony	0
is	is	vbz	is	be	0
and	and	cc	and	and	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
reputed	reputed	vvn	reputed	repute	0
&	&	cc	&	and	0
taken	taken	vvn	taken	take	0
for	for	p-acp	for	for	0
Captaine	Captaine	n1	Captain	captain	0
general	general	n1	general	general	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
flote	flote	n1	float	float	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
such	such	d	such	such	0
orders	orders	n2	order	order	0
,	,	,	,	,	0
preeminences	preeminences	n2	preeminences	preeminence	0
,	,	,	,	,	0
priviledges	priviledges	n2	privileges	privilege	0
and	and	cc	and	and	0
preferments	preferments	n2	preferments	preferment	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
order	order	n1	order	order	0
of	of	pp-f	of	of	0
seas	seas	n2	seas	sea	0
is	is	vbz	is	be	0
due	due	j-jn	due	due	0
and	and	cc	and	and	0
accustomed	accustomed	vvn	accustomed	accustom	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
Captaine	Captaine	n1	Captain	captain	0
during	during	p-acp	during	during	0
his	his	po31	his	his	0
abode	abode	n1	abided	abode	0
and	and	cc	and	and	0
exercise	exercise	n1	exercise	exercise	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
4	4	crd	4	4	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
also	also	av	also	also	0
ordeined	ordeined	vvn	ordained	ordain	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
any	any	d	any	any	0
one	one	crd	one	one	0
or	or	cc	or	or	0
moe	moe	dc	more	more	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
3.	3.	crd	3.	3.	0
ships	ships	n2	ships	ship	0
shalbe	shalbe	vmb	shall	shall	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
sight	sight	n1	sighed	sight	0
either	either	av-d	either	either	0
before	before	p-acp	before	before	0
or	or	cc	or	or	0
behinde	behinde	a-acp	behind	behind	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
,	,	,	,	,	0
that	that	cst	that	that	0
then	then	cs	then	than	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
shall	shall	vmb	shall	shall	0
tacke	tacke	n1	tack	tack	0
or	or	cc	or	or	0
take	take	vvi	take	take	0
off	off	a-acp	off	off	0
their	their	po32	their	their	0
sailes	sailes	n2	sails	sail	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
as	as	c-acp	as	as	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
meete	meete	vvi	meet	meet	0
and	and	cc	and	and	0
come	come	vvi	come	come	0
together	together	av	together	together	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
as	as	c-acp	as	as	0
good	good	j	good	good	0
order	order	n1	order	order	0
as	as	c-acp	as	as	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
intent	intent	n1	intent	intent	0
to	to	pc-acp	to	to	0
keepe	keepe	vvi	keep	keep	0
the	the	dt	the	the	0
consortment	consortment	n1	consortment	consortment	0
exactly	exactly	av-j	exactly	exact	0
in	in	p-acp	in	in	0
all	all	d	all	all	0
poynts	poynts	n2	points	point	0
.	.	.	.	.	1
5	5	crd	5	5	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
constituted	constituted	vvn	constituted	constitute	0
,	,	,	,	,	0
that	that	cst	that	that	0
if	if	cs	if	if	0
any	any	d	any	any	0
ships	ships	n2	ships	ship	0
shalbe	shalbe	vmb|vbi	shall	shall|be	0
severed	severed	vvn	severed	sever	0
by	by	p-acp	by	by	0
mist	mist	n1	missed	mist	0
or	or	cc	or	or	0
darke	darke	j	dark	dark	0
weather	weather	n1	weather	weather	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
sort	sort	n1	sort	sort	0
as	as	p-acp	as	as	0
the	the	dt	the	the	0
one	one	crd	one	one	0
cannot	cannot	vmbx	cannot	can	0
have	have	vhi	have	have	0
sight	sight	n1	sighed	sight	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
then	then	av	then	then	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
case	case	n1	case	case	0
the	the	dt	the	the	0
Admiral	Admiral	n1	Admiral	admiral	0
shall	shall	vmb	shall	shall	0
make	make	vvi	make	make	0
sound	sound	j	found	sound	0
and	and	cc	and	and	0
noise	noise	n1	noise	noise	0
by	by	p-acp	by	by	0
drumme	drumme	n1	drum	drum	0
,	,	,	,	,	0
trumpet	trumpet	n1	trumpet	trumpet	0
,	,	,	,	,	0
horne	horne	n1	horn	horn	0
,	,	,	,	,	0
gunne	gunne	n1	gun	gun	0
or	or	cc	or	or	0
otherwise	otherwise	av	otherwise	otherwise	0
or	or	cc	or	or	0
meanes	meanes	vvz	means	mean	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
ships	ships	n2	ships	ship	0
may	may	vmb	may	may	0
come	come	vvi	come	come	0
as	as	c-acp	as	as	0
nigh	nigh	av-j	nigh	nigh	0
together	together	av	together	together	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
safetie	safetie	n1	safety	safety	0
and	and	cc	and	and	0
good	good	j	good	good	0
order	order	n1	order	order	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
.	.	.	.	.	1
6	6	crd	6	6	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
also	also	av	also	also	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
observed	observed	vvn	observed	observe	0
,	,	,	,	,	0
that	that	cst	that	that	0
every	every	d	every	every	0
day	day	n1	day	day	0
once	once	a-acp	once	once	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
three	three	crd	three	three	0
shippes	shippes	n2	ships	ship	0
shall	shall	vmb	shall	shall	0
send	send	vvi	send	send	0
and	and	cc	and	and	0
come	come	vvi	come	come	0
aboord	aboord	a-acp	aboard	aboard	0
the	the	dt	the	the	0
Admirall	Admirall	n1	Admiral	admiral	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	pc-acp	there	there	0
consult	consult	vvi	consult	consult	0
and	and	cc	and	and	0
determine	determine	vvi	determine	determine	0
of	of	pp-f	of	of	0
such	such	d	such	such	0
matter	matter	n1	matter	matter	0
and	and	cc	and	and	0
things	things	n2	things	thing	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
be	be	vbi	be	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
assurance	assurance	n1	assurance	assurance	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Navigation	Navigation	n1	Navigation	navigation	0
,	,	,	,	,	0
and	and	cc	and	and	0
most	most	ds	most	most	0
expedition	expedition	n1	expedition	expedition	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
7	7	crd	7	7	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
notes	notes	n2	notes	note	0
&	&	cc	&	and	0
entries	entries	n2	entries	entry	0
be	be	vbb	be	be	0
daily	daily	av-j	daily	daily	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
Navigations	Navigations	n2	Navigations	navigation	0
put	put	vvn	put	put	0
in	in	p-acp	in	in	0
writing	writing	n1	writing	writing	0
&	&	cc	&	and	0
memory	memory	n1	memory	memory	0
,	,	,	,	,	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
yong	yong	j	young	young	0
Mariners	Mariners	n2	Mariners	mariner	0
and	and	cc	and	and	0
apprentices	apprentices	n2	apprentices	apprentice	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
taught	taught	vvn	taught	teach	0
&	&	cc	&	and	0
caused	caused	vvd	caused	cause	0
to	to	pc-acp	to	to	0
learne	learne	vvi	learn	learn	0
and	and	cc	and	and	0
observe	observe	vvi	observe	observe	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	1
8	8	crd	8	8	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
accorded	accorded	vvn	accorded	accord	0
that	that	cst	that	that	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Captaine	Captaine	n1	Captain	captain	0
shall	shall	vmb	shall	shall	0
have	have	vhi	have	have	0
the	the	dt	the	the	0
principali	principali	fw-la	principali	principali	0
rule	rule	n1	rule	rule	0
and	and	cc	and	and	0
governement	governement	n1	government	government	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
apprentices	apprentices	n2	apprentices	apprentice	0
:	:	:	:	:	0
And	And	cc	And	and	0
that	that	cst	that	that	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
they	they	pns32	they	they	0
,	,	,	,	,	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
all	all	d	all	all	0
other	other	n-jn	other	other	0
the	the	dt	the	the	0
sailers	sailers	n2	sailors	sailor	0
,	,	,	,	,	0
shalbe	shalbe	vmb	shall	shall	0
attendant	attendant	n1	attendant	attendant	0
and	and	cc	and	and	0
obedient	obedient	j	obedient	obedient	0
to	to	p-acp	to	to	0
him	him	pno31	him	he	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
of	of	pp-f	of	of	0
duetie	duetie	n1	duty	duty	0
and	and	cc	and	and	0
reason	reason	n1	reason	reason	0
appertaineth	appertaineth	vvz	appertaineth	appertain	0
.	.	.	.	.	1
376	376	crd	376	376	0
9	9	crd	9	9	0
Also	Also	av	Also	also	0
that	that	cst	that	that	0
no	no	dx	no	no	0
beere	beere	n1	beer	beer	0
nor	nor	ccx	nor	nor	0
broth	broth	n1	broth	broth	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
liquor	liquor	n1	liquour	liquor	0
be	be	vbi	be	be	0
spilt	spilt	vvn	spilled	spill	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
balast	balast	n1	ballast	ballast	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
place	place	n1	place	place	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
whereby	whereby	c-crq	whereby	whereby	0
any	any	d	any	any	0
anoyance	anoyance	n1	annoyance	annoyance	0
,	,	,	,	,	0
stinke	stinke	n1	stink	stink	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
unsavorinesse	unsavorinesse	n1	unsavoriness	unsavoriness	0
shall	shall	vmb	shall	shall	0
growe	growe	vvi	grow	grow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
shippe	shippe	n1	ship	ship	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
infection	infection	n1	infection	infection	0
or	or	cc	or	or	0
hurt	hurt	n1	hurt	hurt	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
persons	persons	n2	persons	person	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
same	same	d	same	same	0
.	.	.	.	.	0
io	io	uh	io	io	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
Captaine	Captaine	n1	Captain	captain	0
by	by	p-acp	by	by	0
discretion	discretion	n1	discretion	discretion	0
shall	shall	vmb	shall	shall	0
from	from	p-acp	from	from	0
time	time	n1	time	time	0
to	to	p-acp	to	to	0
time	time	n1	time	time	0
disship	disship	n1	disship	disship	0
any	any	d	any	any	0
artificer	artificer	n1	artificer	artificer	0
or	or	cc	or	or	0
English	English	jp	English	english	0
servingman	servingman	n1	servingman	servingman	0
or	or	cc	or	or	0
apprentice	apprentice	n1	apprentice	apprentice	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Primrose	Primrose	n1	Primrose	primrose	0
into	into	p-acp	into	into	0
any	any	d	any	any	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
other	other	j-jn	other	other	0
three	three	crd	three	three	0
ships	ships	n2	ships	ship	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
lieu	lieu	n1	lieu	lieu	0
of	of	pp-f	of	of	0
him	him	pno31	him	he	0
or	or	cc	or	or	0
them	them	pno32	them	they	0
,	,	,	,	,	0
take	take	vvb	take	take	0
any	any	d	any	any	0
such	such	d	such	such	0
apprentice	apprentice	n1	apprentice	apprentice	0
as	as	c-acp	as	as	0
he	he	pns31	he	he	0
shall	shall	vmb	shall	shall	0
thinke	thinke	vvi	think	think	0
convenient	convenient	j	convenient	convenient	0
and	and	cc	and	and	0
most	most	av-ds	most	most	0
meete	meete	j	meet	meet	0
to	to	pc-acp	to	to	0
serve	serve	vvi	serve	serve	0
the	the	dt	the	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
companie	companie	n1	company	company	0
.	.	.	.	.	0
ii	ii	crd	ii	two	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
great	great	j	great	great	0
respect	respect	n1	respect	respect	0
be	be	vbb	be	be	0
had	had	vhn	had	have	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Gunners	Gunners	n2	Gunners	gunner	0
and	and	cc	and	and	0
Cookes	Cookes	n2	Cooks	cook	0
roomes	roomes	n2	rooms	room	0
,	,	,	,	,	0
that	that	cst	that	that	0
all	all	d	all	all	0
danger	danger	n1	danger	danger	0
and	and	cc	and	and	0
perill	perill	n1	peril	peril	0
of	of	pp-f	of	of	0
powder	powder	n1	powder	powder	0
and	and	cc	and	and	0
fire	fire	n1	fire	fire	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
eschewed	eschewed	vvn	eschewed	eschew	0
and	and	cc	and	and	0
avoyded	avoyded	vvn	avoided	avoid	0
.	.	.	.	.	1
12	12	crd	12	12	0
Item	Item	n1	Item	item	0
,	,	,	,	,	0
that	that	cst	that	that	0
singular	singular	j	singular	singular	0
care	care	n1	care	care	0
and	and	cc	and	and	0
respect	respect	n1	respect	respect	0
be	be	vbb	be	be	0
had	had	vhn	had	have	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ports	ports	n2	ports	port	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
ship	ship	n1	ship	ship	0
,	,	,	,	,	0
aswell	aswell	av	aswell	aswell	0
in	in	p-acp	in	in	0
Navigation	Navigation	n1	Navigation	navigation	0
as	as	c-acp	as	as	0
in	in	p-acp	in	in	0
harborow	harborow	n1	harbour	harbour	0
,	,	,	,	,	0
and	and	cc	and	and	0
especially	especially	av-j	especially	especial	0
in	in	p-acp	in	in	0
lading	lading	n-vvg	lading	lade	0
and	and	cc	and	and	0
unlading	unlading	vvg	unlading	unlade	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
shippes	shippes	n2	ships	ship	0
,	,	,	,	,	0
that	that	cst	that	that	0
nothing	nothing	pix	nothing	nothing	0
be	be	vbi	be	be	0
lacking	lacking	vvg	lacking	lack	0
or	or	cc	or	or	0
surcharged	surcharged	vvn	surcharged	surcharge	0
:	:	:	:	:	0
and	and	cc	and	and	0
that	that	cst	that	that	0
the	the	dt	the	the	0
