1572-87	1572-87	j	1572-87	1572-87	0
Wherein	Wherein	c-crq	Wherein	wherein	0
among	among	p-acp	among	among	0
divers	divers	j	diverse	diverse	0
rare	rare	j	rare	rare	0
things	things	n2	things	thing	0
not	not	xx	not	not	0
hitherto	hitherto	av	hitherto	hitherto	0
delivered	delivered	vvn	delivered	deliver	0
by	by	p-acp	by	by	0
any	any	d	any	any	0
other	other	j-jn	other	other	0
writer	writer	n1	writer	writer	0
,	,	,	,	,	0
cer-taine	cer-taine	j	certain	certain	0
voyages	voyages	n2	voyages	voyage	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
are	are	vbr	are	be	0
truely	truely	av-j	truly	true	0
reported	reported	vvn	reported	report	0
:	:	:	:	:	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
intercepted	intercepted	vvn	intercepted	intercept	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
author	author	n1	author	author	0
thereof	thereof	av	thereof	thereof	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
river	river	n1	river	river	0
of	of	pp-f	of	of	0
Plate	Plate	n1	Plate	plate	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Captaine	Captaine	n1	Captain	captain	0
Withrington	Withrington	np1	Withrington	Withrington	0
and	and	cc	and	and	0
Captaine	Captaine	n1	Captain	captain	0
Christopher	Christopher	np1	Christopher	Christopher	0
Lister	Lister	np1	Lister	Lister	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
fleete	fleete	n1	fleet	fleet	0
set	set	vvd	set	set	0
foorth	foorth	av	forth	forth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
Honorable	Honorable	j	Honourable	honourable	0
the	the	dt	the	the	0
Erle	Erle	n1	Earl	earl	0
of	of	pp-f	of	of	0
Cumberland	Cumberland	np1	Cumberland	Cumberland	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
South	South	n1	South	south	0
sea	sea	n1	sea	sea	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1586.	1586.	crd	1586.	1586.	1
Rancis	Rancis	np1	Rancis	Rancis	0
Drake	Drake	np1	Drake	Drake	0
an	an	dt	and	a	0
Englishman	Englishman	np1	Englishman	Englishman	0
being	being	vbg	being	be	0
on	on	p-acp	on	on	0
the	the	dt	the	the	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
and	and	cc	and	and	0
having	having	vhg	having	have	0
knowledge	knowledge	n1	knowledge	knowledge	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
small	small	j	small	small	0
strength	strength	n1	strength	strength	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Nombre	Nombre	n1	Number	number	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-es	Dios	dios	0
,	,	,	,	,	0
came	came	vvd	came	come	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
harborough	harborough	n1	harbour	harbour	0
on	on	p-acp	on	on	0
a	a	dt	a	a	0
night	night	n1	night	night	0
with	with	p-acp	with	with	0
foure	foure	crd	foure	four	0
pinnesses	pinnesses	n2	pinnaces	pinnace	0
,	,	,	,	,	0
and	and	cc	and	and	0
landed	landed	vvd	landed	land	0
an	an	dt	and	a	0
hundreth	hundreth	ord	hundreth	hundred	0
and	and	cc	and	and	0
fifty	fifty	crd	fifty	fifty	0
men	men	n2	men	man	0
:	:	:	:	:	0
and	and	cc	and	and	0
leaving	leaving	vvg	leaving	leave	0
one	one	pi	one	one	0
halfe	halfe	n-jn	half	half	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
men	men	n2	men	man	0
with	with	p-acp	with	with	0
a	a	dt	a	a	0
trumpet	trumpet	n1	trumpet	trumpet	0
in	in	p-acp	in	in	0
a	a	dt	a	a	0
fort	fort	n1	fort	fort	0
which	which	r-crq	which	which	0
was	was	vbds	was	be	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
hee	hee	pns31	he	he	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
entred	entred	vvd	entered	enter	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
without	without	p-acp	without	without	0
doing	doing	vdg	doing	do	0
any	any	d	any	any	0
harme	harme	n1	harm	harm	0
till	till	c-acp	till	till	0
hee	hee	pns31	he	he	0
came	came	vvd	came	come	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
market	market	n1	market	market	0
place	place	n1	place	place	0
:	:	:	:	:	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
his	his	po31	his	his	0
company	company	n1	company	company	0
discharging	discharging	vvg	discharging	discharge	0
their	their	po32	their	their	0
calivers	calivers	n2	calivers	caliver	0
,	,	,	,	,	0
and	and	cc	and	and	0
sounding	sounding	vvg	sounding	sound	0
their	their	po32	their	their	0
trumpets	trumpets	n2	trumpets	trumpet	0
(	(	(	(	(	0
which	which	r-crq	which	which	0
made	made	vvd	made	make	0
a	a	dt	a	a	0
great	great	j	great	great	0
noyse	noyse	n1	noise	noise	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
)	)	)	)	)	0
were	were	vbdr	were	be	0
answered	answered	vvn	answered	answer	0
by	by	p-acp	by	by	0
their	their	po32	their	their	0
rellowes	rellowes	n2	rellowes	rellowe	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
forte	forte	n1	fort	fort	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
discharged	discharged	vvd	discharged	discharge	0
and	and	cc	and	and	0
sounded	sounded	vvn	sounded	sound	0
in	in	p-acp	in	in	0
227	227	crd	227	227	0
This	This	d	This	this	0
voyage	voyage	n1	voyage	voyage	0
vias	vias	av	vias	vias	0
made	made	vvn	made	make	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1572.	1572.	crd	1572.	1572.	0
like	like	j	like	like	0
maner	maner	n1	manner	manner	0
.	.	.	.	.	1
This	This	d	This	this	0
attempt	attempt	n1	attempt	attempt	0
put	put	vvd	put	put	0
the	the	dt	the	the	0
townesmen	townesmen	n2	townsmen	townsman	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
extreme	extreme	j-jn	extreme	extreme	0
feare	feare	n1	fear	fear	0
,	,	,	,	,	0
that	that	cst	that	that	0
leaving	leaving	vvg	leaving	leave	0
their	their	po32	their	their	0
houses	houses	n2	houses	house	0
,	,	,	,	,	0
they	they	pns32	they	they	0
fled	fled	vvd	fled	flee	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
mountaines	mountaines	n2	mountains	mountain	0
,	,	,	,	,	0
and	and	cc	and	and	0
there	there	a-acp	there	there	0
bethought	bethought	vvd	bethought	bethink	0
themselves	themselves	px32	themselves	themselves	0
what	what	q-crq	what	what	0
the	the	dt	the	the	0
matter	matter	n1	matter	matter	0
should	should	vmd	should	shall	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
,	,	,	,	,	0
remaining	remaining	vvg	remaining	remain	0
as	as	p-acp	as	as	0
men	men	n2	men	man	0
amazed	amazed	vvn	amazed	amaze	0
at	at	p-acp	at	at	0
so	so	av	so	so	0
sudden	sudden	j	sudden	sudden	0
an	an	dt	and	a	0
alarme	alarme	n1	alarm	alarm	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
the	the	dt	the	the	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
being	being	vbg	being	be	0
men	men	n2	men	man	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
good	good	j	good	good	0
discretion	discretion	n1	discretion	discretion	0
joyned	joyned	vvd	joined	join	0
foureteene	foureteene	crd	foureteene	fourteen	0
or	or	cc	or	or	0
fifteene	fifteene	crd	fifteene	fifteen	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
together	together	av	together	together	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
pieces	pieces	n2	pieces	piece	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
see	see	vvi	see	see	0
who	who	r-crq	who	who	0
was	was	vbds	was	be	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
:	:	:	:	:	0
and	and	cc	and	and	0
getting	getting	vvg	getting	get	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
corner	corner	n1	corner	corner	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
market-place	market-place	n1	marketplace	marketplace	0
they	they	pns32	they	they	0
discovered	discovered	vvd	discovered	discover	0
the	the	dt	the	the	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
,	,	,	,	,	0
and	and	cc	and	and	0
perceiving	perceiving	vvg	perceiving	perceive	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
but	but	p-acp	but	but	0
a	a	dt	a	a	0
few	few	d	few	few	0
,	,	,	,	,	0
discharged	discharged	vvd	discharged	discharge	0
their	their	po32	their	their	0
pieces	pieces	n2	pieces	piece	0
at	at	p-acp	at	at	0
them	them	pno32	them	they	0
;	;	;	;	;	0
and	and	cc	and	and	0
their	their	po32	their	their	0
fortune	fortune	n1	fortune	fortune	0
was	was	vbds	was	be	0
such	such	d	such	such	0
,	,	,	,	,	0
that	that	cst	that	that	0
they	they	pns32	they	they	0
slew	slew	vvd	slew	slay	0
[	[	[	[	[	0
III	III	crd	III	three	0
.	.	.	.	.	1
779.	779.	crd	779.	779.	0
]	]	]	]	]	0
the	the	dt	the	the	0
trumpetter	trumpetter	n1	trumpeter	trumpeter	0
,	,	,	,	,	0
and	and	cc	and	and	0
shot	shot	vvd	shot	shoot	0
the	the	dt	the	the	0
captaine	captaine	n1	captain	captain	0
(	(	(	(	(	0
whose	whose	rg-crq	whose	who	0
name	name	n1	name	name	0
was	was	vbds	was	be	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
)	)	)	)	)	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
legge	legge	n1	leg	leg	0
:	:	:	:	:	0
who	who	r-crq	who	who	0
feeling	feeling	vvg	feeling	feel	0
himselfe	himselfe	px31	himself	himself	0
hurt	hurt	vvd	hurt	hurt	0
retired	retired	vvn	retired	retire	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
Fort	Fort	n1	Fort	fort	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
had	had	vhd	had	have	0
left	left	vvn	left	leave	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
men	men	n2	men	man	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
they	they	pns32	they	they	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Fort	Fort	n1	Fort	fort	0
sounded	sounded	vvd	sounded	sound	0
their	their	po32	their	their	0
trumpet	trumpet	n1	trumpet	trumpet	0
,	,	,	,	,	0
and	and	cc	and	and	0
being	being	vbg	being	be	0
not	not	xx	not	not	0
answered	answered	vvn	answered	answer	0
againe	againe	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
hearing	hearing	vvg	hearing	hear	0
the	the	dt	the	the	0
calivers	calivers	n2	calivers	caliver	0
discharged	discharged	vvn	discharged	discharge	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
,	,	,	,	,	0
thought	thought	vvd	thought	think	0
that	that	d	that	that	0
their	their	po32	their	their	0
fellowes	fellowes	n2	fellows	fellow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
had	had	vhd	had	have	0
bene	bene	vbn	be	be	0
slaine	slaine	vvn	slain	slay	0
,	,	,	,	,	0
and	and	cc	and	and	0
thereupon	thereupon	av	thereupon	thereupon	0
fled	fled	vvd	fled	flee	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Pinnesses	Pinnesses	n2	Pinnaces	pinnace	0
.	.	.	.	.	1
Now	Now	av	Now	now	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
(	(	(	(	(	0
whom	whom	r-crq	whom	who	0
his	his	po31	his	his	0
men	men	n2	men	man	0
carried	carried	vvn	carried	carry	0
because	because	p-acp	because	because	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
hurt	hurt	n1	hurt	hurt	0
)	)	)	)	)	0
when	when	c-crq	when	when	0
he	he	pns31	he	he	0
came	came	vvd	came	come	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
fort	fort	n1	fort	fort	0
where	where	c-crq	where	where	0
he	he	pns31	he	he	0
left	left	vvd	left	leave	0
his	his	po31	his	his	0
men	men	n2	men	man	0
and	and	cc	and	and	0
saw	saw	vvd	saw	see	0
them	them	pno32	them	they	0
fled	fled	vvd	fled	flee	0
,	,	,	,	,	0
he	he	pns31	he	he	0
and	and	cc	and	and	0
the	the	dt	the	the	0
rest	rest	n1	rest	rest	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
company	company	n1	company	company	0
were	were	vbdr	were	be	0
in	in	p-acp	in	in	0
so	so	av	so	so	0
great	great	j	great	great	0
feare	feare	n1	fear	fear	0
,	,	,	,	,	0
that	that	cst	that	that	0
leaving	leaving	vvg	leaving	leave	0
their	their	po32	their	their	0
furniture	furniture	n1	furniture	furniture	0
behinde	behinde	p-acp	behind	behind	0
them	them	pno32	them	they	0
,	,	,	,	,	0
and	and	cc	and	and	0
putting	putting	vvg	putting	put	0
off	off	a-acp	off	off	0
their	their	po32	their	their	0
hose	hose	n1	hose	hose	0
,	,	,	,	,	0
they	they	pns32	they	they	0
swamme	swamme	vvd	swam	swim	0
&	&	cc	&	and	0
waded	waded	vvd	waded	wade	0
all	all	d	all	all	0
to	to	p-acp	to	to	0
their	their	po32	their	their	0
Pinnesses	Pinnesses	n2	Pinnaces	pinnace	0
,	,	,	,	,	0
and	and	cc	and	and	0
departed	departed	vvd	departed	depart	0
forth	forth	av	forth	forth	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
harbour	harbour	n1	harbour	harbour	0
,	,	,	,	,	0
so	so	av	so	so	0
that	that	cst	that	that	0
if	if	cs	if	if	0
the	the	dt	the	the	0
Spaniards	Spaniards	np2	Spaniards	Spaniard	0
had	had	vhd	had	have	0
followed	followed	vvn	followed	follow	0
them	them	pno32	them	they	0
,	,	,	,	,	0
they	they	pns32	they	they	0
might	might	vmd	might	may	0
have	have	vhi	have	have	0
slaine	slaine	vvn	slain	slay	0
them	them	pno32	them	they	0
all	all	d	all	all	0
.	.	.	.	.	1
Thus	Thus	av	Thus	thus	0
Captaine	Captaine	n1	Captain	captain	0
Drake	Drake	np1	Drake	Drake	0
did	did	vdd	did	do	0
no	no	dx	no	no	0
more	more	dc	more	more	0
harme	harme	n1	harm	harm	0
at	at	p-acp	at	at	0
Nombre	Nombre	n1	Number	number	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-es	Dios	dios	0
,	,	,	,	,	0
neither	neither	dx	neither	neither	0
was	was	vbds	was	be	0
there	there	a-acp	there	there	0
in	in	p-acp	in	in	0
this	this	d	this	this	0
skirmish	skirmish	n1	skirmish	skirmish	0
any	any	d	any	any	0
more	more	dc	more	more	0
then	then	cs	then	than	0
one	one	crd	one	one	0
Spaniarde	Spaniarde	np1	Spaniarde	Spaniarde	0
slaine	slaine	vvn	slain	slay	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Englishmen	Englishmen	np2	Englishmen	Englishman	0
onely	onely	av-j	only	only	0
their	their	po32	their	their	0
Trumpetter	Trumpetter	n1	Trumpeter	trumpeter	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
they	they	pns32	they	they	0
left	left	vvd	left	leave	0
behind	behind	a-acp	behind	behind	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
trumpet	trumpet	n1	trumpet	trumpet	0
in	in	p-acp	in	in	0
his	his	po31	his	his	0
hand	hand	n1	hand	hand	0
.	.	.	.	.	1
From	From	p-acp	From	from	0
hence	hence	av	hence	hence	0
the	the	dt	the	the	0
coast	coast	n1	coast	coast	0
lieth	lieth	vvz	lies	lie	0
all	all	d	all	all	0
along	along	a-acp	along	along	0
till	till	c-acp	till	till	0
you	you	pn22	you	you	0
come	come	vvb	come	come	0
to	to	p-acp	to	to	0
Cartagena	Cartagena	np1	Cartagena	Cartagena	0
.	.	.	.	.	1
Betweene	Betweene	p-acp	Between	between	0
Nombre	Nombre	n1	Number	number	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
and	and	cc	and	and	0
Cartagena	Cartagena	np1	Cartagena	Cartagena	0
is	is	vbz	is	be	0
a	a	dt	a	a	0
great	great	j	great	great	0
sound	sound	n1	found	sound	0
or	or	cc	or	or	0
gulfe	gulfe	n1	gulf	gulf	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
the	the	dt	the	the	0
first	first	ord	first	first	0
Spaniardes	Spaniardes	np2	Spaniardes	Spaniard	0
that	that	cst	that	that	0
ever	ever	av	ever	ever	0
dwelt	dwelt	vvd	dwelled	dwell	0
upon	upon	p-acp	upon	upon	0
the	the	dt	the	the	0
firme	firme	j	firm	firm	0
land	land	n1	land	land	0
built	built	vvn	built	build	0
and	and	cc	and	and	0
inhabited	inhabited	vvd	inhabited	inhabit	0
the	the	dt	the	the	0
towne	towne	n1	town	town	0
of	of	pp-f	of	of	0
Dariene	Dariene	np1	Dariene	Dariene	0
:	:	:	:	:	0
howbeit	howbeit	a-acp	howbeit	howbeit	0
they	they	pns32	they	they	0
abode	abode	vvd	abided	abide	0
not	not	xx	not	not	0
long	long	av-j	long	long	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
unholesomenesse	unholesomenesse	n1	unholesomenesse	unholesomenesse	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
place	place	n1	place	place	0
.	.	.	.	.	1
But	But	p-acp	But	but	0
Captaine	Captaine	n1	Captain	captain	0
Drake	Drake	np1	Drake	Drake	0
being	being	vbg	being	be	0
discontent	discontent	n-jn	discontent	discontent	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
repulse	repulse	n1	repulse	repulse	0
228	228	crd	228	228	0
that	that	d	that	that	0
the	the	dt	the	the	0
men	men	n2	men	man	0
of	of	pp-f	of	of	0
Nombre	Nombre	n1	Number	number	0
de	de	fw-fr	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
gave	gave	vvd	gave	give	0
him	him	pno31	him	he	0
,	,	,	,	,	0
went	went	vvd	went	go	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
Pinnesses	Pinnesses	n2	Pinnaces	pinnace	0
into	into	p-acp	into	into	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
bay	bay	n1	bay	bay	0
or	or	cc	or	or	0
sound	sound	n1	found	sound	0
of	of	pp-f	of	of	0
Dariene	Dariene	np1	Dariene	Dariene	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
having	having	vhg	having	have	0
conference	conference	n1	conference	conference	0
with	with	p-acp	with	with	0
certaine	certaine	j	certain	certain	0
Negros	Negros	n2	Negroes	negro	0
which	which	r-crq	which	which	0
were	were	vbdr	were	be	0
ranne	ranne	vvd	ran	run	0
away	away	av	away	away	0
from	from	p-acp	from	from	0
their	their	po32	their	their	0
masters	masters	n2	master's	master	0
of	of	pp-f	of	of	0
Panama	Panama	np1	Panama	Panama	0
and	and	cc	and	and	0
Nombre	Nombre	n1	Number	number	0
de	de	fw-mi	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
,	,	,	,	,	0
he	he	pns31	he	he	0
was	was	vbds	was	be	0
informed	informed	vvn	informed	inform	0
that	that	cst	that	that	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
very	very	j	very	very	0
same	same	d	same	same	0
time	time	n1	time	time	0
many	many	d	many	many	0
mules	mules	n2	mules	mule	0
were	were	vbdr	were	be	0
comming	comming	vvg	coming	come	0
from	from	p-acp	from	from	0
Panama	Panama	np1	Panama	Panama	0
to	to	pc-acp	to	to	0
Nombre	Nombre	vvi	Number	number	0
de	de	fw-mi	de	de	0
Dios	Dios	fw-mi	Dios	dios	0
laden	laden	vvn	laden	lade	0
with	with	p-acp	with	with	0
gold	gold	n1	gold	gold	0
and	and	cc	and	and	0
silver	silver	n1	silver	silver	0
.	.	.	.	.	1
Upon	Upon	p-acp	Upon	upon	0
this	this	d	this	this	0
newes	newes	n1	news	news	0
Francis	Francis	np1	Francis	Francis	0
Drake	Drake	np1	Drake	Drake	0
taking	taking	vvg	taking	take	0
with	with	p-acp	with	with	0
him	him	pno31	him	he	0
an	an	dt	and	a	0
hundred	hundred	crd	hundred	hundred	0
shot	shot	n1	shot	shot	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
Negros	Negros	n2	Negroes	negro	0
,	,	,	,	,	0
stayed	stayed	vvn	stayed	stay	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
way	way	n1	way	way	0
till	till	p-acp	till	till	0
the	the	dt	the	the	0
treasure	treasure	n1	treasure	treasure	0
came	came	vvd	came	come	0
by	by	p-acp	by	by	0
,	,	,	,	,	0
accompanied	accompanied	vvn	accompanied	accompany	0
and	and	cc	and	and	0
guarded	guarded	vvn	guarded	guard	0
onely	onely	av-j	only	only	0
by	by	p-acp	by	by	0
those	those	d	those	those	0
that	that	cst	that	that	0
drove	drove	vvd	drove	drive	0
the	the	dt	the	the	0
mules	mules	n2	mules	mule	0
,	,	,	,	,	0
who	who	r-crq	who	who	0
mistrusted	mistrusted	vvd	mistrusted	mistrust	0
nothing	nothing	pix	nothing	nothing	0
at	at	p-acp	at	at	0
all	all	av-d	all	all	0
.	.	.	.	.	1
When	When	c-crq	When	when	0
captaine	captaine	n1	captain	captain	0
Drake	Drake	np1	Drake	Drake	0
met	met	vvd	met	meet	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
,	,	,	,	,	0
he	he	pns31	he	he	0
tooke	tooke	vvd	took	take	0
away	away	av	away	away	0
their	their	po32	their	their	0
golde	golde	n1	gold	gold	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
silver	silver	n1	silver	silver	0
he	he	pns31	he	he	0
left	left	vvd	left	leave	0
behinde	behinde	a-acp	behind	behind	0
,	,	,	,	,	0
because	because	c-acp	because	because	0
he	he	pns31	he	he	0
could	could	vmd	could	can	0
not	not	xx	not	not	0
carrie	carrie	vvi	carry	carry	0
it	it	pn31	it	it	0
over	over	p-acp	over	over	0
the	the	dt	the	the	0
mountaines	mountaines	n2	mountains	mountain	0
