I	I	pns11	I	i	0
Matthew	Matthew	np1	Matthew	Matthew	0
Tailbois	Tailbois	np1	Tailbois	Tailbois	0
,	,	,	,	,	0
and	and	cc	and	and	0
-	-	-	-	-	0
Peter	Peter	np1	Peter	Peter	0
Gerard	Gerard	np1	Gerard	Gerard	0
appointed	appointed	vvn	appointed	appoint	0
Agents	Agents	n2	Agents	agent	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
Moscovie	Moscovie	np1	Moscovie	Moscovie	0
companie	companie	n1	company	company	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
their	their	po32	their	their	0
sixt	sixt	ord	sixt	sixth	0
voyage	voyage	n1	voyage	voyage	0
to	to	p-acp	to	to	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
begun	begun	vvn	begun	begin	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
1579.	1579.	crd	1579.	1579.	1
To	To	p-acp	To	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
invincible	invincible	j	invincible	invincible	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Shirvan	Shirvan	np1	Shirvan	Shirvan	0
,	,	,	,	,	0
Gilan	Gilan	np1	Gilan	Gilan	0
,	,	,	,	,	0
Grosin	Grosin	n1	Grosin	grosin	0
,	,	,	,	,	0
Corassan	Corassan	np1	Corassan	Corassan	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Governour	Governour	n1	Governor	governor	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
Indies	Indies	np2	Indies	Indies	0
.	.	.	.	.	1
Lizabeth	Lizabeth	np1	Lizabeth	Lizabeth	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defender	defender	n1	defender	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	1
To	To	p-acp	To	to	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
invincible	invincible	j	invincible	invincible	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Shirvan	Shirvan	np1	Shirvan	Shirvan	0
,	,	,	,	,	0
Gilan	Gilan	np1	Gilan	Gilan	0
,	,	,	,	,	0
Grosin	Grosin	n1	Grosin	grosin	0
,	,	,	,	,	0
Corassan	Corassan	np1	Corassan	Corassan	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
governour	governour	n1	governor	governor	0
even	even	av	even	even	0
unto	unto	p-acp	unto	unto	0
the	the	dt	the	the	0
Indies	Indies	np2	Indies	Indies	0
,	,	,	,	,	0
sendeth	sendeth	vvz	sends	send	0
greeting	greeting	n1	greeting	greeting	0
.	.	.	.	.	1
Most	Most	ds	Most	most	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
-	-	-	-	-	0
Il	Il	fw-fr	Il	il	0
1568	1568	crd	1568	1568	0
vincible	vincible	j	vincible	vincible	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
now	now	av	now	now	0
II	II	crd	II	two	0
tenne	tenne	crd	tenne	ten	0
yeeres	yeeres	n2	years	year	0
since	since	a-acp	since	since	0
,	,	,	,	,	0
or	or	cc	or	or	0
394	394	crd	394	394	0
-	-	-	-	-	0
thereabouts	thereabouts	av	thereabouts	thereabouts	0
,	,	,	,	,	0
wherein	wherein	c-crq	wherein	wherein	0
(	(	(	(	(	0
after	after	c-acp	after	after	0
the	the	dt	the	the	0
honourable	honourable	j	honourable	honourable	0
ambassade	ambassade	n1	ambassade	ambassade	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
noble	noble	j	noble	noble	0
man	man	n1	man	man	0
Anthony	Anthony	np1	Anthony	Anthony	0
Jenkinson	Jenkinson	np1	Jenkinson	Jenkinson	0
our	our	po12	our	our	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
and	and	cc	and	and	0
invincible	invincible	j	invincible	invincible	0
father	father	n1	father	father	0
performed	performed	vvn	performed	perform	0
)	)	)	)	)	0
we	we	pns12	we	we	0
laboured	laboured	vvd	laboured	labour	0
to	to	pc-acp	to	to	0
bring	bring	vvi	bring	bring	0
to	to	pc-acp	to	to	0
passe	passe	vvi	pass	pass	0
by	by	p-acp	by	by	0
Thomas	Thomas	np1	Thomas	Thomas	0
Bannister	Bannister	np1	Bannister	Bannister	0
and	and	cc	and	and	0
Gefferey	Gefferey	np1	Gefferey	Geoffrey	0
Ducket	Ducket	np1	Ducket	Ducket	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
that	that	cst	that	that	0
throughout	throughout	p-acp	throughout	throughout	0
all	all	d	all	all	0
the	the	dt	the	the	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
subject	subject	j-jn	subject	subject	0
to	to	p-acp	to	to	0
his	his	po31	his	his	0
empire	empire	n1	empire	empire	0
,	,	,	,	,	0
free	free	j	free	free	0
power	power	n1	power	power	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
given	given	vvn	given	give	0
to	to	p-acp	to	to	0
Will	Will	n1	Will	will	0
.	.	.	.	.	1
Garrard	Garrard	np1	Garrard	Garrard	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Ofley	Ofley	np1	Ofley	Ofley	0
,	,	,	,	,	0
William	William	np1	William	William	0
Chester	Chester	np1	Chester	Chester	0
knights	knights	n2	knights	knight	0
,	,	,	,	,	0
Rowland	Rowland	np1	Rowland	Rowland	0
Haiward	Haiward	j	Haiward	haiward	0
,	,	,	,	,	0
Lionel	Lionel	np1	Lionel	Lionel	0
Ducket	Ducket	np1	Ducket	Ducket	0
,	,	,	,	,	0
212	212	crd	212	212	0
William	William	np1	William	William	0
Allen	Allen	np1	Allen	Allen	0
,	,	,	,	,	0
Thomas	Thomas	np1	Thomas	Thomas	0
Bannister	Bannister	np1	Bannister	Bannister	0
,	,	,	,	,	0
Gefferey	Gefferey	np1	Gefferey	Geoffrey	0
Ducket	Ducket	np1	Ducket	Ducket	0
,	,	,	,	,	0
Lawrence	Lawrence	np1	Lawrence	Laurence	0
Chapman	Chapman	n1	Chapman	chapman	0
Merchants	Merchants	n2	Merchant's	merchant	0
,	,	,	,	,	0
and	and	cc	and	and	0
unto	unto	p-acp	unto	unto	0
their	their	po32	their	their	0
societie	societie	n1	society	society	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
enter	enter	vvi	enter	enter	0
into	into	p-acp	into	into	0
his	his	po31	his	his	0
lands	lands	n2	lands	land	0
and	and	cc	and	and	0
countreys	countreys	ng2	countries'	country	0
at	at	p-acp	at	at	0
al	al	d	all	all	0
times	times	n2	times	time	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
would	would	vmd	would	will	0
and	and	cc	and	and	0
could	could	vmd	could	can	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
exercise	exercise	vvi	exercise	exercise	0
&	&	cc	&	and	0
use	use	vvi	use	use	0
their	their	po32	their	their	0
trade	trade	n1	trade	trade	0
of	of	pp-f	of	of	0
merchandise	merchandise	n1	merchandise	merchandise	0
,	,	,	,	,	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
likewise	likewise	av	likewise	likewise	0
after	after	p-acp	after	after	0
exchange	exchange	n1	exchange	exchange	0
or	or	cc	or	or	0
sale	sale	n1	sale	sale	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
those	those	d	those	those	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
should	should	vmd	should	shall	0
bring	bring	vvi	bring	bring	0
with	with	p-acp	with	with	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
his	his	po31	his	his	0
like	like	j	like	like	0
good	good	j	good	good	0
leave	leave	n1	leave	leave	0
and	and	cc	and	and	0
favour	favour	n1	favour	favour	0
,	,	,	,	,	0
to	to	pc-acp	to	to	0
carie	carie	vvi	carry	carry	0
from	from	p-acp	from	from	0
thence	thence	av	thence	thence	0
those	those	d	those	those	0
things	things	n2	things	thing	0
wherwith	wherwith	c-crq	wherewith	wherewith	0
his	his	po31	his	his	0
dominions	dominions	n2	dominions	dominion	0
do	do	vdb	do	do	0
abound	abound	vvi	abound	abound	0
&	&	cc	&	and	0
with	with	p-acp	with	with	0
us	us	pno12	us	we	0
be	be	vbi	be	be	0
scant	scant	j	scant	scant	0
.	.	.	.	.	1
Which	Which	q-crq	Which	which	0
our	our	po12	our	our	0
petition	petition	n1	petition	petition	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
noble	noble	j	noble	noble	0
prince	prince	n1	prince	prince	0
your	your	po22	your	your	0
father	father	n1	father	father	0
took	took	vvd	took	take	0
so	so	av	so	so	0
thankfully	thankfully	av-j	thankfully	thankful	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
such	such	d	such	such	0
good	good	j	good	good	0
part	part	n1	part	part	0
,	,	,	,	,	0
that	that	cst	that	that	0
he	he	pns31	he	he	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
graunted	graunted	vvn	granted	grant	0
franke	franke	j	frank	frank	0
and	and	cc	and	and	0
commodious	commodious	j	commodious	commodious	0
leave	leave	n1	leave	leave	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
was	was	vbds	was	be	0
desired	desired	vvn	desired	desire	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
the	the	dt	the	the	0
same	same	d	same	same	0
he	he	pns31	he	he	0
would	would	vmd	would	will	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
most	most	av-ds	most	most	0
free	free	j	free	free	0
and	and	cc	and	and	0
beneficiall	beneficiall	j	beneficial	beneficial	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
continuance	continuance	n1	continuance	continuance	0
for	for	p-acp	for	for	0
many	many	d	many	many	0
yeeres	yeeres	n2	years	year	0
and	and	cc	and	and	0
times	times	n2	times	time	0
.	.	.	.	.	1
The	The	dt	The	the	0
benefite	benefite	n1	benefit	benefit	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
his	his	po31	his	his	0
wonderfull	wonderfull	j	wonderful	wonderful	0
liberality	liberality	n1	liberality	liberality	0
,	,	,	,	,	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
did	did	vdd	did	do	0
enjoy	enjoy	vvi	enjoy	enjoy	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
humanitie	humanitie	n1	humanity	humanity	0
&	&	cc	&	and	0
freedome	freedome	n1	freedom	freedom	0
as	as	c-acp	as	as	0
there	there	a-acp	there	there	0
could	could	vmd	could	can	0
be	be	vbi	be	be	0
no	no	dx	no	no	0
greater	greater	jc	greater	great	0
,	,	,	,	,	0
till	till	c-acp	till	till	0
the	the	dt	the	the	0
time	time	n1	time	time	0
that	that	cst	that	that	0
by	by	p-acp	by	by	0
reason	reason	n1	reason	reason	0
of	of	pp-f	of	of	0
wars	wars	n2	wars	war	0
more	more	dc	more	more	0
and	and	cc	and	and	0
more	more	av-dc	more	more	0
increasing	increasing	vvg	increasing	increase	0
in	in	p-acp	in	in	0
those	those	d	those	those	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
were	were	vbr	were	be	0
to	to	pc-acp	to	to	0
make	make	vvi	make	make	0
their	their	po32	their	their	0
journey	journey	n1	journey	journey	0
into	into	p-acp	into	into	0
Persia	Persia	np1	Persia	Persia	0
,	,	,	,	,	0
they	they	pns32	they	they	0
were	were	vbdr	were	be	0
debarred	debarred	vvn	debarred	debar	0
and	and	cc	and	and	0
shut	shut	vvn	shut	shut	0
from	from	p-acp	from	from	0
that	that	d	that	that	0
voyage	voyage	n1	voyage	voyage	0
&	&	cc	&	and	0
traffique	traffique	vvi	traffic	traffic	0
.	.	.	.	.	1
The	The	dt	The	the	0
which	which	r-crq	which	which	0
traffique	traffique	n1	traffic	traffic	0
the	the	dt	the	the	0
said	said	j-vvn	said	say	0
societie	societie	n1	society	society	0
being	being	vbg	being	be	0
eftsoones	eftsoones	av	eftsoons	eftsoon	0
desirous	desirous	j	desirous	desirous	0
to	to	pc-acp	to	to	0
renew	renew	vvi	renew	renew	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
weale	weale	n1	weal	weal	0
and	and	cc	and	and	0
commoditie	commoditie	n1	commodity	commodity	0
of	of	pp-f	of	of	0
both	both	d	both	both	0
our	our	po12	our	our	0
dominions	dominions	n2	dominions	dominion	0
they	they	pns32	they	they	0
have	have	vhb	have	have	0
now	now	av	now	now	0
sent	sent	vvn	sent	send	0
into	into	p-acp	into	into	0
Persia	Persia	np1	Persia	Persia	0
their	their	po32	their	their	0
factors	factors	n2	factors	factor	0
&	&	cc	&	and	0
Agents	Agents	n2	Agents	agent	0
Arthur	Arthur	np1	Arthur	Arthur	0
Edwards	Edwards	np1	Edwards	Edwards	0
,	,	,	,	,	0
William	William	np1	William	William	0
Turnbull	Turnbull	np1	Turnbull	Turnbull	0
,	,	,	,	,	0
Matthew	Matthew	np1	Matthew	Matthew	0
Tailbois	Tailbois	np1	Tailbois	Tailbois	0
,	,	,	,	,	0
Peter	Peter	np1	Peter	Peter	0
Gerrard	Gerrard	np1	Gerrard	Gerrard	0
merchants	merchants	n2	merchant's	merchant	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
associats	associats	n2	associates	associate	0
,	,	,	,	,	0
whom	whom	ro-crq	whom	who	0
we	we	pns12	we	we	0
beseech	beseech	vvb	beseech	beseech	0
your	your	po22	your	your	0
invincible	invincible	j	invincible	invincible	0
majesty	majesty	n1	majesty	majesty	0
to	to	pc-acp	to	to	0
entertaine	entertaine	vvi	entertain	entertain	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
favour	favour	n1	favour	favour	0
wherewith	wherewith	c-crq	wherewith	wherewith	0
your	your	po22	your	your	0
father	father	n1	father	father	0
did	did	vdd	did	do	0
imbrace	imbrace	vvi	embrace	embrace	0
Tho.	Tho.	np1	Tho.	Tho.	1
Bannister	Bannister	np1	Bannister	Bannister	0
8c	8c	fw-fr	8c	8c	0
Geffrey	Geffrey	np1	Geffrey	Geffrey	0
Ducket	Ducket	np1	Ducket	Ducket	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
enfranchise	enfranchise	vvi	enfranchise	enfranchise	0
their	their	po32	their	their	0
whole	whole	j-jn	whole	whole	0
societie	societie	n1	society	society	0
with	with	p-acp	with	with	0
that	that	d	that	that	0
freedome	freedome	n1	freedom	freedom	0
,	,	,	,	,	0
that	that	cst	that	that	0
neither	neither	dx	neither	neither	0
they	they	pns32	they	they	0
through	through	p-acp	through	through	0
any	any	d	any	any	0
their	their	po32	their	their	0
misdemeanours	misdemeanours	n2	misdemeanours	misdemeanour	0
towards	towards	p-acp	towards	towards	0
your	your	po22	your	your	0
subjects	subjects	n2-jn	subject's	subject	0
,	,	,	,	,	0
may	may	vmb	may	may	0
thereof	thereof	av	thereof	thereof	0
seeme	seeme	vvi	seem	seem	0
unworthy	unworthy	j	unworthy	unworthy	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
hope	hope	vvb	hope	hope	0
they	they	pns32	they	they	0
will	will	vmb	will	will	0
not	not	xx	not	not	0
)	)	)	)	)	0
neither	neither	d	neither	neither	0
we	we	pns12	we	we	0
our	our	po12	our	our	0
selves	selves	n2	selves	self	0
otherwise	otherwise	av	otherwise	otherwise	0
enjoy	enjoy	vvi	enjoy	enjoy	0
them	them	pno32	them	they	0
,	,	,	,	,	0
then	then	av	then	then	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
perpetuali	perpetuali	fw-la	perpetuali	perpetuali	0
remembrance	remembrance	n1	remembrance	remembrance	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
good	good	j	good	good	0
affection	affection	n1	affection	affection	0
towards	towards	p-acp	towards	towards	0
us	us	pno12	us	we	0
,	,	,	,	,	0
and	and	cc	and	and	0
with	with	p-acp	with	with	0
the	the	dt	the	the	0
like	like	j	like	like	0
favourable	favourable	j	favourable	favourable	0
inclination	inclination	n1	inclination	inclination	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
part	part	n1	part	part	0
towards	towards	p-acp	towards	towards	0
you	you	pn22	you	you	0
.	.	.	.	.	1
The	The	dt	The	the	0
matter	matter	n1	matter	matter	0
it	it	pn31	it	it	0
selfe	selfe	n1	self	self	0
8c	8c	j	8c	8c	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
time	time	n1	time	time	0
shall	shall	vmb	shall	shall	0
sufficiently	sufficiently	av-j	sufficiently	sufficient	0
prove	prove	vvi	prove	prove	0
the	the	dt	the	the	0
foresaid	foresaid	j-vvn	foresaid	foresay	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
traffike	traffike	n1	traffic	traffic	0
unprofitable	unprofitable	j	unprofitable	unprofitable	0
to	to	p-acp	to	to	0
neither	neither	d	neither	neither	0
of	of	pp-f	of	of	0
us	us	pno12	us	we	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
so	so	av	so	so	0
hath	hath	vhz	hath	have	0
one	one	crd	one	one	0
God	God	n1	God	god	0
the	the	dt	the	the	0
chiefe	chiefe	j-jn	chief	chief	0
213	213	crd	213	213	0
A.D.	A.D.	np1	A.D.	A.D.	0
1579	1579	crd	1579	1579	0
-	-	-	-	-	0
governor	governor	n1	governor	governor	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
things	things	n2	things	thing	0
disposed	disposed	vvn	disposed	dispose	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
affaires	affaires	n2	affairs	affair	0
on	on	p-acp	on	on	0
earth	earth	n1	earth	earth	0
,	,	,	,	,	0
that	that	cst	that	that	0
ech	ech	d	each	each	0
one	one	crd	one	one	0
should	should	vmd	should	shall	0
need	need	vvi	need	need	0
other	other	j-jn	other	other	0
.	.	.	.	.	1
And	And	cc	And	and	0
as	as	c-acp	as	as	0
for	for	p-acp	for	for	0
our	our	po12	our	our	0
people	people	n1	people	people	0
&	&	cc	&	and	0
subjects	subjects	n2-jn	subject's	subject	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
English	English	jp	English	english	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
verie	verie	j	very	very	0
deed	deed	n1	deed	deed	0
your	your	po22	your	your	0
majesty	majesty	n1	majesty	majesty	0
shal	shal	vmb	shall	shall	0
find	find	vvi	find	find	0
them	them	pno32	them	they	0
made	made	vvn	made	make	0
and	and	cc	and	and	0
fashioned	fashioned	vvn	fashioned	fashion	0
so	so	av	so	so	0
pliant	pliant	j	pliant	pliant	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
perfourmance	perfourmance	n1	performance	performance	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
dueties	dueties	n2	duties	duty	0
of	of	pp-f	of	of	0
humanity	humanity	n1	humanity	humanity	0
,	,	,	,	,	0
that	that	cst	that	that	0
it	it	pn31	it	it	0
can	can	vmb	can	can	0
never	never	av-x	never	never	0
repent	repent	vvi	repent	repent	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
graunted	graunted	vvn	granted	grant	0
them	them	pno32	them	they	0
this	this	d	this	this	0
franke	franke	j	frank	frank	0
traffike	traffike	n1	traffic	traffic	0
,	,	,	,	,	0
nor	nor	ccx	nor	nor	0
shame	shame	vvi	shame	shame	0
us	us	pno12	us	we	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
obteined	obteined	vvn	obtained	obtain	0
it	it	pn31	it	it	0
for	for	p-acp	for	for	0
them	them	pno32	them	they	0
at	at	p-acp	at	at	0
your	your	po22	your	your	0
hands	hands	n2	hands	hand	0
.	.	.	.	.	1
That	That	cst	That	that	0
therefore	therefore	av	therefore	therefore	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
please	please	vvi	please	please	0
your	your	po22	your	your	0
majesty	majesty	n1	majesty	majesty	0
to	to	pc-acp	to	to	0
yeeld	yeeld	vvi	yield	yield	0
unto	unto	p-acp	unto	unto	0
them	them	pno32	them	they	0
this	this	d	this	this	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
request	request	n1	request	request	0
,	,	,	,	,	0
most	most	av-ds	most	most	0
earnestly	earnestly	av-j	earnestly	earnest	0
we	we	pns12	we	we	0
beseech	beseech	vvb	beseech	beseech	0
you	you	pn22	you	you	0
.	.	.	.	.	1
And	And	cc	And	and	0
we	we	pns12	we	we	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
it	it	pn31	it	it	0
wel	wel	av	well	well	0
beseemeth	beseemeth	vvz	beseems	beseem	0
a	a	dt	a	a	0
prince	prince	n1	prince	prince	0
)	)	)	)	)	0
if	if	cs	if	if	0
ever	ever	av	ever	ever	0
hereafter	hereafter	av	hereafter	hereafter	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
,	,	,	,	,	0
wil	wil	vmb	will	will	0
shew	shew	vvi	show	show	0
our	our	po12	our	our	0
selfe	selfe	n1	self	self	0
not	not	xx	not	not	0
to	to	pc-acp	to	to	0
bee	bee	vbi	be	be	0
unmindfull	unmindfull	j	unmindful	unmindful	0
of	of	pp-f	of	of	0
so	so	av	so	so	0
great	great	j	great	great	0
a	a	dt	a	a	0
benefit	benefit	n1	benefit	benefit	0
.	.	.	.	.	1
We	We	pns12	We	we	0
wish	wish	vvb	wish	wish	0
your	your	po22	your	your	0
majesty	majesty	n1	majesty	majesty	0
wel	wel	av	well	well	0
&	&	cc	&	and	0
prosperously	prosperously	av-j	prosperously	prosperous	0
to	to	pc-acp	to	to	0
fare	fare	vvi	fare	fare	0
.	.	.	.	.	1
Given	Given	j-vvn	Given	give	0
at	at	p-acp	at	at	0
our	our	po12	our	our	0
palace	palace	n1	palace	palace	0
of	of	pp-f	of	of	0
Westminster	Westminster	np1	Westminster	Westminster	0
the	the	dt	the	the	0
io	io	zz	io	io	0
.	.	.	.	.	0
day	day	n1	day	day	0
of	of	pp-f	of	of	0
June	June	np1	June	June	0
,	,	,	,	,	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yere	yere	n1	year	year	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
Lord	Lord	n1	Lord	lord	0
1579.	1579.	crd	1579.	1579.	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
reigne	reigne	n1	reign	reign	0
the	the	dt	the	the	0
21.	21.	crd	21.	21.	1
[	[	[	[	[	0
I.	I.	np1	I.	I.	0
419.	419.	crd	419.	419.	0
]	]	]	]	]	1
Advertisements	Advertisements	n2	Advertisements	advertisement	0
and	and	cc	and	and	0
reports	reports	n2	reports	report	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
6.	6.	crd	6.	6.	0
voyage	voyage	n1	voyage	voyage	0
into	into	p-acp	into	into	0
