serve	serve	vvb	serve	serve	0
flaxe	flaxe	n1	flax	flax	0
to	to	pc-acp	to	to	0
Novogrode	Novogrode	vvi	Novogrode	novogrode	0
,	,	,	,	,	0
dwell	dwell	vvb	dwell	dwell	0
as	as	a-acp	as	as	0
neere	neere	av-j	near	near	0
Vologda	Vologda	np1	Vologda	Vologda	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
Novogrode	Novogrode	av	Novogrode	novogrode	0
,	,	,	,	,	0
and	and	cc	and	and	0
when	when	c-crq	when	when	0
they	they	pns32	they	they	0
heare	heare	vvb	hear	hear	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
utterance	utterance	n1	utterance	utterance	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
have	have	vhi	have	have	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
nation	nation	n1	nation	nation	0
,	,	,	,	,	0
they	they	pns32	they	they	0
wil	wil	vmb	will	will	0
as	as	c-acp	as	as	0
willingly	willingly	av-j	willingly	willing	0
come	come	vvn	come	come	0
to	to	p-acp	to	to	0
them	them	pno32	them	they	0
as	as	c-acp	as	as	0
goe	goe	vvi	go	go	0
to	to	p-acp	to	to	0
other	other	j-jn	other	other	0
.	.	.	.	.	1
Two	Two	crd	Two	two	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
They	They	pns32	They	they	0
have	have	vhb	have	have	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
two	two	crd	two	two	0
sorts	sorts	n2	sorts	sort	0
of	of	pp-f	of	of	0
flaxe	flaxe	n1	flax	flax	0
,	,	,	,	,	0
the	the	dt	the	the	0
one	one	pi	one	one	0
is	is	vbz	is	be	0
^axe	^axe	n1	axe	axe	0
-	-	-	-	-	0
called	called	vvn	called	call	0
great	great	j	great	great	0
flaxe	flaxe	n1	flax	flax	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
small	small	j	small	small	0
:	:	:	:	:	0
that	that	cst	that	that	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
call	call	vvb	call	call	0
great	great	j	great	great	0
flaxe	flaxe	n1	flax	flax	0
is	is	vbz	is	be	0
better	better	jc	better	better	0
by	by	p-acp	by	by	0
foure	foure	crd	foure	four	0
rubbles	rubbles	n2	rubbles	rubble	0
in	in	p-acp	in	in	0
100.	100.	crd	100.	100	0
bundels	bundels	n2	bundles	bundle	0
then	then	av	then	then	0
the	the	dt	the	the	0
small	small	j	small	small	0
:	:	:	:	:	0
It	It	pn31	It	it	0
is	is	vbz	is	be	0
much	much	av-d	much	much	0
longer	longer	jc	longer	long	0
then	then	cs	then	than	0
the	the	dt	the	the	0
other	other	n-jn	other	other	0
,	,	,	,	,	0
and	and	cc	and	and	0
cleaner	cleaner	jc	cleaner	clean	0
without	without	p-acp	without	without	0
wood	wood	n1	wood	wood	0
:	:	:	:	:	0
and	and	cc	and	and	0
whereas	whereas	cs	whereas	whereas	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
small	small	j	small	small	0
flaxe	flaxe	n1	flax	flax	0
there	there	pc-acp	there	there	0
goe	goe	vvi	go	go	0
27.	27.	crd	27.	27.	0
or	or	cc	or	or	0
28	28	crd	28	28	0
bundles	bundles	n2	bundles	bundle	0
to	to	p-acp	to	to	0
a	a	dt	a	a	0
shippound	shippound	n1	shippound	shippound	0
,	,	,	,	,	0
there	there	a-acp	there	there	0
goeth	goeth	vvz	goes	go	0
not	not	xx	not	not	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
greater	greater	jc	greater	great	0
sort	sort	n1	sort	sort	0
above	above	p-acp	above	above	0
22.	22.	crd	22.	22.	0
or	or	cc	or	or	0
24	24	crd	24	24	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
most	most	av-ds	most	most	0
.	.	.	.	.	1
There	There	pc-acp	There	there	0
are	are	vbr	are	be	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
trifles	trifles	n2	trifles	trifle	0
in	in	p-acp	in	in	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
sope	sope	n1	soap	soap	0
,	,	,	,	,	0
mats	mats	n2	mats	mat	0
,	,	,	,	,	0
&c.	&c.	av	etc.	etc	0
but	but	cc-acp	but	but	0
I	I	pns11	I	i	0
thinke	thinke	vvb	think	think	0
there	there	a-acp	there	there	0
will	will	vmb	will	will	0
bee	bee	vbi	be	be	0
no	no	dx	no	no	0
great	great	j	great	great	0
account	account	n1	account	account	0
made	made	vvn	made	make	0
of	of	pp-f	of	of	0
them	them	pno32	them	they	0
.	.	.	.	.	1
The	The	dt	The	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
king	king	n1	king	king	0
Philip	Philip	np1	Philip	Philip	0
and	and	cc	and	and	0
Queene	Queene	n1	Queen	queen	0
Marie	Marie	vvi	marry	marry	0
to	to	p-acp	to	to	0
Ivan	Ivan	np1	Ivan	Ivan	0
Vasilivich	Vasilivich	np1	Vasilivich	Vasilivich	0
the	the	dt	the	the	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
written	written	vvn	written	write	0
the	the	dt	the	the	0
first	first	ord	first	first	0
of	of	pp-f	of	of	0
April	April	np1	April	April	0
1555	1555	crd	1555	1555	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
second	second	ord	second	second	0
voyage	voyage	n1	voyage	voyage	0
.	.	.	.	.	1
Hilip	Hilip	np1	Hilip	Hilip	0
and	and	cc	and	and	0
Marie	Marie	vvi	marry	marry	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
King	King	n1	King	king	0
and	and	cc	and	and	0
Queene	Queene	n1	Queen	queen	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
,	,	,	,	,	0
France	France	np1	France	France	0
,	,	,	,	,	0
Naples	Naples	np1	Naples	Naples	0
,	,	,	,	,	0
Jerusalem	Jerusalem	np1	Jerusalem	Jerusalem	0
,	,	,	,	,	0
and	and	cc	and	and	0
Ireland	Ireland	np1	Ireland	Ireland	0
,	,	,	,	,	0
defenders	defenders	n2	defenders	defender	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
faith	faith	n1	faith	faith	0
,	,	,	,	,	0
Princes	Princes	n2	Princes	prince	0
of	of	pp-f	of	of	0
Spaine	Spaine	np1	Spaine	Spain	0
and	and	cc	and	and	0
Sicilie	Sicilie	np1	Sicilie	Sicily	0
,	,	,	,	,	0
Archdukes	Archdukes	n2	Archdukes	archduke	0
of	of	pp-f	of	of	0
Austrich	Austrich	n1	Ostrich	ostrich	0
,	,	,	,	,	0
Dukes	Dukes	n2	Dukes	duke	0
of	of	pp-f	of	of	0
Burgundie	Burgundie	np1	Burgundie	Burgundy	0
,	,	,	,	,	0
Millaine	Millaine	np1	Millaine	Milan	0
,	,	,	,	,	0
and	and	cc	and	and	0
Brabant	Brabant	np1	Brabant	Brabant	0
,	,	,	,	,	0
Counties	Counties	n2	Counties	county	0
of	of	pp-f	of	of	0
Haspurge	Haspurge	n1	Haspurge	haspurge	0
,	,	,	,	,	0
Flanders	Flanders	np1	Flanders	Flanders	0
,	,	,	,	,	0
and	and	cc	and	and	0
Tiroll	Tiroll	n1	Tiroll	tiroll	0
:	:	:	:	:	0
To	To	p-acp	To	to	0
the	the	dt	the	the	0
right	right	n-jn	right	right	0
High	High	j	High	high	0
,	,	,	,	,	0
right	right	av-jn	right	right	0
Mightie	Mightie	j	Mighty	mighty	0
,	,	,	,	,	0
and	and	cc	and	and	0
right	right	j-jn	right	right	0
excellent	excellent	j	excellent	excellent	0
Prince	Prince	n1	Prince	prince	0
,	,	,	,	,	0
garnished	garnished	vvn	garnished	garnish	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
gifts	gifts	n2	gifts	gift	0
of	of	pp-f	of	of	0
nature	nature	n1	nature	nature	0
,	,	,	,	,	0
by	by	p-acp	by	by	0
Gods	Gods	ng1	Gods	god	0
grace	grace	n1	grace	grace	0
John	John	np1	John	John	0
Vasilivich	Vasilivich	np1	Vasilivich	Vasilivich	0
278	278	crd	278	278	0
Emperour	Emperour	n1	Emperor	emperor	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Russia	Russia	np1	Russia	Russia	0
,	,	,	,	,	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Volodemer	Volodemer	n1	Volodemer	volodemer	0
,	,	,	,	,	0
Mosco	Mosco	np1	Mosco	Moscow	0
,	,	,	,	,	0
and	and	cc	and	and	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Cazan	Cazan	np1	Cazan	Cazan	0
,	,	,	,	,	0
King	King	n1	King	king	0
of	of	pp-f	of	of	0
Astracan	Astracan	jp	Astracan	astracan	0
,	,	,	,	,	0
Lord	Lord	n1	Lord	lord	0
of	of	pp-f	of	of	0
Plesco	Plesco	np1	Plesco	Plesco	0
,	,	,	,	,	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Smolensko	Smolensko	np1	Smolensko	Smolensko	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Tueria	Tueria	np1	Tueria	Tueria	0
,	,	,	,	,	0
Joughoria	Joughoria	np1	Joughoria	Joughoria	0
,	,	,	,	,	0
Permia	Permia	np1	Permia	Permia	0
,	,	,	,	,	0
Vadska	Vadska	np1	Vadska	Vadska	0
,	,	,	,	,	0
Bulghoria	Bulghoria	np1	Bulghoria	Bulghoria	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
,	,	,	,	,	0
Lorde	Lorde	n1	Lord	lord	0
and	and	cc	and	and	0
great	great	j	great	great	0
Duke	Duke	n1	Duke	duke	0
of	of	pp-f	of	of	0
Novogrod	Novogrod	np1	Novogrod	Novogrod	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
lowe	lowe	j	low	low	0
Countrey	Countrey	n1	Country	country	0
,	,	,	,	,	0
of	of	pp-f	of	of	0
Chernigo	Chernigo	np1	Chernigo	Chernigo	0
,	,	,	,	,	0
Rezan	Rezan	n1	Rezan	rezan	0
,	,	,	,	,	0
Polotskay	Polotskay	np1	Polotskay	Polotskay	0
,	,	,	,	,	0
Rostove	Rostove	np1	Rostove	Rostove	0
,	,	,	,	,	0
Yeraslave	Yeraslave	n1	Yeraslave	yeraslave	0
,	,	,	,	,	0
Bealo-zera	Bealo-zera	j	Bealozera	bealozera	0
,	,	,	,	,	0
Liefland	Liefland	np1	Liefland	Liefland	0
,	,	,	,	,	0
Oudoria	Oudoria	np1	Oudoria	Oudoria	0
,	,	,	,	,	0
Obdoria	Obdoria	np1	Obdoria	Obdoria	0
,	,	,	,	,	0
and	and	cc	and	and	0
Condensa	Condensa	fw-la	Condensa	condensa	0
,	,	,	,	,	0
Commander	Commander	n1	Commander	commander	0
of	of	pp-f	of	of	0
all	all	d	all	all	0
Siberia	Siberia	np1	Siberia	Siberia	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
North	North	n1	North	north	0
partes	partes	n2	parts	part	0
,	,	,	,	,	0
and	and	cc	and	and	0
lord	lord	n1	lord	lord	0
of	of	pp-f	of	of	0
many	many	d	many	many	0
other	other	j-jn	other	other	0
countreys	countreys	ng2	countries'	country	0
,	,	,	,	,	0
greeting	greeting	vvg	greeting	greet	0
.	.	.	.	.	1
Whereas	Whereas	cs	Whereas	whereas	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
consent	consent	n1	consent	consent	0
and	and	cc	and	and	0
licence	licence	n1	licence	licence	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
most	most	av-ds	most	most	0
deare	deare	j-jn	deer	dear	0
and	and	cc	and	and	0
entirely	entirely	av-j	entirely	entire	0
beloved	beloved	vvn	beloved	belove	0
late	late	j	late	late	0
brother	brother	n1	brother	brother	0
,	,	,	,	,	0
King	King	n1	King	king	0
Edward	Edward	np1	Edward	Edward	0
the	the	dt	the	the	0
sixt	sixt	ord	sixt	sixth	0
,	,	,	,	,	0
whose	whose	rg-crq	whose	who	0
soule	soule	n1	soul	soul	0
God	God	np1	God	God	0
pardon	pardon	n1	pardon	pardon	0
,	,	,	,	,	0
sundrie	sundrie	j	sundry	sundry	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
subjects	subjects	n2-jn	subject's	subject	0
marchants	marchants	n2	merchants	merchant	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
citie	citie	n1	city	city	0
of	of	pp-f	of	of	0
London	London	np1	London	London	0
within	within	p-acp	within	within	0
this	this	d	this	this	0
our	our	po12	our	our	0
realme	realme	n1	realm	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
did	did	vdd	did	do	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
owne	owne	d	own	own	0
proper	proper	j	proper	proper	0
costs	costs	n2	costs	cost	0
and	and	cc	and	and	0
adventure	adventure	n1	adventure	adventure	0
furnish	furnish	vvi	furnish	furnish	0
three	three	crd	three	three	0
shippes	shippes	n2	ships	ship	0
to	to	pc-acp	to	to	0
discover	discover	vvi	discover	discover	0
,	,	,	,	,	0
serch	serch	n1	search	search	0
,	,	,	,	,	0
and	and	cc	and	and	0
find	find	vvi	find	find	0
lands	lands	n2	lands	land	0
,	,	,	,	,	0
Islands	Islands	n2	Islands	island	0
,	,	,	,	,	0
regions	regions	n2	regions	region	0
,	,	,	,	,	0
and	and	cc	and	and	0
territories	territories	n2	territories	territory	0
before	before	p-acp	before	before	0
this	this	d	this	this	0
adventure	adventure	n1	adventure	adventure	0
not	not	xx	not	not	0
knowen	knowen	vvn	known	know	0
,	,	,	,	,	0
ne	ne	ccx	ne	ne	0
commonly	commonly	av-j	commonly	common	0
haunted	haunted	vvn	haunted	haunt	0
and	and	cc	and	and	0
frequented	frequented	vvn	frequented	frequent	0
by	by	p-acp	by	by	0
seas	seas	n2	seas	sea	0
.	.	.	.	.	1
The	The	dt	The	the	0
one	one	crd	one	one	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
three	three	crd	three	three	0
shippes	shippes	n2	ships	ship	0
,	,	,	,	,	0
named	named	vvd	nam	name	0
the	the	dt	the	the	0
Edward	Edward	np1	Edward	Edward	0
Bonaventure	Bonaventure	np1	Bonaventure	Bonaventure	0
,	,	,	,	,	0
(	(	(	(	(	0
whereof	whereof	c-crq	whereof	whereof	0
our	our	po12	our	our	0
right	right	j-jn	right	right	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
Richard	Richard	np1	Richard	Richard	0
Chancelour	Chancelour	n1	Chancellor	chancellor	0
was	was	vbds	was	be	0
then	then	av	then	then	0
governour	governour	n1	governor	governor	0
and	and	cc	and	and	0
great	great	j	great	great	0
Captaine	Captaine	n1	Captain	captain	0
)	)	)	)	)	0
chanced	chanced	vvd	chanced	chance	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
grace	grace	n1	grace	grace	0
of	of	pp-f	of	of	0
God	God	np1	God	God	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
good	good	j	good	good	0
conduct	conduct	n1	conduct	conduct	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Chancelour	Chancelour	n1	Chancellor	chancellor	0
to	to	pc-acp	to	to	0
arrive	arrive	vvi	arrive	arrive	0
and	and	cc	and	and	0
winter	winter	vvi	winter	winter	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
North	North	n1	North	north	0
part	part	n1	part	part	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Empire	Empire	n1	Empire	empire	0
of	of	pp-f	of	of	0
Russia	Russia	np1	Russia	Russia	0
.	.	.	.	.	1
Forasmuch	Forasmuch	av	Forasmuch	forasmuch	0
as	as	c-acp	as	as	0
we	we	pns12	we	we	0
be	be	vbb	be	be	0
credibly	credibly	av-j	credibly	credible	0
informed	informed	vvn	informed	inform	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
report	report	n1	report	report	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
trustie	trustie	j	trusty	trusty	0
and	and	cc	and	and	0
welbeloved	welbeloved	j	well-beloved	well-beloved	0
subject	subject	n-jn	subject	subject	0
,	,	,	,	,	0
that	that	cst	that	that	0
your	your	po22	your	your	0
Majestie	Majestie	n1	Majesty	majesty	0
did	did	vdd	did	do	0
not	not	xx	not	not	0
onely	onely	av-j	only	only	0
call	call	vvi	call	call	0
him	him	pno31	him	he	0
and	and	cc	and	and	0
certaine	certaine	j	certain	certain	0
of	of	pp-f	of	of	0
his	his	po31	his	his	0
company	company	n1	company	company	0
to	to	p-acp	to	to	0
your	your	po22	your	your	0
emperiall	emperiall	j-jn	imperial	imperial	0
presence	presence	n1	presence	presence	0
and	and	cc	and	and	0
speech	speech	n1	speech	speech	0
,	,	,	,	,	0
enter-tayned	enter-tayned	j	entertained	entertained	0
and	and	cc	and	and	0
banqueted	banqueted	vvn	banqueted	banquet	0
them	them	pno32	them	they	0
with	with	p-acp	with	with	0
all	all	d	all	all	0
humanitie	humanitie	n1	humanity	humanity	0
and	and	cc	and	and	0
gentlenes	gentlenes	n1	gentleness	gentleness	0
:	:	:	:	:	0
but	but	cc-acp	but	but	0
also	also	av	also	also	0
being	being	vbg	being	be	0
thereunto	thereunto	av	thereunto	thereunto	0
requested	requested	vvn	requested	request	0
partly	partly	av	partly	partly	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
letters	letters	n2	letters	letter	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
said	said	j-vvn	said	say	0
brother	brother	n1	brother	brother	0
,	,	,	,	,	0
&	&	cc	&	and	0
partly	partly	av	partly	partly	0
by	by	p-acp	by	by	0
request	request	n1	request	request	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Richard	Richard	np1	Richard	Richard	0
Chancelour	Chancelour	n1	Chancellor	chancellor	0
,	,	,	,	,	0
have	have	vhb	have	have	0
by	by	p-acp	by	by	0
your	your	po22	your	your	0
letters	letters	n2	letters	letter	0
patents	patents	n2	patents	patent	0
under	under	p-acp	under	under	0
your	your	po22	your	your	0
seale	seale	n1	seal	seal	0
among	among	p-acp	among	among	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
granted	granted	vvn	granted	grant	0
:	:	:	:	:	0
That	That	cst	That	that	0
all	all	d	all	all	0
such	such	d	such	such	0
marchants	marchants	n2	merchants	merchant	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
forth	forth	av	forth	forth	0
of	of	pp-f	of	of	0
anie	anie	d	any	any	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
realms	realms	n2	realms	realm	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
or	or	cc	or	or	0
Ireland	Ireland	np1	Ireland	Ireland	0
with	with	p-acp	with	with	0
al	al	d	all	all	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
wares	wares	n2	wares	ware	0
,	,	,	,	,	0
if	if	cs	if	if	0
they	they	pns32	they	they	0
wil	wil	vmb	will	will	0
travel	travel	vvi	travel	travel	0
or	or	cc	or	or	0
occupie	occupie	vvi	occupy	occupy	0
within	within	p-acp	within	within	0
your	your	po22	your	your	0
dominions	dominions	n2	dominions	dominion	0
,	,	,	,	,	0
The	The	dt	The	the	0
same	same	d	same	same	0
marchants	marchants	n2	merchants	merchant	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
marchandises	marchandises	n2	merchandises	merchandise	0
in	in	p-acp	in	in	0
al	al	d	all	all	0
your	your	po22	your	your	0
lordship	lordship	n1	lordship	lordship	0
may	may	vmb	may	may	0
freely	freely	av-j	freely	free	0
,	,	,	,	,	0
&	&	cc	&	and	0
at	at	p-acp	at	at	0
their	their	po32	their	their	0
libertie	libertie	n1	liberty	liberty	0
travaile	travaile	vvi	travail	travail	0
out	out	av	out	out	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
without	without	p-acp	without	without	0
hinderance	hinderance	n1	hindrance	hindrance	0
or	or	cc	or	or	0
any	any	d	any	any	0
maner	maner	n1	manner	manner	0
of	of	pp-f	of	of	0
losse	losse	n1	loss	loss	0
:	:	:	:	:	0
And	And	cc	And	and	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
farther	farther	jc	farther	far	0
ample	ample	j	ample	ample	0
goodnesse	goodnesse	n1	goodness	goodness	0
have	have	vhb	have	have	0
promised	promised	vvn	promised	promise	0
that	that	d	that	that	0
our	our	po12	our	our	0
ambassadours	ambassadours	n2	ambassadors	ambassador	0
,	,	,	,	,	0
if	if	cs	if	if	0
279	279	crd	279	279	0
wee	wee	pns12	we	we	0
send	send	vvb	send	send	0
any	any	d	any	any	0
,	,	,	,	,	0
shall	shall	vmb	shall	shall	0
with	with	p-acp	with	with	0
free	free	j	free	free	0
good	good	j	good	good	0
will	will	vmb	will	will	0
passe	passe	vvi	pass	pass	0
to	to	p-acp	to	to	0
and	and	cc	and	and	0
from	from	p-acp	from	from	0
you	you	pn22	you	you	0
without	without	p-acp	without	without	0
any	any	d	any	any	0
hinderance	hinderance	n1	hindrance	hindrance	0
or	or	cc	or	or	0
losse	losse	n1	loss	loss	0
,	,	,	,	,	0
with	with	p-acp	with	with	0
such	such	d	such	such	0
message	message	n1	message	message	0
as	as	c-acp	as	as	0
shall	shall	vmb	shall	shall	0
come	come	vvi	come	come	0
unto	unto	p-acp	unto	unto	0
you	you	pn22	you	you	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	pc-acp	to	to	0
returne	returne	vvi	return	return	0
the	the	dt	the	the	0
same	same	d	same	same	0
to	to	p-acp	to	to	0
our	our	po12	our	our	0
kingdomes	kingdomes	n2	kingdoms	kingdom	0
well	well	av	well	well	0
answered	answered	vvd	answered	answer	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
by	by	p-acp	by	by	0
the	the	dt	the	the	0
same	same	d	same	same	0
your	your	po22	your	your	0
letters	letters	n2	letters	letter	0
,	,	,	,	,	0
written	written	vvn	written	write	0
in	in	p-acp	in	in	0
your	your	po22	your	your	0
lordly	lordly	j	lordly	lordly	0
Palace	Palace	n1	Palace	palace	0
and	and	cc	and	and	0
Castle	Castle	n1	Castle	castle	0
of	of	pp-f	of	of	0
Mosco	Mosco	np1	Mosco	Moscow	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
yeere	yeere	n1	year	year	0
7063	7063	crd	7063	7063	0
the	the	dt	the	the	0
moneth	moneth	n1	month	month	0
of	of	pp-f	of	of	0
Februarie	Februarie	np1	Februarie	February	0
more	more	av-dc	more	more	0
at	at	p-acp	at	at	0
large	large	j	large	large	0
appeareth	appeareth	vvz	appears	appear	0
.	.	.	.	.	1
Like	Like	j	Like	like	0
as	as	c-acp	as	as	0
wee	wee	pns12	we	we	0
cannot	cannot	vmbx	cannot	can	0
but	but	p-acp	but	but	0
much	much	d	much	much	0
commend	commend	vvb	commend	commend	0
your	your	po22	your	your	0
princely	princely	j	princely	princely	0
favour	favour	n1	favour	favour	0
and	and	cc	and	and	0
goodnesse	goodnesse	n1	goodness	goodness	0
,	,	,	,	,	0
and	and	cc	and	and	0
in	in	p-acp	in	in	0
like	like	j	like	like	0
manner	manner	n1	manner	manner	0
thanke	thanke	vvb	thank	thank	0
you	you	pn22	you	you	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
aboundant	aboundant	j	abundant	abundant	0
grace	grace	n1	grace	grace	0
,	,	,	,	,	0
extended	extended	vvn	extended	extend	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
sayd	sayd	j-vvn	said	say	0
Richard	Richard	np1	Richard	Richard	0
Chancelour	Chancelour	n1	Chancellor	chancellor	0
,	,	,	,	,	0
and	and	cc	and	and	0
others	others	n2-jn	others	other	0
our	our	po12	our	our	0
