Notes	Notes	np1	Notes	Notes	0
owne	owne	d	own	own	0
disposition	disposition	n1	disposition	disposition	0
,	,	,	,	,	0
and	and	cc	and	and	0
not	not	xx	not	not	0
at	at	p-acp	at	at	0
the	the	dt	the	the	0
will	will	n1	will	will	0
of	of	pp-f	of	of	0
others	others	n2-jn	others	other	0
.	.	.	.	.	1
Therefore	Therefore	av	Therefore	therefore	0
it	it	pn31	it	it	0
were	were	vbdr	were	be	0
good	good	j	good	good	0
that	that	cst	that	that	0
we	we	pns12	we	we	0
did	did	vdd	did	do	0
seeke	seeke	vvi	seek	seek	0
out	out	av	out	out	0
some	some	d	some	some	0
small	small	j	small	small	0
Island	Island	n1	Island	island	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Scithian	Scithian	jp	Scythian	scythian	0
sea	sea	n1	sea	sea	0
,	,	,	,	,	0
where	where	c-crq	where	where	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
plant	plant	vvi	plant	plant	0
,	,	,	,	,	0
fortifie	fortifie	vvi	fortify	fortify	0
,	,	,	,	,	0
and	and	cc	and	and	0
staple	staple	n1	staple	staple	0
safely	safely	av-j	safely	safe	0
,	,	,	,	,	0
from	from	p-acp	from	from	0
whence	whence	c-crq	whence	whence	0
(	(	(	(	(	0
as	as	c-acp	as	as	0
time	time	n1	time	time	0
should	should	vmd	should	shall	0
serve	serve	vvi	serve	serve	0
)	)	)	)	)	0
wee	wee	pns12	we	we	0
might	might	vmd	might	may	0
feed	feed	vvi	feed	feed	0
those	those	d	those	those	0
heathen	heathen	j-jn	heathen	heathen	0
nations	nations	n2	nations	nation	0
with	with	p-acp	with	with	0
our	our	po12	our	our	0
commodities	commodities	n2	commodities	commodity	0
without	without	p-acp	without	without	0
cloying	cloying	j-vvg	cloying	cloy	0
them	them	pno32	them	they	0
,	,	,	,	,	0
or	or	cc	or	or	0
without	without	p-acp	without	without	0
venturing	venturing	vvg	venturing	venture	0
our	our	po12	our	our	0
whole	whole	j-jn	whole	whole	0
masse	masse	n1	mass	mass	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
bowels	bowels	n2	bowels	bowel	0
of	of	pp-f	of	of	0
their	their	po32	their	their	0
countrey	countrey	n1	country	country	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
to	to	p-acp	to	to	0
which	which	r-crq	which	which	0
Island	Island	n1	Island	island	0
(	(	(	(	(	0
if	if	cs	if	if	0
neede	neede	n1	need	need	0
were	were	vbdr	were	be	0
,	,	,	,	,	0
and	and	cc	and	and	0
if	if	cs	if	if	0
wee	wee	pns12	we	we	0
should	should	vmd	should	shall	0
thinke	thinke	vvi	think	think	0
so	so	av	so	so	0
good	good	j	good	good	0
)	)	)	)	)	0
wee	wee	pns12	we	we	0
might	might	vmd	might	may	0
allure	allure	vvi	allure	allure	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
navie	navie	n1	navy	navy	0
,	,	,	,	,	0
264	264	crd	264	264	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
1580.	1580.	crd	1580.	1580.	0
the	the	dt	the	the	0
navie	navie	n1	navy	navy	0
of	of	pp-f	of	of	0
Cambalu	Cambalu	np1	Cambalu	Cambalu	0
to	to	pc-acp	to	to	0
resort	resort	vvi	resort	resort	0
with	with	p-acp	with	with	0
their	their	po32	their	their	0
commodities	commodities	n2	commodities	commodity	0
to	to	p-acp	to	to	0
us	us	pno12	us	we	0
there	there	a-acp	there	there	0
planted	planted	vvn	planted	plant	0
,	,	,	,	,	0
and	and	cc	and	and	0
stapling	stapling	vvg	stapling	staple	0
there	there	a-acp	there	there	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
if	if	cs	if	if	0
such	such	d	such	such	0
an	an	dt	and	a	0
Island	Island	n1	Island	island	0
might	might	vmd	might	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
so	so	av	so	so	0
standing	standing	vvg	standing	stand	0
as	as	a-acp	as	as	0
might	might	vmd	might	may	0
shorten	shorten	vvi	shorten	shorten	0
our	our	po12	our	our	0
course	course	n1	course	course	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
standing	standing	vvg	standing	stand	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
that	that	cst	that	that	0
the	the	dt	the	the	0
navie	navie	n1	navy	navy	0
of	of	pp-f	of	of	0
Cambalu	Cambalu	np1	Cambalu	Cambalu	0
,	,	,	,	,	0
or	or	cc	or	or	0
other	other	j-jn	other	other	0
those	those	d	those	those	0
parties	parties	n2	parties	party	0
might	might	vmd	might	may	0
conveniently	conveniently	av-j	conveniently	convenient	0
saile	saile	vvi	sail	sail	0
unto	unto	p-acp	unto	unto	0
without	without	p-acp	without	without	0
their	their	po32	their	their	0
dislike	dislike	n1	dislike	dislike	0
in	in	p-acp	in	in	0
respect	respect	n1	respect	respect	0
of	of	pp-f	of	of	0
distance	distance	n1	distance	distance	0
,	,	,	,	,	0
then	then	av	then	then	0
would	would	vmd	would	will	0
it	it	pn31	it	it	0
fal	fal	vvi	fall	fall	0
out	out	av	out	out	0
well	well	av	well	well	0
.	.	.	.	.	1
For	For	p-acp	For	for	0
so	so	av	so	so	0
,	,	,	,	,	0
besides	besides	p-acp	beside	beside	0
lesse	lesse	dc	less	less	0
danger	danger	n1	danger	danger	0
and	and	cc	and	and	0
more	more	dc	more	more	0
safetie	safetie	n1	safety	safety	0
,	,	,	,	,	0
our	our	po12	our	our	0
ships	ships	n2	ships	ship	0
might	might	vmd	might	may	0
there	there	pc-acp	there	there	0
unlade	unlade	vvi	unladen	unlade	0
and	and	cc	and	and	0
lade	lade	vvi	lade	lade	0
againe	againe	av	again	again	0
,	,	,	,	,	0
and	and	cc	and	and	0
returne	returne	vvi	return	return	0
the	the	dt	the	the	0
selfe	selfe	n1	self	self	0
same	same	d	same	same	0
summer	summer	n1	summer	summer	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
ports	ports	n2	ports	port	0
of	of	pp-f	of	of	0
England	England	np1	England	England	0
or	or	cc	or	or	0
of	of	pp-f	of	of	0
Norway	Norway	np1	Norway	Norway	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
if	if	cs	if	if	0
such	such	d	such	such	0
an	an	dt	and	a	0
Island	Island	n1	Island	island	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
stapling	stapling	n1	stapling	stapling	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
which	which	r-crq	which	which	0
they	they	pns32	they	they	0
of	of	pp-f	of	of	0
Cambalu	Cambalu	np1	Cambalu	Cambalu	0
would	would	vmd	would	will	0
not	not	xx	not	not	0
saile	saile	vvi	sail	sail	0
,	,	,	,	,	0
yet	yet	av	yet	yet	0
we	we	pns12	we	we	0
might	might	vmd	might	may	0
,	,	,	,	,	0
having	having	vhg	having	have	0
ships	ships	n2	ships	ship	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
imploy	imploy	vvb	employ	employ	0
them	them	pno32	them	they	0
in	in	p-acp	in	in	0
passing	passing	vvg	passing	pass	0
betweene	betweene	p-acp	between	between	0
Cambalu	Cambalu	np1	Cambalu	Cambalu	0
and	and	cc	and	and	0
that	that	d	that	that	0
stapling	stapling	n1	stapling	stapling	0
place	place	n1	place	place	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Respect	Respect	n1	Respect	respect	0
of	of	pp-f	of	of	0
havens	havens	n2	havens	haven	0
and	and	cc	and	and	0
harborowes	harborowes	n2	harborowes	harborowe	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
Nd	Nd	ord	Nd	nd	0
if	if	cs	if	if	0
no	no	dx	no	no	0
such	such	d	such	such	0
Islands	Islands	n2	Islands	island	0
may	may	vmb	may	may	0
bee	bee	vbi	be	be	0
found	found	vvn	found	find	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
Scithian	Scithian	jp	Scythian	scythian	0
sea	sea	n1	sea	sea	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
firme	firme	j	firm	firm	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
,	,	,	,	,	0
then	then	av	then	then	0
are	are	vbr	are	be	0
you	you	pn22	you	you	0
to	to	pc-acp	to	to	0
search	search	vvi	search	search	0
out	out	av	out	out	0
the	the	dt	the	the	0
ports	ports	n2	ports	port	0
that	that	cst	that	that	0
be	be	vbb	be	be	0
about	about	p-acp	about	about	0
Nova	Nova	fw-la	Nova	nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
,	,	,	,	,	0
all	all	d	all	all	0
along	along	p-acp	along	along	0
the	the	dt	the	the	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
that	that	d	that	that	0
land	land	n1	land	land	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
winter	winter	vvi	winter	winter	0
there	there	a-acp	there	there	0
the	the	dt	the	the	0
first	first	ord	first	first	0
yeere	yeere	n1	year	year	0
,	,	,	,	,	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
be	be	vbb	be	be	0
let	let	vvn	let	let	0
by	by	p-acp	by	by	0
contrary	contrary	j-jn	contrary	contrary	0
winds	winds	n2	winds	wind	0
,	,	,	,	,	0
and	and	cc	and	and	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
end	end	n1	end	end	0
that	that	cst	that	that	0
if	if	cs	if	if	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
short	short	j	short	short	0
time	time	n1	time	time	0
come	come	vvn	come	come	0
unto	unto	p-acp	unto	unto	0
Cambalu	Cambalu	np1	Cambalu	Cambalu	0
,	,	,	,	,	0
and	and	cc	and	and	0
unlade	unlade	vvi	unladen	unlade	0
and	and	cc	and	and	0
set	set	vvi	set	set	0
saile	saile	n1	sail	sail	0
againe	againe	av	again	again	0
for	for	p-acp	for	for	0
returne	returne	n1	return	return	0
without	without	p-acp	without	without	0
venturing	venturing	vvg	venturing	venture	0
there	there	a-acp	there	there	0
at	at	p-acp	at	at	0
Cambalu	Cambalu	np1	Cambalu	Cambalu	0
,	,	,	,	,	0
that	that	cst	that	that	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
on	on	p-acp	on	on	0
your	your	po22	your	your	0
way	way	n1	way	way	0
come	come	vvb	come	come	0
as	as	a-acp	as	as	0
farre	farre	av-j	far	far	0
in	in	p-acp	in	in	0
returne	returne	n1	return	return	0
as	as	p-acp	as	as	0
a	a	dt	a	a	0
port	port	n1	port	port	0
about	about	p-acp	about	about	0
Nova	Nova	np1	Nova	Nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
:	:	:	:	:	0
that	that	cst	that	that	0
the	the	dt	the	the	0
summer	summer	n1	summer	summer	0
following	following	vvg	following	follow	0
,	,	,	,	,	0
you	you	pn22	you	you	0
may	may	vmb	may	may	0
the	the	dt	the	the	0
sooner	sooner	av-c	sooner	soon	0
be	be	vbi	be	be	0
in	in	p-acp	in	in	0
England	England	np1	England	England	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
speedy	speedy	j	speedy	speedy	0
vent	vent	n1	vent	vent	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
East	East	n1	East	east	0
commodities	commodities	n2	commodities	commodity	0
,	,	,	,	,	0
and	and	cc	and	and	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
speedier	speedier	jc	speedier	speedy	0
discharge	discharge	n1	discharge	discharge	0
of	of	pp-f	of	of	0
your	your	po22	your	your	0
Mariners	Mariners	n2	Mariners	mariner	0
:	:	:	:	:	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
cannot	cannot	vmbx	cannot	can	0
go	go	vvi	go	go	0
forward	forward	av-j	forward	forward	0
and	and	cc	and	and	0
backe	backe	av	back	back	0
in	in	p-acp	in	in	0
one	one	crd	one	one	0
selfe	selfe	n1	self	self	0
same	same	d	same	same	0
Summer	Summer	n1	Summer	summer	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
touching	touching	vvg	touching	touch	0
the	the	dt	the	the	0
tract	tract	n1	tract	tract	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
land	land	n1	land	land	0
of	of	pp-f	of	of	0
Nova	Nova	np1	Nova	Nova	0
Zembla	Zembla	np1	Zembla	Zembla	0
,	,	,	,	,	0
toward	toward	p-acp	towards	towards	0
the	the	dt	the	the	0
East	East	n1	East	east	0
out	out	av	out	out	0
of	of	pp-f	of	of	0
the	the	dt	the	the	0
circle	circle	n1	circle	circle	0
Arcticke	Arcticke	j-jn	Arcticke	arcticke	0
in	in	p-acp	in	in	0
the	the	dt	the	the	0
more	more	av-dc	more	more	0
temperate	temperate	j	temperate	temperate	0
Zone	Zone	n1	Zone	zone	0
,	,	,	,	,	0
you	you	pn22	you	you	0
are	are	vbr	are	be	0
to	to	pc-acp	to	to	0
have	have	vhi	have	have	0
regard	regard	n1	regard	regard	0
:	:	:	:	:	0
for	for	c-acp	for	for	0
if	if	cs	if	if	0
you	you	pn22	you	you	0
finde	finde	vvb	find	find	0
the	the	dt	the	the	0
soyle	soyle	n1	soil	soil	0
planted	planted	vvn	planted	plant	0
with	with	p-acp	with	with	0
people	people	n1	people	people	0
,	,	,	,	,	0
it	it	pn31	it	it	0
is	is	vbz	is	be	0
like	like	j	like	like	0
that	that	cst	that	that	0
in	in	p-acp	in	in	0
time	time	n1	time	time	0
an	an	dt	and	a	0
ample	ample	j	ample	ample	0
vent	vent	n1	vent	vent	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
warme	warme	j	warm	warm	0
wollen	wollen	j	woollen	woollen	0
clothes	clothes	n2	clothes	clothes	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
.	.	.	.	.	1
And	And	cc	And	and	0
if	if	cs	if	if	0
there	there	pc-acp	there	there	0
be	be	vbb	be	be	0
no	no	dx	no	no	0
people	people	n1	people	people	0
at	at	p-acp	at	at	0
all	all	d	all	all	0
there	there	a-acp	there	there	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
A	A	dt	A	a	0
good	good	j	good	good	0
confound	confound	vvi	confound	confound	0
,	,	,	,	,	0
then	then	cs	then	than	0
you	you	pn22	you	you	0
shall	shall	vmb	shall	shall	0
specially	specially	av-j	specially	special	0
note	note	vvi	note	note	0
what	what	r-crq	what	what	0
plentie	plentie	n1	plenty	plenty	0
of	of	pp-f	of	of	0
sideration	sideration	n1	sideration	sideration	0
.	.	.	.	.	0
whales	whales	n2	whale's	whale	0
,	,	,	,	,	0
and	and	cc	and	and	0
of	of	pp-f	of	of	0
other	other	j-jn	other	other	0
fish	fish	n1	fish	fish	0
is	is	vbz	is	be	0
to	to	pc-acp	to	to	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
there	there	a-acp	there	there	0
,	,	,	,	,	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
265	265	crd	265	265	0
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
ende	ende	n1	end	end	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
turne	turne	vvi	turn	turn	0
our	our	po12	our	our	0
newe	newe	j	new	new	0
found	found	vvd	found	find	0
land	land	n1	land	land	0
fishing	fishing	vvg	fishing	fish	0
or	or	cc	or	or	0
Island	Island	n1	Island	island	0
fishing	fishing	vvg	fishing	fish	0
,	,	,	,	,	0
or	or	cc	or	or	0
our	our	po12	our	our	0
whalefishing	whalefishing	n-vvg	whalefishing	whalefish	0
that	that	cst	that	that	0
way	way	n1	way	way	0
,	,	,	,	,	0
for	for	p-acp	for	for	0
the	the	dt	the	the	0
ayde	ayde	n1	aid	aid	0
and	and	cc	and	and	0
comfort	comfort	n1	comfort	comfort	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
newe	newe	j	new	new	0
trades	trades	n2	trades	trade	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
Northeast	Northeast	n1	Northeast	north-east	0
to	to	p-acp	to	to	0
the	the	dt	the	the	0
coasts	coasts	n2	coasts	coast	0
of	of	pp-f	of	of	0
Asia	Asia	np1	Asia	Asia	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
Respect	Respect	n1	Respect	respect	0
of	of	pp-f	of	of	0
fish	fish	n1	fish	fish	0
and	and	cc	and	and	0
certaine	certaine	j	certain	certain	0
other	other	j-jn	other	other	0
things	things	n2	things	thing	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
A	A	dt	A	a	0
Nd	Nd	ord	Nd	nd	0
if	if	cs	if	if	0
the	the	dt	the	the	0
aire	aire	n1	air	air	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
found	found	vvn	found	find	0
upon	upon	p-acp	upon	upon	0
that	that	d	that	that	0
tract	tract	n1	tract	tract	0
temperate	temperate	j	temperate	temperate	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
soile	soile	n1	soil	soil	0
yeelding	yeelding	vvg	yielding	yield	0
wood	wood	n1	wood	wood	0
,	,	,	,	,	0
water	water	n1	water	water	0
,	,	,	,	,	0
land	land	n1	land	land	0
and	and	cc	and	and	0
grasse	grasse	n1	grass	grass	0
,	,	,	,	,	0
and	and	cc	and	and	0
the	the	dt	the	the	0
seas	seas	ng1	seas	sea	0
fish	fish	n1	fish	fish	0
,	,	,	,	,	0
then	then	cs	then	than	0
we	we	pns12	we	we	0
may	may	vmb	may	may	0
plant	plant	vvi	plant	plant	0
on	on	p-acp	on	on	0
that	that	d	that	that	0
maine	maine	n1	main	main	0
the	the	dt	the	the	0
offals	offals	n2	offals	offal	0
of	of	pp-f	of	of	0
our	our	po12	our	our	0
people	people	n1	people	people	0
,	,	,	,	,	0
as	as	c-acp	as	as	0
the	the	dt	the	the	0
Portingals	Portingals	np2	Portingals	Portugal	0
do	do	vdb	do	do	0
in	in	p-acp	in	in	0
Brasill	Brasill	np1	Brasill	Brasill	0
,	,	,	,	,	0
and	and	cc	and	and	0
so	so	av	so	so	0
they	they	pns32	they	they	0
may	may	vmb	may	may	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
fishing	fishing	n-vvg	fishing	fish	0
in	in	p-acp	in	in	0
our	our	po12	our	our	0
passage	passage	n1	passage	passage	0
,	,	,	,	,	0
and	and	cc	and	and	0
divers	divers	j	diverse	diverse	0
wayes	wayes	n2	ways	way	0
yeelde	yeelde	vvb	yield	yield	0
commoditie	commoditie	n1	commodity	commodity	0
to	to	p-acp	to	to	0
England	England	np1	England	England	0
by	by	p-acp	by	by	0
harbouring	harbouring	vvg	harbouring	harbour	0
and	and	cc	and	and	0
victualling	victualling	vvg	victualling	victual	0
us	us	pno12	us	we	0
.	.	.	.	.	1
{	{	{	{	{	0
n	n	wd	n	n	0
}	}	}	}	}	0
And	And	cc	And	and	0
it	it	pn31	it	it	0
may	may	vmb	may	may	0
be	be	vbi	be	be	0
,	,	,	,	,	0
that	that	cst	that	that	0
the	the	dt	the	the	0
